explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.001982638516772049,0.017694882831181168,0.0035657495283763093,0.0004576537834901431,0.1962457337883959,31.84641638225256,0.02149810513706653,0.04266211604054821,0.0,0.0,0.0006825938566552901,0.0009564801530368245,0.0010238907849829352,0.0028694404591104736,0.0009556313993174062,0.013390722142515544,0.0008703071672354948,0.024390243902439025,0.9654564293318628,7.655747405819231,0.00031860084020557974,0.0
random,predicted,0.001,0.0017344686218858391,0.016105417276720234,0.0031316725961093314,0.00045585331000894683,0.18766066838046272,32.60668380462725,0.020679481187060967,0.0385604113106973,0.0,0.0,0.0,0.0,0.0002570694087403599,0.0007320644216691069,0.0009768637532133677,0.013909224011713031,0.0008483290488431876,0.024158125915080528,0.9655026124371118,7.669196691111738,0.000048503662026483,0.0
random,not_predicted,0.001,0.00250920040147206,0.02068965517241351,0.004475607934815491,0.0004610850571554614,0.2131979695431472,30.34517766497462,0.023114575779463305,0.05076142131928933,0.0,0.0,0.0020304568527918783,0.002758620689655172,0.0025380710659898475,0.006896551724137931,0.0009137055837563451,0.012413793103448275,0.0009137055837563451,0.02482758620689655,0.9653652352813966,7.629190187652812,0.0008519399382343545,0.0
laat,all,0.054,0.4306406685236745,0.3696795791487309,0.3978383942307449,0.3437845928055024,0.17747440273037543,3.0631399317406145,0.5334079529652666,0.6985210466371938,0.552901023890785,0.15494978479196556,0.3068259385665529,0.4299378287900526,0.19283276450511946,0.5404112864658058,0.052286689419795224,0.7326637972262076,0.029505119453924915,0.8268770923003348,0.48292834764854536,2.643599729751702,0.42210165465177024,0.0
laat,predicted,0.054,0.42816702052370537,0.4428989751098064,0.4354084202900684,0.38144194603305914,0.05912596401028278,3.632390745501285,0.6274994820907694,0.8093401885098664,0.6118251928020566,0.17423133235724744,0.3249357326478149,0.46266471449487556,0.20462724935732649,0.582723279648609,0.054704370179948586,0.7789165446559297,0.03077120822622108,0.876281112737921,0.39484780022234817,2.2177866731886295,0.46020102510210925,0.0
laat,not_predicted,0.054,0.43979057591621884,0.23172413793103128,0.30352303522582685,0.2766174420996125,0.41116751269035534,1.9390862944162437,0.3476130045905424,0.4796954314672969,0.4365482233502538,0.11862068965517242,0.27106598984771574,0.3682758620689655,0.16954314720812183,0.4606896551724138,0.04751269035532995,0.6455172413793103,0.02700507614213198,0.7337931034482759,0.6568538956119501,3.4844184048940123,0.3468699028488168,0.0
attention_rollout,all,0.003,0.014959521295318544,0.20325203252032423,0.02786793875482923,0.002442923537176027,0.0,48.48122866894198,0.20662156387307595,0.2602389078472568,0.0034129692832764505,0.0009564801530368245,0.0037542662116040954,0.0052606408417025345,0.003924914675767918,0.010999521759923482,0.008771331058020478,0.12290769966523195,0.010938566552901024,0.3065518890483023,0.7754426383111306,5.676745062077024,0.0026427002661776468,0.0
attention_rollout,predicted,0.003,0.016279183116440017,0.2445095168374799,0.030525979069340802,0.002619460859718813,0.0,52.74293059125964,0.24265097227696023,0.2879177377863625,0.005141388174807198,0.0014641288433382138,0.004113110539845758,0.005856515373352855,0.004627249357326478,0.013177159590043924,0.009254498714652956,0.13177159590043924,0.011311053984575836,0.32210834553440704,0.7520067614670761,5.509114675502765,0.0036045752672218224,0.0
attention_rollout,not_predicted,0.003,0.011529203091346748,0.12551724137930861,0.021118588998226894,0.0021252554139735095,0.0,40.065989847715734,0.13547719905525366,0.20558375634313447,0.0,0.0,0.003045685279187817,0.004137931034482759,0.0025380710659898475,0.006896551724137931,0.007817258883248732,0.10620689655172413,0.010203045685279188,0.2772413793103448,0.8217195727899994,6.007751256886094,0.0007433633351817884,0.0
deeplift,all,0.018000000000000002,0.2736997417926954,0.35485413677666017,0.30903790086971755,0.23450132446554167,0.06143344709897611,4.626279863481229,0.4787179946495512,0.6426336746240329,0.4334470989761092,0.12147297943567671,0.257679180887372,0.36107125777140125,0.17406143344709898,0.4878048780487805,0.05348122866894198,0.749402199904352,0.030034129692832763,0.8417025346724055,0.7281104177527822,3.3959011365305094,0.29070976245948354,0.0
