explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005675954592363232,0.005260640841702509,0.00546041200791361,0.00045765358315834597,0.9505119453924915,3.3071672354948807,0.007963594994269293,0.011945392491348123,0.0,0.0,0.00034129692832764505,0.00047824007651841227,0.0010238907849829352,0.0028694404591104736,0.0013651877133105802,0.01912960306073649,0.0010921501706484642,0.030607364897178385,0.9653945253772886,7.687918086010603,0.00021050404949614652,0.0
random,predicted,0.002,0.0041379310344827015,0.0021367521367521214,0.0028182245140618636,0.00045553445157739837,0.9551122194513716,1.8079800498753118,0.0037406483790239677,0.007481296758029925,0.0,0.0,0.0004987531172069825,0.0007122507122507123,0.0012468827930174563,0.0035612535612535613,0.0010972568578553616,0.01566951566951567,0.0009476309226932668,0.027065527065527065,0.9653978380152943,7.723809612392068,0.00030761938405172534,0.0
random,not_predicted,0.002,0.006595218466611652,0.011644832605531126,0.008421052626962067,0.0004620462934067877,0.9405405405405406,6.556756756756757,0.017117117117044292,0.021621621621405407,0.0,0.0,0.0,0.0,0.0005405405405405405,0.001455604075691412,0.0019459459459459458,0.026200873362445413,0.0014054054054054054,0.03784570596797671,0.9653873450105845,7.610120777475643,0.0,0.0
laat,all,0.052000000000000005,0.37357743691241774,0.36107125777139953,0.36721789882768446,0.3094595060482994,0.24744027303754265,3.448805460750853,0.523307158329564,0.6112059158075233,0.5051194539249146,0.14155906264945003,0.28532423208191127,0.3998087039693926,0.18464163822525598,0.517455762792922,0.05539249146757679,0.776183644189383,0.030051194539249145,0.8421807747489239,0.5203744421855503,2.6025568833389174,0.381310800461705,0.0
laat,predicted,0.052000000000000005,0.36639439906650895,0.4472934472934441,0.40282232199632967,0.3608173969753366,0.13216957605985039,4.27431421446384,0.6263327625509627,0.7236076475408694,0.5586034912718204,0.15954415954415954,0.3172069825436409,0.452991452991453,0.20224438902743141,0.5776353276353277,0.05805486284289277,0.8290598290598291,0.031221945137157106,0.8917378917378918,0.4346662330403062,2.086357942523419,0.43231772021326703,0.0
laat,not_predicted,0.052000000000000005,0.4136807817589442,0.18486171761280662,0.2555331991908966,0.20772043451017674,0.4972972972972973,1.6594594594594594,0.29999219999020754,0.3675675675638918,0.3891891891891892,0.10480349344978165,0.21621621621621623,0.29112081513828236,0.1464864864864865,0.39446870451237265,0.04962162162162162,0.6681222707423581,0.027513513513513513,0.7409024745269287,0.7061527766030797,3.7214529658633237,0.27074985548669755,0.0
attention_rollout,all,0.003,0.017449134127872516,0.2534672405547573,0.03265054674144072,0.0027447646631201493,0.0,51.83276450511946,0.25949934119595314,0.32593856654969283,0.0017064846416382253,0.00047824007651841227,0.004436860068259386,0.006217120994739359,0.004436860068259386,0.012434241989478718,0.009180887372013651,0.12864658058345288,0.012593856655290102,0.35294117647058826,0.754838349393498,5.572349571758354,0.002943813662731597,0.0
attention_rollout,predicted,0.003,0.01768749179107744,0.2877492877492857,0.033326459062633346,0.003063508757586984,0.0,56.96009975062344,0.3090621417911335,0.3740648379015711,0.0024937655860349127,0.0007122507122507123,0.004987531172069825,0.007122507122507123,0.004738154613466334,0.013532763532763533,0.010224438902743141,0.146011396011396,0.013541147132169576,0.38675213675213677,0.7245674804567848,5.366872290200647,0.0038787441779960475,0.0
attention_rollout,not_predicted,0.003,0.016726403823177995,0.18340611353711522,0.030656934305037437,0.0021304072431568965,0.0,40.71891891891892,0.15206862206802158,0.22162162161940538,0.0,0.0,0.003243243243243243,0.004366812227074236,0.0037837837837837837,0.010189228529839884,0.006918918918918919,0.09315866084425037,0.01054054054054054,0.2838427947598253,0.8204525031428066,6.017735463134792,0.0009172885999151388,0.0
deeplift,all,0.018000000000000002,0.26276556093924613,0.337159253945479,0.29534981147391937,0.19545283372801103,0.04607508532423208,4.578498293515358,0.48012646009367166,0.6422070534636181,0.39761092150170646,0.11142993782879006,0.23959044368600682,0.3357245337159254,0.1645051194539249,0.4610234337637494,0.0531740614334471,0.7450980392156863,0.030034129692832763,0.8417025346724055,0.7218872164185003,3.428382900135686,0.2776860740762629,0.0
deeplift,predicted,0.018000000000000002,0.26947574718275225,0.3917378917378889,0.3193033381664318,0.22603625675972777,0.012468827930174564,5.089775561097257,0.5496469691261454,0.7165419783804742,0.43640897755610975,0.12464387464387465,0.26483790523690776,0.3782051282051282,0.17780548628428927,0.5078347578347578,0.05630922693266833,0.8041310541310541,0.03109725685785536,0.8881766381766382,0.7028980823395129,3.1738458281433455,0.31028709196951265,0.0
deeplift,not_predicted,0.018000000000000002,0.2414330218068498,0.22561863173216556,0.23325808878356508,0.13510681411831382,0.11891891891891893,3.4702702702702704,0.3294360594340932,0.48108108107627023,0.31351351351351353,0.08442503639010189,0.18486486486486486,0.24890829694323144,0.13567567567567568,0.3653566229985444,0.046378378378378375,0.6244541484716157,0.02772972972972973,0.7467248908296943,0.763047447584305,3.980109202129895,0.20702116502116502,0.0
