explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0036610878661087675,0.00334768053562887,0.0034973769622845246,0.00045765358315834597,0.947098976109215,3.262798634812287,0.006114903299159912,0.010238907849726963,0.0,0.0,0.00034129692832764505,0.00047824007651841227,0.0005119453924914676,0.0014347202295552368,0.0011262798634812286,0.015781922525107604,0.0008873720136518771,0.024868483978957436,0.9654506333515248,7.693834634123199,0.00008724571509288552,0.0
random,predicted,0.002,0.006053268765133099,0.003625815808556899,0.0045351473876046955,0.0004485743208604267,0.9525,2.065,0.007083333333277083,0.0099999999999,0.0,0.0,0.0005,0.0007251631617113851,0.00075,0.002175489485134155,0.00135,0.019579405366207395,0.00105,0.030456852791878174,0.9654355819937309,7.715055016019728,0.00012781497261107728,0.0
random,not_predicted,0.002,0.0018416206261509958,0.0028089887640449043,0.002224694099776937,0.00047632618710252516,0.9354838709677419,5.838709677419355,0.004032258064499327,0.010752688171935483,0.0,0.0,0.0,0.0,0.0,0.0,0.0006451612903225806,0.008426966292134831,0.0005376344086021505,0.014044943820224719,0.9654830018629098,7.648199404238188,0.0,0.0
laat,all,0.057,0.40378710337768475,0.3773314203730255,0.3901112484498864,0.3469335965395011,0.2593856655290102,3.3344709897610922,0.5295614984149849,0.6043799772410386,0.49829351535836175,0.13964610234337638,0.3102389078498293,0.4347202295552367,0.210580204778157,0.5901482544237207,0.05870307167235495,0.8225729316116691,0.0315358361774744,0.8837876614060258,0.49226997383336063,2.3673460942182927,0.4244788430520455,0.0
laat,predicted,0.057,0.3988833746898238,0.4662799129804172,0.42995653627052055,0.40169023521043296,0.1425,4.03,0.6325541680503762,0.7091666666598777,0.5525,0.1602610587382161,0.332,0.4815083393763597,0.222,0.6439448875997099,0.06,0.8701957940536621,0.031875,0.9245830311820159,0.4012319065634546,1.877726440302978,0.47414530316969994,0.0
laat,not_predicted,0.057,0.4269005847953091,0.205056179775278,0.27703984819295435,0.2417821924875225,0.510752688172043,1.8387096774193548,0.3080718862958638,0.37903225806073915,0.3817204301075269,0.0997191011235955,0.26344086021505375,0.3441011235955056,0.1860215053763441,0.4859550561797753,0.05591397849462366,0.7303370786516854,0.030806451612903227,0.8047752808988764,0.6880507636611156,3.420291586509292,0.31766925140117575,0.0
attention_rollout,all,0.003,0.018087855297157618,0.27785748445719616,0.03396469075063532,0.003137981344913278,0.0,54.81399317406143,0.2822806838577591,0.3449943117144657,0.0017064846416382253,0.00047824007651841227,0.005460750853242321,0.007651841224294596,0.005290102389078498,0.01482544237207078,0.009590443686006827,0.13438546150167385,0.012508532423208192,0.35054997608799615,0.7589567888186539,5.5163764086559,0.003684664834694679,0.0
attention_rollout,predicted,0.003,0.018202736573940906,0.32124728063814123,0.034453258670629115,0.003484082405578679,0.0,60.8425,0.33089525058102204,0.3941666666627861,0.0025,0.0007251631617113851,0.006,0.00870195794053662,0.00575,0.016678752719361856,0.01035,0.15010877447425672,0.0129,0.3741841914430747,0.7290885702575554,5.3634452639639925,0.004457121338700286,0.0
attention_rollout,not_predicted,0.003,0.017728674203494325,0.1938202247190984,0.03248587570467899,0.002406084854841216,0.0,41.8494623655914,0.177733228538914,0.23924731182560482,0.0,0.0,0.004301075268817204,0.0056179775280898875,0.004301075268817204,0.011235955056179775,0.007956989247311828,0.10393258426966293,0.011666666666666667,0.3047752808988764,0.8231895169070379,5.845260590789034,0.002023468051886921,0.0
deeplift,all,0.017,0.26911103424420524,0.37207077953132295,0.31232436771893335,0.2340591049834791,0.04948805460750853,4.933447098976109,0.5192328684952328,0.6690841865691844,0.4300341296928328,0.12051649928263988,0.2597269624573379,0.3639406982305117,0.17559726962457337,0.4921090387374462,0.053890784982935154,0.7551410808225729,0.030255972696245734,0.8479196556671449,0.7276606628753081,3.3301994716773073,0.3183216541592811,0.0
deeplift,predicted,0.017,0.2773956900504343,0.4387237128353848,0.33988764044469005,0.26904486132454847,0.02,5.4525,0.6018786234863749,0.7439583333262114,0.48,0.13923132704858593,0.2815,0.4082668600435098,0.188,0.5453226976069616,0.0549,0.7962291515591008,0.03035,0.8803480783176215,0.7095709852087143,3.108801799983165,0.3574736562698974,0.0
deeplift,not_predicted,0.017,0.24366197183098248,0.24297752808988424,0.2433192686307209,0.16889149530149594,0.11290322580645161,3.817204301075269,0.3415000620626688,0.508064516123965,0.3225806451612903,0.08426966292134831,0.2129032258064516,0.27808988764044945,0.1489247311827957,0.3890449438202247,0.05172043010752688,0.675561797752809,0.030053763440860214,0.7851123595505618,0.7665631954916385,3.8063234968259994,0.23412380015795578,0.0
