explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002431546675124219,0.02199904351984686,0.004379075632459526,0.00045765358315834597,0.20477815699658702,32.28327645051195,0.02402969849629975,0.05034129692783916,0.0017064846416382253,0.00047824007651841227,0.0027303754266211604,0.003825920612147298,0.0017064846416382253,0.004782400765184123,0.0012969283276450512,0.018173122907699665,0.0011604095563139932,0.032520325203252036,0.9653913674111945,7.598833188755526,0.0019565212239233986,0.0
random,predicted,0.001,0.0021108922037714594,0.02068965517241365,0.0038309283599594415,0.00046060991105463474,0.19559902200489,34.748166259168705,0.024160263127115406,0.04767726161323656,0.0,0.0,0.0024449877750611247,0.0034482758620689655,0.0017114914425427872,0.004827586206896552,0.001271393643031785,0.01793103448275862,0.0011491442542787287,0.032413793103448274,0.9653244697629376,7.604518731966727,0.001814946802721864,0.0
random,not_predicted,0.001,0.00339991500212494,0.024960998439937206,0.005984664295626847,0.0004511041142665652,0.22598870056497175,26.587570621468927,0.023727998304189004,0.056497175140677966,0.005649717514124294,0.0015600624024961,0.003389830508474576,0.0046801872074883,0.001694915254237288,0.0046801872074883,0.0013559322033898306,0.0187207488299532,0.0011864406779661016,0.0327613104524181,0.9655459501125329,7.585695408114955,0.0022836621181122558,0.0
laat,all,0.053,0.2054263565891464,0.22812051649928156,0.21617946974348315,0.12692495693556444,0.2525597269624573,3.962457337883959,0.3250460124800434,0.45733788395460173,0.2508532423208191,0.0703012912482066,0.16518771331058021,0.23146819703491153,0.12832764505119454,0.359636537541846,0.04733788395904437,0.6633189861310378,0.027866894197952217,0.7809660449545672,0.49777368078919954,3.7685652890202364,0.19619858950310237,0.0
laat,predicted,0.053,0.19706180344478116,0.26827586206896364,0.22721962616334007,0.13381638841418703,0.1295843520782396,4.82640586797066,0.36848218678687084,0.5232273838580358,0.24449877750611246,0.06896551724137931,0.16968215158924205,0.2393103448275862,0.1356968215158924,0.38275862068965516,0.0488997555012225,0.6896551724137931,0.028899755501222493,0.8151724137931035,0.41764537078837494,3.61741049301064,0.1948442134404391,0.0
laat,not_predicted,0.053,0.25287356321838356,0.13728549141965465,0.1779575328569115,0.1184209117238206,0.536723163841808,1.9661016949152543,0.2246765475563572,0.30508474575966105,0.2655367231638418,0.07332293291731669,0.15480225988700566,0.21372854914196568,0.11129943502824859,0.3073322932917317,0.04372881355932203,0.6037441497659907,0.025480225988700565,0.7035881435257411,0.6829289281922346,4.117843885449193,0.1993281929473355,0.0
attention_rollout,all,0.003,0.017944914638047867,0.29507412721185894,0.03383231891102091,0.003226958676386934,0.0,58.6740614334471,0.31776712574325944,0.36803185437633856,0.0017064846416382253,0.00047824007651841227,0.005119453924914676,0.007173601147776184,0.0034129692832764505,0.009564801530368245,0.009897610921501706,0.13868962219033956,0.012781569965870307,0.3582018173122908,0.7551798545366287,5.454998744310501,0.003157157113767786,0.0
attention_rollout,predicted,0.003,0.018128807984151302,0.3344827586206873,0.03439350423616248,0.0035449001943590607,0.0,65.41075794621027,0.36595534999981044,0.41483292583128223,0.0024449877750611247,0.000689655172413793,0.0053789731051344745,0.007586206896551724,0.003911980440097799,0.011034482758620689,0.010268948655256724,0.14482758620689656,0.013007334963325184,0.36689655172413793,0.7262398610333981,5.278241555706155,0.0041928018910264726,0.0
attention_rollout,not_predicted,0.003,0.017300131061598927,0.20592823712948197,0.03191875226552689,0.002516572171173271,0.0,43.10734463276836,0.20641693522953428,0.25988700564711864,0.0,0.0,0.004519774011299435,0.0062402496099844,0.0022598870056497176,0.0062402496099844,0.00903954802259887,0.12480499219968799,0.012259887005649717,0.33853354134165364,0.8220524948915515,5.863437671650488,0.000764057035243476,0.0
deeplift,all,0.022,0.33762517882689397,0.33859397417503423,0.33810888251648835,0.2745592241667652,0.08873720136518772,3.5784982935153584,0.49813919962934183,0.6760523321891011,0.4863481228668942,0.13629842180774748,0.27747440273037544,0.38880918220946914,0.18378839590443685,0.5150645624103299,0.05648464163822525,0.7914873266379723,0.031569965870307165,0.8847441415590627,0.7132272925456563,3.1570470036567544,0.3360832225128426,0.0
