explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0020951712336280464,0.02106075642297936,0.0038111961352778217,0.011827705546174983,0.26546497337156905,37.34616960262188,0.02235600091746369,0.04878465109881074,0.0016386726751331422,0.00044081992506061276,0.0013928717738631708,0.0018734846815076042,0.0012699713232281853,0.0034163544192197487,0.0011552642359688651,0.015538902358386598,0.0011552642359688651,0.031077804716773197,0.96545610363284,7.6585377019682435,0.0005884540054144884,0.0
random,predicted,0.001,0.002010454362685967,0.021247662757096684,0.0036733374458918946,0.01182008841661262,0.26270136307311026,38.52230483271376,0.02288004796739771,0.04636513837213298,0.0018587360594795538,0.0005099439061703213,0.0012391573729863693,0.0016998130205677375,0.0011152416356877324,0.0030596634370219276,0.0010285006195786864,0.014108448070712222,0.0011090458488228006,0.0304266530681625,0.9654332904526235,7.663382548308986,0.0004772239692401389,0.0
random,not_predicted,0.001,0.0022768827405388616,0.020715630885122346,0.00410281913227209,0.00047882110816577705,0.2708585247883918,35.05078597339782,0.021333253712392943,0.05350665054362077,0.0012091898428053204,0.00031338138514572234,0.0016928657799274486,0.0021936696960200563,0.0015719467956469165,0.00407395800689439,0.0014026602176541716,0.018176120338451895,0.00124546553808948,0.0322782826700094,0.9655006265746409,7.649082342846168,0.0008055341485649115,0.0
laat,all,0.05,0.37516527104451264,0.3754548461792917,0.3753100027505797,0.32064570526266084,0.2294141745186399,3.7181482998770994,0.5347058031121316,0.602929127401017,0.4707087259319951,0.12662552347366102,0.29733715690290863,0.3999338770112409,0.2041786153215895,0.5492616266255235,0.059746005735354366,0.803614723385497,0.032498975829578045,0.8742561163764602,0.5144723397370164,2.4801406000935446,0.3855614645891184,0.0
laat,predicted,0.05,0.3662182361733926,0.4580996090430045,0.4070382117455524,0.36203381485984526,0.11524163568773234,4.559479553903346,0.6426674714724178,0.703686493177957,0.5173482032218092,0.1419343872174061,0.3231722428748451,0.44331123576406595,0.22255266418835193,0.6105728369879313,0.06328376703841387,0.8680945096039435,0.03383519206939281,0.9282678905320415,0.4324217203595535,2.014038960241534,0.43010709132403124,0.0
laat,not_predicted,0.05,0.41351193942923464,0.22284996861267978,0.2896186008520661,0.24620688432175775,0.45223700120918986,2.076178960096735,0.32400431250330247,0.4062877871785489,0.37968561064087064,0.09840175493575681,0.24691656590084643,0.31996239423378253,0.16831922611850061,0.4362268881228455,0.0528415961305925,0.6847383265434033,0.029891172914147522,0.7746787840802256,0.6746049874700579,3.389799665052608,0.2986247758948629,0.0
attention_rollout,all,0.003,0.01756546843864246,0.24688499283272664,0.032797451201748026,0.0036156994079217727,0.0,52.21876280213027,0.2573977844281907,0.32336474122310205,0.0077836952068824255,0.0020938946440379105,0.005571487095452683,0.007493938726030417,0.004465383039737813,0.012012342957901698,0.00922572716099959,0.12409080890456249,0.0131421548545678,0.3535375798986114,0.765344064050632,5.571270304445639,0.003749656262433901,0.0
attention_rollout,predicted,0.003,0.01867413632119514,0.2957674655787858,0.035130224105484824,0.003943673069561392,0.0,57.73048327137546,0.3114691025025421,0.37288310615083936,0.010532837670384139,0.002889682134965154,0.005947955390334572,0.00815910249872514,0.005328376703841388,0.014618391976882543,0.010793060718711276,0.14805371409144993,0.014368029739776952,0.3941866394696583,0.7374851022067336,5.393964370363283,0.0048230017352047265,0.0
attention_rollout,not_predicted,0.003,0.01455277202601417,0.1566227244193341,0.026631087390038603,0.0030420999220633275,0.0,41.46191051995163,0.15187044782359208,0.2267230955237455,0.0024183796856106408,0.0006267627702914447,0.0048367593712212815,0.006267627702914447,0.002781136638452237,0.007207771858351614,0.006166868198307134,0.0799122532121592,0.010749697702539298,0.2785960513945472,0.8197145167907196,5.91730631122789,0.001654880454632074,0.0
deeplift,all,0.019,0.3083290222452144,0.3285919064946518,0.31813814454502076,0.25520149174879714,0.08029496108152397,3.9594428512904547,0.46550400537461994,0.6273726614714866,0.4383449405981155,0.1179193299537139,0.26464563703400246,0.3559620894864448,0.18025399426464564,0.484901917566674,0.05635395329782876,0.7579898611417236,0.031663252765260136,0.851774300198369,0.7273929385712699,3.3599551074075524,0.3127108555565689,0.0
deeplift,predicted,0.019,0.3018552099316497,0.3678395376508578,0.3315966901574753,0.27013421684290995,0.042131350681536554,4.441759603469641,0.5162863256564896,0.6770446096589586,0.45291201982651796,0.12425633180350161,0.27930607187112766,0.383137854835968,0.1915737298636927,0.5255821859595444,0.05821561338289963,0.7985721570627231,0.032156133828996285,0.8822029576746558,0.7073413178364589,3.1767073644983093,0.33168658194298095,0.0
deeplift,not_predicted,0.019,0.3269230769230756,0.25612052730696716,0.28722280886518886,0.22896467272922194,0.154776299879081,3.01813784764208,0.3663955834460374,0.5304312777053681,0.40991535671100365,0.10623628956439987,0.23603385731559856,0.305860231902225,0.15816203143893592,0.4099028517706048,0.05272067714631197,0.6831714196176747,0.030701330108827085,0.795675336884989,0.7665263313959189,3.717587340848325,0.275677213007997,0.0
gradient_x_input,all,0.02,0.3388680159980605,0.30830301025471357,0.32286374133450274,0.26167634224865116,0.11183941007783695,3.380172060630889,0.44018954093948254,0.5927215621955579,0.4473576403113478,0.12034383954154727,0.2704629250307251,0.3637866431562707,0.18267103646046703,0.49140401146131807,0.05654240065546907,0.7605245757108221,0.031786153215895126,0.8550804496363236,0.7335150876210004,3.386514576562055,0.3218883308752707,0.0
