explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.006104417670682721,0.004190098136508983,0.004969268989549771,0.00046412035911626195,0.9344530929946743,2.5501843506759525,0.005219855250552543,0.009797897036640238,0.0012290045063498567,0.00033061494379545955,0.0009832036050798853,0.0013224597751818382,0.0009832036050798853,0.0026449195503636764,0.0011388775092175338,0.015318492395856293,0.0011880376894715281,0.031959444566894424,0.9654859513219513,7.630152848067631,0.0003339973033312381,0.0
random,predicted,0.002,0.005715646582519634,0.004054054054054047,0.004743551729505722,0.00045626183140107913,0.9277403551745255,2.5713410900183713,0.004128393549683358,0.0086752398447838,0.000612369871402327,0.00016891891891891893,0.0009797917942437231,0.0013513513513513514,0.0009797917942437231,0.002702702702702703,0.0010532761788120024,0.014527027027027028,0.0011512553582363747,0.03175675675675676,0.9654290666233739,7.65449042770575,0.00028006884927208453,0.0
random,not_predicted,0.002,0.0069101678183612686,0.004445855827246731,0.0054106280145591054,0.00047965144617424126,0.948019801980198,2.507425742574257,0.007425742574215141,0.012066831683053062,0.0024752475247524753,0.0006341154090044388,0.0009900990099009901,0.0012682308180088776,0.0009900990099009901,0.0025364616360177552,0.001311881188118812,0.016804058338617627,0.0012623762376237624,0.032339885859226376,0.9656009175506354,7.5809656357544535,0.00044298884476514624,0.0
laat,all,0.043000000000000003,0.36720839333470445,0.39364869335097546,0.37996913415497585,0.33658944485811493,0.19623105284719378,3.982793936911102,0.5515006357776198,0.630718284849902,0.4756247439573945,0.12794798324884285,0.3045473166734945,0.4096319153625744,0.20450634985661614,0.5501432664756447,0.05872183531339615,0.7898391007273529,0.031569029086439986,0.8492395856292705,0.5311182904164174,2.488560890204208,0.3958031845753865,0.0
laat,predicted,0.043000000000000003,0.3577763897564018,0.48378378378378295,0.4113464990974454,0.38356725312690426,0.0771586037966932,4.902020820575627,0.6665858153856862,0.7425494998909037,0.5199020208205756,0.14341216216216215,0.3287201469687691,0.45337837837837835,0.22302510716472748,0.6152027027027027,0.06253521126760564,0.8625,0.032963870177587264,0.9092905405405406,0.44449803113988046,1.9836339704431474,0.442865175792719,0.0
laat,not_predicted,0.043000000000000003,0.41118229470005585,0.22419815814544228,0.2901767365346838,0.25512718609523577,0.4368811881188119,2.125,0.3189089299608225,0.404702970293026,0.38613861386138615,0.09892200380469246,0.2556930693069307,0.32752060875079264,0.1670792079207921,0.4280279010779962,0.05101485148514851,0.6534559289790742,0.02875,0.7365250475586557,0.7061812649196167,3.509038192147043,0.3006890364839212,0.0
attention_rollout,all,0.003,0.016820509421142466,0.2238394530819272,0.03128973835174981,0.0035136178788625206,0.0,49.4412126177796,0.23090745852490105,0.293049296733438,0.00819336337566571,0.002204099625303064,0.005735354362965997,0.0077143486885607225,0.004547316673494469,0.012232752920432003,0.009373207701761574,0.12607449856733524,0.013281442031954117,0.3572845492616266,0.7683602416625578,5.590005540470932,0.004207826659104234,0.0
attention_rollout,predicted,0.003,0.018113042048133323,0.2790540540540536,0.034018018016873264,0.00375416362190208,0.0,55.851194121249236,0.28806989718773746,0.34649928556509474,0.007960808328230252,0.002195945945945946,0.0063686466625842006,0.008783783783783784,0.005021432945499081,0.013851351351351352,0.010912431108389468,0.15050675675675676,0.014421310471524802,0.39780405405405406,0.7396952922676633,5.403313312690049,0.00398563792243074,0.0
attention_rollout,not_predicted,0.003,0.012821817441742133,0.12003810733566174,0.023168863007756585,0.0031039953963634,0.0,36.48638613861386,0.11537990612835172,0.18502475247341893,0.008663366336633664,0.0022194039315155357,0.004455445544554455,0.0057070386810399495,0.0035891089108910893,0.009194673430564362,0.006262376237623763,0.0802155992390615,0.010977722772277227,0.2812301838934686,0.8262932396351602,5.967317926567692,0.0046568788954752995,0.0
deeplift,all,0.019,0.31270044900577265,0.3225272907707572,0.3175378602783424,0.25524426247437293,0.08275297009422368,3.832036050798853,0.46397467156122324,0.6213300559819978,0.4367062679229824,0.1174785100286533,0.2648914379352724,0.35629270443024025,0.18041786153215894,0.4853427374917346,0.057156902908643996,0.7687899493057087,0.03180663662433429,0.8556314745426493,0.7369657256255049,3.3567916172920995,0.31175538089771543,0.0
deeplift,predicted,0.019,0.31342224744608355,0.3731418918918913,0.340684762487326,0.28566289164015474,0.036129822412737295,4.315982853643601,0.5292450494928965,0.6923862012589477,0.48377219840783836,0.13344594594594594,0.28646662584200855,0.3951013513513513,0.19467238211879975,0.5369932432432433,0.059228413962033065,0.8168918918918919,0.032382118799755055,0.8932432432432432,0.7176491500035758,3.1388877769811523,0.34693719610781315,0.0
deeplift,not_predicted,0.019,0.3104943625325225,0.22737376945061852,0.26251145737367027,0.19707906368355965,0.17698019801980197,2.853960396039604,0.3320606527958489,0.4777227722725185,0.3415841584158416,0.08750792644261256,0.2212871287128713,0.28344958782498414,0.1516089108910891,0.3883956880152188,0.05297029702970297,0.6785034876347495,0.030643564356435643,0.7850348763474952,0.7760052899703198,3.797183908415588,0.24065153901889155,0.0
gradient_x_input,all,0.02,0.34645372233400357,0.3037821148969012,0.32371776040862793,0.26423079982035513,0.11183941007783695,3.2576812781646867,0.44008699398671297,0.5921070599423889,0.44858664481769767,0.12067445448534274,0.27079065956575177,0.36422746308133125,0.18303973781237198,0.49239585629270444,0.05768127816468661,0.7758430681066785,0.03196231052847194,0.8598192638307252,0.7439649327242762,3.382298347364947,0.32056174342696436,0.0
gradient_x_input,predicted,0.02,0.34749419183537944,0.35371621621621563,0.35057759919138354,0.2944677605594778,0.054500918554807105,3.6901408450704225,0.5045904450984705,0.6659522351436447,0.4960195958358849,0.13682432432432431,0.29393753827311697,0.40540540540540543,0.19761175750153093,0.5451013513513514,0.05964482547458665,0.8226351351351351,0.03249234537660747,0.8962837837837838,0.724826012623707,3.1694622433971094,0.35509963150229923,0.0
gradient_x_input,not_predicted,0.02,0.3431983385254396,0.20990790727214922,0.26049261083272773,0.20694155082069376,0.22772277227722773,2.383663366336634,0.3097229646977277,0.44286303629925705,0.3527227722772277,0.09036144578313253,0.22400990099009901,0.28693722257450854,0.1535891089108911,0.3934686112872543,0.05371287128712871,0.6880152187698161,0.03089108910891089,0.7913760304375397,0.7826454482245604,3.8124485426365777,0.2507593037895613,0.0
integrated_gradient,all,0.015,0.35988902100673753,0.30036387694343336,0.32744320230300994,0.26684487125969714,0.08643998361327325,3.1007783695206883,0.4706627747033094,0.619896217391276,0.4543219991806637,0.12221732422305488,0.2832445718967636,0.38097862023363455,0.19033183121671446,0.5120123429579017,0.058861122490782465,0.7917125854088605,0.032572716099959036,0.876239806039233,0.8380469673130884,3.4864089208131386,0.3500005068554489,0.0
