explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.00436540016168148,0.0029771749917300665,0.0035400550627019962,0.00046412035911626195,0.9319950839819746,2.533797623924621,0.004153742611318885,0.007510583094286039,0.00040966816878328555,0.00011020498126515319,0.0010651372388365424,0.0014326647564469914,0.001106104055714871,0.002975534494159136,0.0010569438754608766,0.014216442583204762,0.0010856206472757066,0.029204320035265595,0.9654918429465682,7.653412666511434,0.0005441533965979325,0.0
random,predicted,0.002,0.004950495049504938,0.0034476814342354707,0.0040646275736582185,0.000458400744820213,0.9287964713295526,2.545683679899181,0.004393584781084563,0.007771476580473991,0.000630119722747322,0.00017238407171177384,0.0011342155009451795,0.0015514566454059645,0.0010081915563957152,0.0027581451473883815,0.0010712035286704474,0.014652646095500776,0.0010964083175803402,0.029994828477848647,0.9654887320499208,7.674712299199885,0.00056880581403698,0.0
random,not_predicted,0.002,0.0032634032634032482,0.00214198286413708,0.002586366150766646,0.0004746327115470514,0.9379391100702577,2.511709601873536,0.0037080405932648644,0.007025761124051522,0.0,0.0,0.000936768149882904,0.0012221203788573174,0.001288056206088993,0.003360831041857623,0.0010304449648711944,0.013443324167430493,0.0010655737704918034,0.02780323861900397,0.9654976239687918,7.613831264782425,0.0004983414686403581,0.0
laat,all,0.041,0.3911036508602598,0.4110706803396181,0.40083866458292805,0.35354205073401,0.18476034412126177,3.904956984842278,0.5620703016205022,0.6440666393492914,0.4916018025399426,0.13224597751818382,0.3151986890618599,0.4239585629270443,0.21138877509217535,0.5686577033281904,0.05994264645637034,0.8062596429358607,0.032376075378943055,0.8709499669385056,0.5247914455328597,2.4313019751227074,0.4065549657052724,0.0
laat,predicted,0.041,0.3816170661048191,0.4995690398207197,0.4326987681921774,0.3986948019873042,0.06427221172022685,4.785129174543163,0.6762619266733211,0.7540432682138154,0.5330812854442344,0.14583692466816067,0.3352236925015753,0.4585416307533184,0.22766225582860744,0.6228236510946389,0.06346565847511026,0.868126185140493,0.03383112791430372,0.9255300810205137,0.4330935271017218,1.9293634164517492,0.4520981176716865,0.0
laat,not_predicted,0.041,0.42827657378740747,0.2539779681762538,0.3188628505523747,0.280999890320863,0.40866510538641687,2.269320843091335,0.3498664269614582,0.4396955503469496,0.41451990632318503,0.10815765352887259,0.27798594847775177,0.36266422242590896,0.18114754098360655,0.4726550565230675,0.053395784543325525,0.696608615948671,0.029672131147540984,0.7742132600061106,0.6951949543738617,3.36406133415176,0.3219214971213155,0.0
attention_rollout,all,0.003,0.017014274688085765,0.22119307531150048,0.03159801527787331,0.0033614902499604768,0.0,48.30028676771815,0.22406921629525747,0.2839683189921714,0.005735354362965997,0.0015428697377121445,0.005325686194182712,0.0071633237822349575,0.0047521507578861125,0.01278377782675777,0.008988119623105285,0.12089486444787305,0.012535845964768538,0.3372272426713687,0.7648481268177482,5.64172810236842,0.003136584697948351,0.0
attention_rollout,predicted,0.003,0.018378948602238758,0.2702982244440609,0.03441766539237198,0.0034141954728226327,0.0,53.758664146187776,0.2763093407157179,0.3346985927293542,0.005671077504725898,0.0015514566454059645,0.005671077504725898,0.007757283227029822,0.005419029615626969,0.014825030167212549,0.01037177063642092,0.14187209101878986,0.013642091997479521,0.37321151525599033,0.7370386107561907,5.452671888356311,0.0032606587094302646,0.0
attention_rollout,not_predicted,0.003,0.013441355183207509,0.1340269277845773,0.02443242036984986,0.0032932259609721615,0.0,38.156908665105384,0.1269906712656665,0.18969555034942034,0.00585480093676815,0.0015276504735716467,0.00468384074941452,0.006110601894286587,0.00351288056206089,0.00916590284142988,0.006416861826697893,0.08371524595172625,0.010480093676814989,0.27344943476932476,0.8165269347682068,5.993053877119264,0.002906016248039924,0.0
deeplift,all,0.019,0.3046738572162298,0.3270481861285695,0.31546479471953265,0.2457346276998849,0.08398197460057354,3.988119623105285,0.46679819156409263,0.6216031680945144,0.42933224088488325,0.11549482036588053,0.2612863580499795,0.3514436852545735,0.1776321179844326,0.4778487987657042,0.05596886521917247,0.7528102270222614,0.03134780827529701,0.8432885166409522,0.7289060111297545,3.359590857721789,0.30730132877461275,0.0
