explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0019139488592864796,0.01929650457602821,0.0034824831083150446,0.00046412035911626195,0.2732486685784515,37.45759934453093,0.02007469158783826,0.0462583640580029,0.0008193363375665711,0.00022040996253030638,0.0011470708725931996,0.0015428697377121445,0.0010651372388365424,0.0028653295128939827,0.0009832036050798853,0.013224597751818383,0.0010610405571487096,0.028543090147674675,0.9654653966491596,7.658604450350765,0.00048643942202669313,0.0
random,predicted,0.001,0.001840395917104856,0.02001682085786372,0.003370866084429027,0.00045355740060722447,0.2677595628415301,39.25925925925926,0.02173300372287789,0.04761181946929041,0.0012143290831815423,0.000336417157275021,0.0012143290831815423,0.001682085786375105,0.001032179720704311,0.002859545836837679,0.0009714632665452338,0.01345668629100084,0.0010868245294474803,0.030109335576114383,0.9654353605282207,7.666221194225617,0.0005097345953504349,0.0
random,not_predicted,0.001,0.0020915813849256733,0.017925736235595333,0.0037460699693641166,0.00048564381539440994,0.28463476070528965,33.72040302267003,0.01663484261251046,0.04345088161166719,0.0,0.0,0.0010075566750629723,0.001278363694471077,0.0011335012594458438,0.0028763183125599234,0.0010075566750629723,0.01278363694471077,0.0010075566750629723,0.02556727388942154,0.9655277007942307,7.642804982892478,0.0004381180738350018,0.0
laat,all,0.053,0.3726146220570008,0.33156908148638187,0.35089561817577397,0.30145526088583285,0.24866857845145432,3.306022122081114,0.4904517552139185,0.5912877236048665,0.48340843916427695,0.13004187789288077,0.28152396558787385,0.3786643156270663,0.18533387955755837,0.498567335243553,0.05505120852109791,0.7404672691205643,0.030598115526423598,0.8231210050694291,0.5145610525574694,2.6774112024987797,0.38377137436404934,0.0
laat,predicted,0.053,0.36107300716354157,0.39848612279226175,0.37885814808392887,0.3380674977388578,0.1384335154826958,3.9836065573770494,0.5832972835670084,0.680530257026513,0.5185185185185185,0.14365012615643397,0.3037037037037037,0.4206896551724138,0.19805707346690954,0.5486963835155593,0.05759562841530055,0.7978132884777124,0.031760777170613236,0.8798990748528175,0.43818558614382014,2.2430470664380455,0.4270692508139501,0.0
laat,not_predicted,0.053,0.42279655400927485,0.2042253521126754,0.27541549751341343,0.23901300380695545,0.47732997481108314,1.9005037783375316,0.2978615975343982,0.40617128463074625,0.4105793450881612,0.10418664109939278,0.23551637279596976,0.29881751358261427,0.1589420654911839,0.4033237456056248,0.04977329974811083,0.631511665068712,0.02818639798488665,0.7152444870565676,0.6729872404457321,3.578415902866574,0.2939582729623031,0.0
attention_rollout,all,0.003,0.017900929844864,0.24390781784099655,0.03335394080000468,0.003351767043529777,0.0,50.62228594838181,0.24556109392728634,0.3076949337672958,0.006554690700532569,0.001763279700242451,0.005653420729209341,0.00760414370729557,0.0047521507578861125,0.01278377782675777,0.010167963949201147,0.1367643817500551,0.01345759934453093,0.3620233634560282,0.7530880177624008,5.580983109827348,0.003967902060227073,0.0
attention_rollout,predicted,0.003,0.01819519479949049,0.27872161480235447,0.03416037025850541,0.003404788296084229,0.0,55.29326047358834,0.2861976070193839,0.3491702084564141,0.004857316332726169,0.001345668629100084,0.005585913782635094,0.007737594617325484,0.005403764420157863,0.014970563498738435,0.011208257437765634,0.1552565180824222,0.014019429265330905,0.3883936080740118,0.726357888707542,5.435367810945454,0.0035282034451924508,0.0
attention_rollout,not_predicted,0.003,0.017076397649303094,0.1776568501920609,0.03115789473524206,0.0032823223109737115,0.0,40.933249370277075,0.1612684779793206,0.22166246851165616,0.010075566750629723,0.002556727388942154,0.005793450881612091,0.007350591243208693,0.0034005037783375316,0.00862895493767977,0.00801007556675063,0.10162991371045062,0.012292191435768263,0.3119207414509428,0.8085345197187641,5.883033987986646,0.004879972109297629,0.0
deeplift,all,0.017,0.29121807990034676,0.3608997684419447,0.322336025206796,0.2602823086525171,0.05981155264235969,4.604260548955346,0.5018196370465219,0.6512358323028935,0.44448996312986483,0.1195724046726912,0.26775911511675543,0.3601498787745206,0.18340843916427693,0.4933877011240908,0.05703400245800901,0.7671368745867313,0.03176566980745596,0.8545294247299978,0.7334639979894394,3.347290874183532,0.31494225600513454,0.0
deeplift,predicted,0.017,0.29001433349259403,0.40841042893187485,0.33917720192292145,0.27942098119976577,0.022465088038858532,5.083181542197936,0.5670790732622312,0.7110908722862753,0.47783849423193686,0.13238015138772077,0.2837887067395264,0.3931034482758621,0.1918032786885246,0.5313708999158957,0.05812993321190042,0.8052144659377628,0.031948998178506376,0.8851135407905804,0.7151183969447452,3.1598606926339645,0.3418321676708048,0.0
deeplift,not_predicted,0.017,0.29473317056156156,0.27048655569782243,0.282089801363728,0.22560190981171352,0.13727959697732997,3.610831234256927,0.36645151179806745,0.5270780856371127,0.37531486146095716,0.09523809523809523,0.2345088161209068,0.2975391498881432,0.1659949622166247,0.42122083732821985,0.05476070528967254,0.6947906679450304,0.03138539042821159,0.796420581655481,0.7715184122471359,3.7360786689091445,0.25916431581198707,0.0
gradient_x_input,all,0.017,0.3050028425241612,0.3549454184584846,0.3280843907609663,0.266544780586946,0.07414993854977468,4.323637853338796,0.4943566958611559,0.6410282670974659,0.44653830397378125,0.12012342957901698,0.2739041376485047,0.3684152523694071,0.18619418271200328,0.5008816398501212,0.05747644408029496,0.7730879435750496,0.03192544039328144,0.8588274189993388,0.7399514430657838,3.3727784979782434,0.3266802249555331,0.0
gradient_x_input,predicted,0.017,0.30101265822784773,0.3999999999999993,0.3435175153436004,0.2870025351137615,0.037037037037037035,4.796599878567092,0.5567100905518322,0.6984922080483741,0.4772313296903461,0.13221194280908327,0.289738919247116,0.4013456686291001,0.19514268366727383,0.5406223717409588,0.05844565877352763,0.8095878889823381,0.03211900425015179,0.8898233809924306,0.7217272483818552,3.187757445705972,0.35426763516428483,0.0
gradient_x_input,not_predicted,0.017,0.31688018085907943,0.2692061459667085,0.29110418829548207,0.22964627143862495,0.15113350125944586,3.3425692695214106,0.3650165937760876,0.5218303946212118,0.38287153652392947,0.09715564077980185,0.24105793450881613,0.3058485139022052,0.167632241813602,0.42537551933525086,0.05546599496221662,0.7037392138063279,0.03152392947103275,0.7999360818152764,0.7777540232224966,3.756569018245787,0.2694554584393946,0.0
integrated_gradient,all,0.011,0.34518098560837296,0.3491013342154589,0.34713009154699803,0.2984541418725402,0.0594018844735764,3.757476444080295,0.5108023553643687,0.6581319131440173,0.4748054076198279,0.12772757328631254,0.2940598115526424,0.3955256777606348,0.19803359278984023,0.5327308794357505,0.05955755837771405,0.8010800088163985,0.032507169192953704,0.8744765263389905,0.8749914527516094,3.625661289507571,0.36518057742245524,0.0
integrated_gradient,predicted,0.011,0.34342085743954853,0.3894028595458362,0.36496925744417563,0.3134763587423842,0.018822100789313904,4.092896174863388,0.5675948454904723,0.705221615050962,0.5045537340619308,0.13978132884777122,0.30722525804493017,0.4255677039529016,0.20516089860352155,0.568376787216148,0.06044930176077717,0.8373423044575273,0.032452944748026714,0.8990748528174937,0.8699822725400106,3.4721390074955405,0.3947931240975117,0.0
