explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005378895744344241,0.003749035174771195,0.004418453536419967,0.00046412035911626195,0.9324047521507579,2.589512494879148,0.005112723773080427,0.009217533797532774,0.0016386726751331422,0.00044081992506061276,0.0010651372388365424,0.0014326647564469914,0.0012699713232281853,0.0034163544192197487,0.0010733306022122082,0.014436852545735067,0.0011102007374027038,0.02986554992285651,0.9654698322158131,7.633241451566757,0.0007056909058947949,0.0
random,predicted,0.002,0.005887681159420276,0.004380053908355787,0.005023183920919225,0.0004524883428605397,0.9248484848484848,2.6763636363636363,0.005658008657977433,0.009696969696872728,0.0024242424242424242,0.0006738544474393531,0.0009696969696969697,0.0013477088948787063,0.0012727272727272728,0.003537735849056604,0.0010303030303030303,0.014319407008086253,0.001090909090909091,0.03032345013477089,0.9654042331954524,7.651480944348434,0.0007551333839341248,0.0
random,not_predicted,0.002,0.004199475065616776,0.0025534631343759892,0.0031758634331692233,0.0004878831198358031,0.9481668773704172,2.4083438685208596,0.003975277426582251,0.008217446270464602,0.0,0.0,0.0012642225031605564,0.0015933715742511153,0.0012642225031605564,0.0031867431485022306,0.0011630847029077118,0.014659018483110261,0.001150442477876106,0.0289993626513703,0.9656066696160596,7.5951944691523865,0.0006025555218683797,0.0
laat,all,0.042,0.3366413699163258,0.3815194619031863,0.35767819299651815,0.30647876141795094,0.20237607537894306,4.210569438754609,0.5398771317851158,0.6271678273871404,0.46579270790659566,0.12530306369847918,0.28512904547316675,0.3835133348027331,0.19192953707496926,0.5163103372272426,0.05628021302744777,0.7569980163103373,0.03091356001638673,0.8316067886268459,0.5114387678532619,2.592667484925553,0.36817423717416914,0.0
laat,predicted,0.042,0.33617727218864757,0.4779312668463604,0.39471304347341196,0.35721718240297484,0.07939393939393939,5.114545454545454,0.6557846691845841,0.7419191919121471,0.5145454545454545,0.1430256064690027,0.31612121212121214,0.4393530997304582,0.21066666666666667,0.5855795148247979,0.059490909090909094,0.8268194070080862,0.03216969696969697,0.8942048517520216,0.4290258470297925,2.081032440610845,0.41963451123961637,0.0
laat,not_predicted,0.042,0.3387710712343647,0.19885094158953018,0.25060337891730067,0.20862154985887998,0.4589127686472819,2.324905183312263,0.29809781862566864,0.3878002528406661,0.3640960809102402,0.09177820267686425,0.22048040455120102,0.2778840025493945,0.15284450063211125,0.3852772466539197,0.049582806573957014,0.6249203314212874,0.02829329962073325,0.7131931166347992,0.6833494117960235,3.659921370032087,0.2608297969617951,0.0
attention_rollout,all,0.003,0.017149762320139567,0.23629948175101972,0.03197863117006941,0.003632557545205476,0.0,51.19131503482179,0.24758615741817097,0.3142154854537082,0.007374027038099139,0.0019836896627727575,0.005899221630479312,0.00793475865109103,0.0049979516591560835,0.013445007714348688,0.010012290045063498,0.1346704871060172,0.013527242933224088,0.3638968481375358,0.7542307869766678,5.591631466808531,0.0040336089421915975,0.0
attention_rollout,predicted,0.003,0.0182539088800778,0.28773584905660327,0.03432993316806554,0.00409557965599223,0.0,56.70848484848485,0.3012648849519279,0.36575757575400863,0.00909090909090909,0.002526954177897574,0.0061818181818181816,0.008591644204851753,0.005696969696969697,0.015835579514824796,0.011454545454545455,0.15919811320754718,0.01456969696969697,0.4049865229110512,0.7270160208318979,5.391478532315365,0.004948836845186016,0.0
attention_rollout,not_predicted,0.003,0.013858358023511416,0.13884455793169442,0.02520132089516905,0.0028092674831570606,0.0,39.6826801517067,0.13561409619099155,0.20670037926471235,0.0037926675094816687,0.0009560229445506692,0.005309734513274336,0.006692160611854685,0.0035398230088495575,0.008922880815806247,0.007003792667509482,0.08827278521351178,0.011352718078381795,0.28616953473550033,0.8109998946111435,6.009143909177335,0.0021244736198897116,0.0
deeplift,all,0.019,0.3109508329947173,0.337523431469842,0.3236926981391417,0.2625460063969506,0.08643998361327325,4.032773453502663,0.4778121969869444,0.6333811279469315,0.4473576403113478,0.12034383954154727,0.268824252355592,0.3615825435309676,0.18103236378533388,0.4869958122107119,0.05722244981564933,0.7696715891558299,0.03197460057353543,0.8601498787745206,0.7278079027329972,3.3237219494821946,0.3125104227870696,0.0
