explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004756619628983661,0.003307972213033407,0.0039021852188866166,0.0004641204066204476,0.931175747644408,2.583777140516182,0.00397475663758044,0.0077836952068045875,0.0008193363375665711,0.00022040996253030638,0.0013928717738631708,0.0018734846815076042,0.0009422367882015567,0.002534714569098523,0.0009832036050798853,0.013224597751818383,0.0009668168783285539,0.026008375578576153,0.9654615780234685,7.6669659222509114,0.0005402340097391785,0.0
random,predicted,0.002,0.005876821814762563,0.00415006640106241,0.00486475967602004,0.0004579821174100708,0.9254545454545454,2.578181818181818,0.00471861471859093,0.00909090909081818,0.0006060606060606061,0.00016600265604249667,0.0012121212121212121,0.0016600265604249668,0.0007272727272727272,0.00199203187250996,0.000896969696969697,0.012284196547144754,0.0009272727272727273,0.025398406374501994,0.9654365171270738,7.681604742869892,0.000507623768349841,0.0
random,not_predicted,0.002,0.0024354603019970658,0.00164203612479474,0.0019615535456012374,0.00047676188961169347,0.943109987357775,2.595448798988622,0.002423093131047812,0.0050568900125916565,0.0012642225031605564,0.0003278688524590164,0.0017699115044247787,0.0022950819672131148,0.001390644753476612,0.0036065573770491803,0.0011630847029077118,0.015081967213114755,0.0010493046776232618,0.02721311475409836,0.9655138542296012,7.636429823614605,0.0006082579013857109,0.0
laat,all,0.057,0.326122228231476,0.26596096592788593,0.29298511994646337,0.2381766905765289,0.28471937730438346,3.0299057763211796,0.41573475656011877,0.5240338658969018,0.42359688652191724,0.11395195062816839,0.2355591970503892,0.3168393211373154,0.159975419909873,0.4303504518404232,0.05177386317083162,0.696385276614503,0.029569848422777552,0.7954595547718757,0.5193285027931702,3.022295888774674,0.31949315774265913,0.0
laat,predicted,0.057,0.3069858970154144,0.3107569721115533,0.30885992409993285,0.2579621482669862,0.17212121212121212,3.695757575757576,0.48770963387717986,0.6037373737316014,0.4533333333333333,0.12416998671978752,0.24545454545454545,0.33615537848605576,0.16575757575757577,0.4540172642762284,0.0539030303030303,0.7382138114209827,0.03095151515151515,0.8477755644090306,0.4397154581758989,2.6704713193144025,0.3488688538044492,0.0
laat,not_predicted,0.057,0.4160246533127857,0.17733990147783193,0.24867603038954494,0.21332004063056845,0.5195954487989887,1.640960809102402,0.2655975282754779,0.35777496839089135,0.3615676359039191,0.09377049180327869,0.21491782553729458,0.2786885245901639,0.14791403286978508,0.3836065573770492,0.04733249051833122,0.6137704918032787,0.026687737041719343,0.6921311475409836,0.6853986970011319,3.756190376270816,0.2582164213305813,0.0
attention_rollout,all,0.003,0.017830357760974743,0.25559598632704794,0.03333525080411907,0.0033631586930838384,0.0,53.25809094633347,0.2686591051505043,0.33695206882095624,0.006964358869315854,0.0018734846815076042,0.005489553461696026,0.007383733744765263,0.004588283490372798,0.012342957901697156,0.01077427283900041,0.14491955036367643,0.014182712003277346,0.38152964513996035,0.7469993752228936,5.552881335410357,0.0033978069263385646,0.0
attention_rollout,predicted,0.003,0.018438850855240024,0.2959827357237711,0.03471505616992061,0.003814926585941592,0.0,58.60484848484848,0.3178068864423707,0.3866666666628919,0.00787878787878788,0.0021580345285524567,0.006303030303030303,0.008632138114209827,0.005393939393939394,0.014774236387782205,0.012206060606060606,0.16716467463479415,0.015315151515151516,0.4194887118193891,0.7198120904593628,5.358984074931647,0.0042086609879041035,0.0
attention_rollout,not_predicted,0.003,0.01606365410599009,0.1756978653530372,0.02943603851290787,0.0025904213200135507,0.0,42.10493046776232,0.1661384488526794,0.2332490518308249,0.0050568900126422255,0.0013114754098360656,0.0037926675094816687,0.004918032786885246,0.0029077117572692793,0.0075409836065573775,0.007787610619469027,0.10098360655737705,0.011820480404551201,0.30655737704918035,0.803711157599412,5.957344647407667,0.001706392006511588,0.0
deeplift,all,0.019,0.31052353252247455,0.32374021391553615,0.316994169720763,0.2506524005266736,0.0823433019254404,3.8734125358459646,0.4604548307359651,0.6174723473926512,0.4350675952478492,0.11703769010359268,0.2619418271200328,0.3523253251046947,0.18000819336337567,0.48424068767908307,0.056878328553871364,0.7650429799426934,0.03166734944694797,0.8518845051796341,0.7317825448873339,3.3747744837401474,0.30628741214572697,0.0
