explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.00198015469274782,0.01995809901863489,0.0036028504303016774,0.0004641204066204476,0.2695616550594019,37.44653830397378,0.021952550474857332,0.04840912194410073,0.0,0.0,0.0005735354362965998,0.0007714348688560723,0.0009012699713232282,0.00242450958783337,0.0010405571487095452,0.013996032620674455,0.0011183941007783696,0.03008595988538682,0.9654723889195622,7.63946576606668,0.0004570152982487772,0.0
random,predicted,0.001,0.0018694276675294793,0.019870923913043445,0.0034173554910238335,0.00045443417542579204,0.264,38.51446153846154,0.023492936123580166,0.04825641025595877,0.0,0.0,0.0008615384615384615,0.001188858695652174,0.0011692307692307692,0.0032269021739130435,0.0010707692307692308,0.014775815217391304,0.0011384615384615385,0.031419836956521736,0.9654409487689897,7.660637748565363,0.0005987389433910159,0.0
random,not_predicted,0.001,0.0022206030325110154,0.02011945928953153,0.003999750013833628,0.0004831838060970156,0.2806372549019608,35.31985294117647,0.018884993269986498,0.04871323529364812,0.0,0.0,0.0,0.0,0.0003676470588235294,0.0009416195856873823,0.000980392156862745,0.012554927809165096,0.0010784313725490195,0.027620841180163214,0.9655349995135333,7.5973034234681975,0.00017478377452802006,0.0
laat,all,0.045,0.35488611315209373,0.372808468408865,0.3636265863576613,0.31167896008597346,0.21179844326095862,3.9029086439983613,0.5350460971483623,0.632049706398429,0.4842277755018435,0.13026228785541105,0.29291274068004913,0.3939828080229226,0.1947152806226956,0.5238042759532731,0.057132322818517,0.7684593343619132,0.03159360917656698,0.8499008155168614,0.5150898546690984,2.5441900990161543,0.3827785156066103,0.0
laat,predicted,0.045,0.3477530991735533,0.4573709239130427,0.3950997652533081,0.3561462250202445,0.1003076923076923,4.765538461538462,0.6437333974579666,0.7343589743520103,0.5316923076923077,0.14673913043478262,0.31766153846153844,0.4383491847826087,0.21046153846153845,0.5808423913043478,0.05995076923076923,0.8272758152173914,0.032652307692307696,0.9011548913043478,0.43405908450499725,2.0829007729022533,0.43275001423330256,0.0
laat,not_predicted,0.045,0.38586651710599895,0.21628418736246396,0.2771958098261771,0.23241858159357778,0.4338235294117647,2.185049019607843,0.31860386307592686,0.42830882352518235,0.3897058823529412,0.09981167608286252,0.24362745098039215,0.31198995605775265,0.1633578431372549,0.41839296924042685,0.051519607843137256,0.6597614563716259,0.029485294117647057,0.7551789077212806,0.6764562780963831,3.462811612416999,0.2832641954247782,0.0
attention_rollout,all,0.003,0.017155781554527152,0.23585841878928193,0.0319850467277078,0.0036613879949518617,0.0,51.07783695206882,0.2460356997024716,0.30786562883762764,0.00819336337566571,0.002204099625303064,0.005407619827939369,0.00727352876350011,0.004383449405981155,0.011791932995371391,0.009430561245391234,0.12684593343619133,0.013240475215075789,0.3561824994489751,0.7588255061729692,5.570798060558314,0.0036845882741364353,0.0
attention_rollout,predicted,0.003,0.018248412474805485,0.2860054347826082,0.034307833349183074,0.003933196086802387,0.0,56.788923076923076,0.2959423596388076,0.3541538461503903,0.009230769230769232,0.002547554347826087,0.005907692307692307,0.008152173913043478,0.0048,0.013247282608695652,0.010621538461538462,0.14656929347826086,0.013975384615384615,0.38569972826086957,0.7297181369405691,5.4116279508328615,0.004349910880017743,0.0
attention_rollout,not_predicted,0.003,0.014043643322324759,0.14303678088651323,0.025576166383981653,0.0031898678505794054,0.0,39.7046568627451,0.14665050068709642,0.2156862745076777,0.006127450980392157,0.001569365976145637,0.004411764705882353,0.005649717514124294,0.003553921568627451,0.009102322661644695,0.007058823529411765,0.0903954802259887,0.011776960784313726,0.30163214061519145,0.816790549068374,5.887772850146378,0.002359650486688979,0.0
deeplift,all,0.021,0.3395973154362412,0.30686955562906576,0.32240500462893273,0.2631448018926119,0.10815239655878738,3.357230643179025,0.4496222256985507,0.6111224907765612,0.4543219991806637,0.12221732422305488,0.27079065956575177,0.36422746308133125,0.1840639082343302,0.4951509808243333,0.057435477263416634,0.7725369186687239,0.0319827939369111,0.8603702887370509,0.7273571263131042,3.3009324027612585,0.3127791427157715,0.0
deeplift,predicted,0.021,0.3333333333333328,0.34969429347826025,0.3413178615780939,0.2830229379450401,0.06215384615384616,3.801230769230769,0.5074763587271135,0.6633846153782573,0.48553846153846153,0.13400135869565216,0.288,0.39741847826086957,0.1947076923076923,0.5373641304347826,0.058572307692307694,0.8082540760869565,0.03232,0.891983695652174,0.7078252486070628,3.10605209539892,0.33954874005697855,0.0
deeplift,not_predicted,0.021,0.35877106045589513,0.22760138321282544,0.2785150990527602,0.2281125846461806,0.19975490196078433,2.4730392156862746,0.3344102573512288,0.5070465686224487,0.39215686274509803,0.10043942247332077,0.23651960784313725,0.30288763339610797,0.16286764705882353,0.4171374764595104,0.05517156862745098,0.7065285624607659,0.03131127450980392,0.8019460138104206,0.7662533288527087,3.6890212501433663,0.25946958918701973,0.0
