explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0019581245761043165,0.019737567537765996,0.0035627917143694976,0.0004641205966372874,0.26546497337156905,37.449405981155266,0.022559155569131826,0.04895534616913321,0.0008193363375665711,0.00022040996253030638,0.000737402703809914,0.0009918448313863788,0.0010241704219582138,0.00275512453162883,0.0010733306022122082,0.014436852545735067,0.0010651372388365424,0.02865329512893983,0.9654632609410223,7.653887234994194,0.00031426006926168657,0.0
random,predicted,0.001,0.001763504733617969,0.01908269166387677,0.003228638589178786,0.00045585647373422685,0.26674786845310594,39.369062119366625,0.023281176463148208,0.04628501826996143,0.0006090133982947625,0.00016739203213927018,0.0006090133982947625,0.0008369601606963508,0.0009135200974421437,0.0025108804820890528,0.0008891595615103532,0.012219618346166722,0.0009439707673568818,0.025945764981586877,0.965449370536036,7.665812230885494,0.0002803861086959764,0.0
random,not_predicted,0.001,0.0024280911468061253,0.02100161550888523,0.004352921478135436,0.00048095017729113165,0.26282853566958697,33.504380475594495,0.021075352930865383,0.0544430538167428,0.0012515644555694619,0.0003225806451612903,0.0010012515644555694,0.0012903225806451613,0.0012515644555694619,0.0032258064516129032,0.0014518147684605758,0.01870967741935484,0.0013141426783479348,0.03387096774193549,0.96549180667943,7.629380547568017,0.00038387338997369663,0.0
laat,all,0.051000000000000004,0.4064360826048392,0.35373249531370565,0.37825728097604,0.3270237487274481,0.26218762802130274,3.2335108562064727,0.5084169488110728,0.5893759388172306,0.48095043015157724,0.12938064800528984,0.3057763211798443,0.41128499008155167,0.20340024580090127,0.5471677319814856,0.05894305612453912,0.792814635221512,0.03202376075378943,0.8614723385497024,0.5268130090683063,2.5089264342836395,0.4010708788468907,0.0
laat,predicted,0.051000000000000004,0.39859713327233853,0.4375627720120515,0.4171720395736888,0.3709896817458611,0.14129110840438489,3.9939098660170522,0.6178241333296383,0.6949857896807657,0.5249695493300852,0.14429193170405089,0.33069427527405604,0.45446936725811854,0.22040194884287453,0.6057917643120188,0.06224116930572473,0.8553732842316706,0.033367844092570036,0.9171409440910613,0.44254193850263546,2.0163741624288356,0.449671081351092,0.0
laat,not_predicted,0.051000000000000004,0.4449438202247158,0.19192245557350504,0.26817155755786476,0.24885291546408334,0.5106382978723404,1.6708385481852315,0.28357765346753755,0.3723404255282134,0.3904881101376721,0.10064516129032258,0.25456821026282855,0.32806451612903226,0.16846057571964956,0.4341935483870968,0.05216520650813517,0.672258064516129,0.029261576971214016,0.7541935483870967,0.6999958599679701,3.5211552582956394,0.3011941172550276,0.0
attention_rollout,all,0.003,0.0174020532496408,0.2390561252618809,0.032442462513325096,0.0033730708608194753,0.0,51.03768947152806,0.24331914219778736,0.3090946333439625,0.008603031544448997,0.0023143046065682168,0.005571487095452683,0.007493938726030417,0.005120852109791069,0.013775622658144148,0.010126997132322818,0.13621335684372934,0.012957804178615322,0.3485783557416795,0.7529938083483738,5.606349288418797,0.004524392487055262,0.0
attention_rollout,predicted,0.003,0.01867800739426837,0.29260127217944376,0.03511450381566581,0.0033434427499654056,0.0,56.99512789281364,0.29895073093445657,0.36002842062173274,0.008526187576126675,0.002343488449949782,0.005724725943970767,0.007867425510545699,0.005724725943970767,0.015734851021091397,0.01141291108404385,0.15684633411449614,0.013855054811205846,0.38081687311683965,0.7241395248710493,5.418247289295693,0.004745471976315278,0.0
attention_rollout,not_predicted,0.003,0.013549698357905598,0.13570274636510457,0.024639211543579696,0.0035133391609115834,0.0,38.794743429286605,0.1289923978853832,0.2044221944076686,0.008760951188986232,0.0022580645161290325,0.005256570713391739,0.0067741935483870966,0.0038798498122653317,0.01,0.007484355444305381,0.0964516129032258,0.011113892365456821,0.2864516129032258,0.8122913471090332,5.992911844814462,0.004070058918388241,0.0
deeplift,all,0.018000000000000002,0.2776558175050107,0.32076303892380603,0.2976568095724328,0.2153960002029245,0.0680049160180254,4.2920934043424825,0.45190459504409336,0.6071965041591154,0.397378123719787,0.10689883182719859,0.24956984842277755,0.3356843729336566,0.17193773043834493,0.46253030636984793,0.05670626792298238,0.7627286753361252,0.03182712003277345,0.8561824994489751,0.727825088038704,3.4351679659404217,0.28398762643854397,0.0
deeplift,predicted,0.018000000000000002,0.2737041719342601,0.36240374958151933,0.3118697781570098,0.23297058753223726,0.029232643118148598,4.817295980511571,0.510592379536854,0.6672249289420691,0.43057247259439707,0.11834616672246401,0.26370280146163216,0.36240374958151994,0.17984165651644335,0.4943086709072648,0.05822168087697929,0.8001339136257114,0.03225334957369062,0.8865082022095748,0.707993956745573,3.2404571981828103,0.30442867883105307,0.0
