explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.007001909611712274,0.004851692579115664,0.005731778800609709,0.00046412035911626195,0.934043424825891,2.5743547726341665,0.005558481756734402,0.010514816332001001,0.0012290045063498567,0.00033061494379545955,0.0011470708725931996,0.0015428697377121445,0.0011880376894715281,0.0031959444566894424,0.0011798443260958623,0.01586951730218206,0.0011224907824662024,0.030196164866651973,0.9654724128461704,7.67175589385242,0.0006601254401464595,0.0
random,predicted,0.002,0.007695789950203695,0.005733558178752098,0.006571318124213808,0.0004565531545667241,0.927172582619339,2.703794369645043,0.006059722950759253,0.011423908608619611,0.0012239902080783353,0.0003372681281618887,0.0013463892288861688,0.001854974704890388,0.0012851897184822522,0.0035413153456998313,0.0011872705018359853,0.016357504215851602,0.0010954712362301101,0.03018549747048904,0.9654377091029238,7.687926661407086,0.0006471557095909802,0.0
random,not_predicted,0.002,0.005359056806002115,0.0031857279388340133,0.003996003991327438,0.0004791225295960031,0.9479553903345725,2.312267657992565,0.004543577034260292,0.008674101610817844,0.0012391573729863693,0.0003180661577608143,0.0007434944237918215,0.0009541984732824427,0.0009913258983890955,0.002544529262086514,0.0011648079306071871,0.01494910941475827,0.0011771995043370507,0.030216284987277353,0.9655426804006488,7.639013596226242,0.0006863863320022874,0.0
laat,all,0.04,0.3311897106109322,0.4088653655309291,0.36595114729335226,0.32163549670571623,0.19377304383449406,4.586644817697665,0.5623063198187828,0.6373071145644229,0.46128635804997953,0.12409080890456249,0.29176566980745594,0.3924399382852105,0.20061450225317493,0.5396737932554552,0.05981155264235969,0.8044963632356182,0.03229823842687423,0.8688560722944677,0.518713522042776,2.4885774311051794,0.3830151791641406,0.0
laat,predicted,0.04,0.31964422971340695,0.4908937605396282,0.3871782935378176,0.3572985559109087,0.08629130966952264,5.5734394124847,0.662863751142193,0.7338841289199993,0.4938800489596083,0.13608768971332208,0.31468788249694,0.43355817875210795,0.21444308445532437,0.590893760539629,0.06244798041615667,0.8603709949409781,0.03329253365973072,0.9173693086003373,0.44104840960644104,2.0557107009417575,0.4186307620356157,0.0
laat,not_predicted,0.04,0.38152225945428253,0.25390251672507086,0.30489671001815377,0.26276156123542305,0.4114002478314746,2.5885997521685256,0.35869932752330314,0.44175960346527565,0.3952912019826518,0.10146310432569974,0.24535315985130113,0.3148854961832061,0.17261462205700123,0.44306615776081426,0.05447335811648079,0.6991094147582697,0.030285006195786866,0.77735368956743,0.6759685328494319,3.365038691436072,0.3109013471790222,0.0
attention_rollout,all,0.003,0.018087099502762865,0.2522880141140145,0.03375427829451458,0.003472335715116016,0.0,51.82261368291684,0.2554253898030513,0.3215895124917377,0.00819336337566571,0.002204099625303064,0.005407619827939369,0.00727352876350011,0.004834084391642769,0.013004187789288076,0.009987709954936502,0.13433987216222174,0.01345759934453093,0.3620233634560282,0.7591481496881329,5.560005055097666,0.00427526053981516,0.0
attention_rollout,predicted,0.003,0.018962490023942534,0.3005059021922423,0.03567389019456923,0.003484767998885182,0.0,57.512239902080786,0.306601967484375,0.3736230110122699,0.008567931456548347,0.002360876897133221,0.005385556915544675,0.007419898819561552,0.0055079559363525096,0.01517706576728499,0.011077111383108936,0.15261382799325462,0.014283965728274175,0.3935919055649241,0.7318517742566611,5.403140900716256,0.00518541722678376,0.0
attention_rollout,not_predicted,0.003,0.015557741975156802,0.16119783370500107,0.02837674900997519,0.003465933982416966,0.0,40.30235439900867,0.15180391776924332,0.21623296158399316,0.007434944237918215,0.0019083969465648854,0.005452292441140025,0.006997455470737914,0.003469640644361834,0.008905852417302799,0.007781908302354399,0.09987277353689568,0.011784386617100372,0.30248091603053434,0.8144173906485106,5.877620951329669,0.0024323906184933594,0.0
deeplift,all,0.019,0.3037127884937002,0.30036387694343336,0.30202904977878964,0.24051157189488792,0.09381401065137239,3.674313805817288,0.43488013631178296,0.5971937730380681,0.4301515772224498,0.11571523032841084,0.25735354362965995,0.34615384615384615,0.17668988119623105,0.4753140841966057,0.05585415813191315,0.7512673572845493,0.031278164686603854,0.8414150319594446,0.7387721684511992,3.4360214765102364,0.3046094155343639,0.0
