explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005931388265469692,0.004079832396074535,0.00483438949017331,0.00046412035911626195,0.934043424825891,2.5555100368701353,0.0045095761810038425,0.007374027038025399,0.0012290045063498567,0.00033061494379545955,0.0011470708725931996,0.0015428697377121445,0.0011470708725931996,0.003085739475424289,0.0010815239655878738,0.01454705752700022,0.0011102007374027038,0.02986554992285651,0.965489375696972,7.653437209533264,0.0005608639158907109,0.0
random,predicted,0.002,0.007531584062196289,0.005237371177563769,0.006178375680263539,0.00045334734862648466,0.9277845777233782,2.518971848225214,0.005359776901982714,0.009179926560495717,0.0018359853121175031,0.0005068423720223011,0.001101591187270502,0.0015205271160669033,0.0012239902080783353,0.0033789491468153403,0.0011505507955936352,0.0158810609900321,0.001156670746634027,0.031931069437404966,0.9654703548457096,7.667568606182042,0.00042792729968001446,0.0
random,not_predicted,0.002,0.0028275212064090348,0.0019047619047618987,0.0022761760194693124,0.000485813025834764,0.9467162329615861,2.6294919454770755,0.002788104089207714,0.003717472118921933,0.0,0.0,0.0012391573729863693,0.001584786053882726,0.0009913258983890955,0.0025356576862123614,0.0009417596034696406,0.012044374009508717,0.0010161090458488229,0.025990491283676705,0.9655278887960582,7.624824195748751,0.0008300317360744505,0.0
laat,all,0.044,0.3634354278496997,0.38074760172014516,0.371890145390802,0.31967529390316257,0.21056943875460876,3.8922572716099957,0.5396879558740167,0.6286358049919395,0.47726341663252764,0.12838880317390347,0.29233920524375256,0.39321137315406657,0.19594428512904546,0.5271104253912277,0.05762392462105694,0.7750716332378224,0.03176976648914379,0.854639629711263,0.5182516543852963,2.5405021475593332,0.38418574566787805,0.0
laat,predicted,0.044,0.35340381640020585,0.46308498057104164,0.40087751370624136,0.360218110072527,0.09363525091799266,4.746634026927785,0.644918296474007,0.7285801713517347,0.5226438188494492,0.14428112856901504,0.31738066095471235,0.4380807568846089,0.2134638922888617,0.5892887312045954,0.0609547123623011,0.8413583375570197,0.0332374541003672,0.9175536408177057,0.4374808423049541,2.051714227344262,0.4329630702147906,0.0
laat,not_predicted,0.044,0.4080229226361008,0.2260317460317453,0.2909090909045016,0.24960293610289291,0.4473358116480793,2.162329615861214,0.32661933562570933,0.4262701363030855,0.3853779429987608,0.09857369255150554,0.241635687732342,0.3090332805071315,0.16047087980173483,0.410459587955626,0.050879801734820325,0.6507131537242472,0.028798017348203222,0.7366085578446909,0.6817950334922099,3.5301916910927003,0.28542224094711593,0.0
attention_rollout,all,0.003,0.016699578244228283,0.2265960965927884,0.031106670903766623,0.0034098671295822083,0.0,50.41253584596477,0.23397666472500653,0.30124266010902995,0.008603031544448997,0.0023143046065682168,0.004916018025399427,0.0066122988759091915,0.0043015157722244984,0.011571523032841084,0.00934043424825891,0.12563367864227462,0.012945514133551822,0.34824774079788406,0.7693853573501,5.589140700232355,0.003956830112877697,0.0
attention_rollout,predicted,0.003,0.01776882013291208,0.27555330292279057,0.03338484683999213,0.0037561827498543633,0.0,56.1750305997552,0.2806099329353698,0.34230926152257174,0.009791921664626682,0.0027031593174522725,0.0055079559363525096,0.007602635580334516,0.004834761321909424,0.013346849129920594,0.010477356181150551,0.14461902348369657,0.013806609547123623,0.3811454637607704,0.742139605624853,5.414744209597686,0.004927593496518116,0.0
attention_rollout,not_predicted,0.003,0.01356062302107653,0.13460317460317417,0.02463898654568282,0.0027719308377955176,0.0,38.74473358116481,0.13955440914169367,0.21809169764344488,0.006195786864931847,0.001584786053882726,0.0037174721189591076,0.004754358161648178,0.00322180916976456,0.008240887480190175,0.007038413878562577,0.09001584786053883,0.011201982651796779,0.2865293185419968,0.824552096283252,5.94225577544555,0.0019912447735115964,0.0
deeplift,all,0.019,0.3033660882291446,0.31999117874076494,0.3114569358683598,0.23829330492553602,0.0819336337566571,3.9188857025809094,0.4636935199869386,0.6178820155614345,0.42851290454731666,0.11527441040335024,0.2571896763621467,0.34593343619131584,0.177058582548136,0.47630592902799207,0.05646046702171241,0.7594225258981706,0.03167963949201147,0.8522151201234296,0.7314504796918492,3.392755367142648,0.3020591632028882,0.0
