explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0036138358286009107,0.003367003367003351,0.0034860557718986644,0.00045766076572655576,0.9468267581475128,3.322469982847341,0.0048599199542319425,0.00857632933096055,0.0,0.0,0.0010291595197255575,0.001443001443001443,0.0008576329331046312,0.002405002405002405,0.0007547169811320754,0.010582010582010581,0.0010120068610634649,0.02837902837902838,0.9654464722280338,7.626970176882361,0.0004955212502382314,0.0
random,predicted,0.002,0.003086419753086388,0.002212389380530957,0.002577319582764884,0.0004500718920146061,0.948849104859335,2.4859335038363173,0.004475703324774616,0.007672634271023018,0.0,0.0,0.001534526854219949,0.0022123893805309734,0.0010230179028132991,0.0029498525073746312,0.0007161125319693095,0.01032448377581121,0.0009718670076726343,0.028023598820058997,0.9654316971765292,7.672769897185386,0.0007388462631429382,0.0
random,not_predicted,0.002,0.004145077720207211,0.005532503457814584,0.004739336487993706,0.0004726064737281722,0.9427083333333334,5.026041666666667,0.005642361111095558,0.0104166666665625,0.0,0.0,0.0,0.0,0.0005208333333333333,0.0013831258644536654,0.0008333333333333334,0.011065006915629323,0.00109375,0.029045643153526972,0.9654765610047961,7.533700954806928,0.0,0.0
laat,all,0.046,0.3598418277680125,0.39393939393939204,0.3761194029800832,0.33494973950176643,0.19382504288164665,3.9039451114922814,0.5617132557707416,0.6509433962201215,0.5008576329331046,0.14045214045214044,0.3012006861063465,0.4223184223184223,0.20600343053173242,0.5776815776815777,0.05801029159519726,0.8133718133718134,0.0311663807890223,0.873977873977874,0.5105498172486711,2.3774902981983255,0.42414166729996855,0.0
laat,predicted,0.046,0.3504823151125383,0.48230088495574863,0.40595903165247843,0.38161353716493257,0.0741687979539642,4.772378516624041,0.6766641677406636,0.7723785166166327,0.5447570332480819,0.1570796460176991,0.32327365728900254,0.46607669616519176,0.219693094629156,0.633480825958702,0.058567774936061384,0.8443952802359882,0.03153452685421995,0.9092920353982301,0.4216010475602175,1.9287028971821454,0.46860557586171836,0.0
laat,not_predicted,0.046,0.4024390243902341,0.2282157676348516,0.29126213591770655,0.2541503037335148,0.4375,2.1354166666666665,0.3276205131653276,0.4036458333293098,0.4114583333333333,0.10926694329183956,0.25625,0.34024896265560167,0.178125,0.4730290456431535,0.056875,0.7551867219917012,0.030416666666666668,0.8077455048409405,0.6916902805204698,3.291427140892734,0.33359277017682193,0.0
attention_rollout,all,0.003,0.016743590607418382,0.2390572390572379,0.031295258483758616,0.003054896363742113,0.0,50.914236706689536,0.26557368684152627,0.3279016580870959,0.0017152658662092624,0.000481000481000481,0.005145797598627788,0.007215007215007215,0.005317324185248714,0.014911014911014911,0.010291595197255575,0.1443001443001443,0.01281303602058319,0.3593073593073593,0.7636092596290782,5.542051116584096,0.003386142283249425,0.0
attention_rollout,predicted,0.003,0.017366004455152968,0.2817109144542752,0.03271528283194682,0.003539404694053971,0.0,56.25831202046036,0.32004926020090135,0.378942881496693,0.0025575447570332483,0.0007374631268436578,0.006138107416879796,0.008849557522123894,0.006138107416879796,0.017699115044247787,0.010792838874680306,0.1556047197640118,0.012966751918158569,0.37389380530973454,0.735711577115075,5.390688081031581,0.004521759576275661,0.0
attention_rollout,not_predicted,0.003,0.014962269060629698,0.1590594744121693,0.027351647043261117,0.0021684918266058045,0.0,40.03125,0.15463645151071562,0.22395833333109372,0.0,0.0,0.003125,0.004149377593360996,0.0036458333333333334,0.009681881051175657,0.009270833333333334,0.12309820193637622,0.0125,0.33195020746887965,0.820421727665408,5.85029563169364,0.0010735049833887043,0.0
deeplift,all,0.017,0.25542511561721715,0.3453583453583437,0.2936605316924523,0.22339528383827015,0.060034305317324184,4.821612349914237,0.49437791877909504,0.6590909090845216,0.4202401372212693,0.11784511784511785,0.2538593481989708,0.35594035594035595,0.17084048027444254,0.4790764790764791,0.05334476843910806,0.7479557479557479,0.030171526586620926,0.8460798460798461,0.7261561914006442,3.3867976085372224,0.29934754637986627,0.0
