explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002114053168437185,0.019240019240019147,0.0038095238077398255,0.00045766076572655576,0.18010291595197256,32.45454545454545,0.022678945792031058,0.04888507718647942,0.0,0.0,0.0010291595197255575,0.001443001443001443,0.0010291595197255575,0.002886002886002886,0.0011663807890222985,0.016354016354016353,0.0010634648370497427,0.029822029822029823,0.9654043264452152,7.646257746255159,0.0008761329516046497,0.0
random,predicted,0.001,0.0018263557178982849,0.018030513176144118,0.003316749583735969,0.00045762204100699384,0.15012106537530268,34.469733656174334,0.022343287597387684,0.04721549636757264,0.0,0.0,0.0009685230024213075,0.0013869625520110957,0.0009685230024213075,0.0027739251040221915,0.0009685230024213075,0.013869625520110958,0.000847457627118644,0.024271844660194174,0.9653529230551936,7.640166923864748,0.0007046132954123269,0.0
random,not_predicted,0.001,0.00298826040554962,0.021978021978021633,0.005261180005408637,0.00045774845249403926,0.2529411764705882,27.558823529411764,0.0234943977590176,0.05294117647005882,0.0,0.0,0.001176470588235294,0.0015698587127158557,0.001176470588235294,0.0031397174254317113,0.0016470588235294118,0.02197802197802198,0.001588235294117647,0.0423861852433281,0.965529206445679,7.6610548618271626,0.001292824822236587,0.0
laat,all,0.043000000000000003,0.37805907172995623,0.4309764309764289,0.40278714317326186,0.34801483889522583,0.19039451114922812,4.065180102915952,0.5818453844577612,0.6743853630581109,0.5214408233276158,0.14622414622414623,0.30874785591766724,0.4329004329004329,0.20274442538593482,0.5685425685425686,0.057667238421955404,0.8085618085618086,0.03135506003430532,0.8792688792688793,0.513238875044032,2.3507216618267726,0.4307369953492512,0.0
laat,predicted,0.043000000000000003,0.3753680078508323,0.5305131761442404,0.43965517240893726,0.39978861428363427,0.07021791767554479,4.934624697336562,0.6830727383957212,0.7776432606866793,0.5617433414043583,0.1608876560332871,0.33753026634382566,0.48335644937586686,0.21864406779661016,0.6262135922330098,0.06062953995157385,0.8682385575589459,0.032397094430992736,0.9278779472954231,0.4322017917085781,1.9191717557529788,0.4762696794536935,0.0
laat,not_predicted,0.043000000000000003,0.39457831325300013,0.20565149136577385,0.27038183694079426,0.2298837041757591,0.4823529411764706,1.9529411764705882,0.33592245989083513,0.42352941176047054,0.4235294117647059,0.1130298273155416,0.2388235294117647,0.31868131868131866,0.16411764705882353,0.4379905808477237,0.050470588235294114,0.673469387755102,0.028823529411764706,0.7692307692307693,0.7101113186766348,3.3991340807001653,0.3201193569072826,0.0
attention_rollout,all,0.003,0.015122014537902384,0.22414622414622307,0.028332573338229135,0.0027830716364004985,0.0,52.85763293310463,0.2229360976348016,0.28702115494285974,0.0017152658662092624,0.000481000481000481,0.0044596912521440825,0.006253006253006253,0.004631217838765009,0.012987012987012988,0.00758147512864494,0.1063011063011063,0.011149228130360206,0.3126503126503126,0.7571201492948719,5.648908833710416,0.003775074777026631,0.0
attention_rollout,predicted,0.003,0.016169762137504064,0.2753120665742006,0.030545510501375675,0.0033184195151068833,0.0,59.44794188861985,0.274757412346816,0.3397901533461434,0.002421307506053269,0.0006934812760055479,0.005326876513317191,0.0076282940360610264,0.005569007263922518,0.0159500693481276,0.008813559322033898,0.1262135922330097,0.012130750605326876,0.3474341192787795,0.7281710171652628,5.468346445276374,0.0047852941173472194,0.0
attention_rollout,not_predicted,0.003,0.011015325670498066,0.10832025117739233,0.019997101867618543,0.001602189423889264,0.0,36.84705882352941,0.09704078601090796,0.15882352941017647,0.0,0.0,0.002352941176470588,0.0031397174254317113,0.002352941176470588,0.006279434850863423,0.004588235294117647,0.061224489795918366,0.008764705882352942,0.23390894819466249,0.8274495114685695,6.087569224435471,0.0013208360267183796,0.0
deeplift,all,0.018000000000000002,0.2902428983120614,0.33910533910533747,0.312777284822003,0.25173333903282535,0.07547169811320754,4.166380789022298,0.48161345753250795,0.6598056031954299,0.44939965694682676,0.12602212602212604,0.2614065180102916,0.3665223665223665,0.17753001715265868,0.49783549783549785,0.0548885077186964,0.7696007696007696,0.030480274442538594,0.8547378547378547,0.7337836616431145,3.3483508067683347,0.3135954012473641,0.0
deeplift,predicted,0.018000000000000002,0.2895287958115168,0.3834951456310653,0.32995226729819815,0.27516593649742876,0.031476997578692496,4.624697336561743,0.5366072957142255,0.7110573042708127,0.4721549636803874,0.13522884882108183,0.2799031476997579,0.40083217753120665,0.1864406779661017,0.5339805825242718,0.055738498789346246,0.7981969486823856,0.030605326876513315,0.8765603328710125,0.7152679551948764,3.184940042520279,0.34194191779868216,0.0
deeplift,not_predicted,0.018000000000000002,0.29287090558766293,0.2386185243328063,0.26297577854176035,0.1997857866704902,0.18235294117647058,3.052941176470588,0.3480107800675117,0.5352941176417059,0.3941176470588235,0.10518053375196232,0.2164705882352941,0.28885400313971743,0.15588235294117647,0.41601255886970173,0.05282352941176471,0.7048665620094191,0.030176470588235294,0.8053375196232339,0.7787659367203045,3.7453428399121402,0.24473004044916188,0.0
