explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0016956337431114868,0.015392015392015318,0.0030547467883416534,0.00045766076572655576,0.1835334476843911,32.3704974271012,0.017499795801604545,0.041166380788619214,0.0,0.0,0.00034305317324185246,0.000481000481000481,0.00034305317324185246,0.000962000962000962,0.000823327615780446,0.011544011544011544,0.000960548885077187,0.026936026936026935,0.9654143679872453,7.6232233290899725,0.0,0.0
random,predicted,0.001,0.0013943930720681042,0.01363962670495324,0.0025301285022121273,0.0004523825916164023,0.1517412935323383,33.8955223880597,0.017827529021469155,0.037313432835460195,0.0,0.0,0.0004975124378109452,0.0007178750897343862,0.0002487562189054726,0.0007178750897343862,0.0006965174129353234,0.010050251256281407,0.0009701492537313432,0.02799712849964106,0.9653503696331112,7.606795695560452,0.0,0.0
random,not_predicted,0.001,0.002478078536027445,0.01895043731778398,0.004383007415351745,0.00046876686979897006,0.2541436464088398,28.983425414364643,0.01677190213096602,0.049723756905580105,0.0,0.0,0.0,0.0,0.0005524861878453039,0.0014577259475218659,0.0011049723756906078,0.014577259475218658,0.0009392265193370166,0.02478134110787172,0.9655565079781957,7.6597090123986264,0.0,0.0
laat,all,0.042,0.373626373626372,0.42520442520442314,0.3977502812098671,0.35023426513918265,0.19210977701543738,4.058319039451115,0.5774542424380049,0.6569468267518154,0.4974271012006861,0.1394901394901395,0.30360205831903947,0.42568542568542567,0.20222984562607205,0.5670995670995671,0.05718696397941681,0.8018278018278018,0.031132075471698113,0.873015873015873,0.5286543222085773,2.4029519795171574,0.4300476467596382,0.0
laat,predicted,0.042,0.3687405159332303,0.5233309404163637,0.43264094955004373,0.39473642609619164,0.07213930348258707,4.917910447761194,0.6912443933859121,0.7686567164105554,0.5522388059701493,0.15936826992103373,0.32736318407960197,0.4723618090452261,0.21666666666666667,0.6252692031586504,0.059203980099502486,0.8542713567839196,0.03161691542288557,0.9124192390524049,0.4468200405275579,1.9555129863366705,0.4737189975308351,0.0
laat,not_predicted,0.042,0.39845758354754757,0.22594752186588593,0.2883720930186321,0.2699269024016374,0.4585635359116022,2.149171270718232,0.3247269458575699,0.408839779001464,0.3756906077348066,0.09912536443148688,0.25082872928176797,0.33090379008746357,0.17016574585635358,0.4489795918367347,0.05270718232044199,0.6953352769679301,0.03005524861878453,0.793002915451895,0.7104078096990182,3.396711511332384,0.33305381797499123,0.0
attention_rollout,all,0.003,0.015472033956322306,0.21741221741221636,0.02888824976707832,0.0030748346173724616,0.0,50.109777015437395,0.22732040686469235,0.2938822184076196,0.0017152658662092624,0.000481000481000481,0.005831903945111492,0.008177008177008177,0.004802744425385935,0.013468013468013467,0.00692967409948542,0.09716209716209716,0.011080617495711835,0.31072631072631074,0.7755070750227228,5.6361030689257285,0.002945735725663126,0.0
attention_rollout,predicted,0.003,0.01616597063182001,0.2584350323043772,0.03042853520301663,0.003430714676890334,0.0,55.3955223880597,0.2791631875572071,0.3416252072934757,0.0024875621890547263,0.0007178750897343862,0.006467661691542288,0.00933237616654702,0.005472636815920398,0.015793251974156496,0.00736318407960199,0.10624551328068917,0.011691542288557214,0.3374012921751615,0.7498786814241314,5.473048219049527,0.003996241458928026,0.0
attention_rollout,not_predicted,0.003,0.013246940244780398,0.1341107871720097,0.02411217402535878,0.002330070906177667,0.0,38.370165745856355,0.11217787737081969,0.18784530386555248,0.0,0.0,0.004419889502762431,0.0058309037900874635,0.0033149171270718232,0.008746355685131196,0.0059668508287292815,0.07871720116618076,0.009723756906077349,0.2565597667638484,0.8324275956118594,5.998246989645247,0.0006125682959808617,0.0
deeplift,all,0.02,0.2898550724637667,0.27898027898027766,0.28431372548519657,0.21365710870150495,0.0823327615780446,3.432246998284734,0.4148305525209594,0.571183533442104,0.40823327615780447,0.11447811447811448,0.2425385934819897,0.3400673400673401,0.16638078902229847,0.4665704665704666,0.05320754716981132,0.746031746031746,0.030154373927958833,0.8455988455988456,0.7380740909467819,3.454305892369308,0.296369519568851,0.0
