explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004702194357366746,0.004329004329004308,0.004507888800417981,0.00045766076572655576,0.9502572898799314,3.2830188679245285,0.005819652046042848,0.012864493996445112,0.0,0.0,0.00034305317324185246,0.000481000481000481,0.0005145797598627787,0.001443001443001443,0.0008576329331046312,0.012025012025012025,0.0008576329331046312,0.02405002405002405,0.9654221911475614,7.637889831582352,0.00017830206509451794,0.0
random,predicted,0.002,0.00513259195893922,0.004332129963898886,0.0046985121328587485,0.0004511100891015678,0.9475,2.9225,0.006041666666640798,0.01124999999989375,0.0,0.0,0.0,0.0,0.00025,0.0007220216606498195,0.0009,0.012996389891696752,0.000875,0.02527075812274368,0.9654001727114061,7.660235888625728,0.00006756756756756757,0.0
random,not_predicted,0.002,0.004026845637583838,0.004322766570605125,0.004169562190975646,0.0004713194635922625,0.9562841530054644,4.0710382513661205,0.005334374186812355,0.016393442622786886,0.0,0.0,0.001092896174863388,0.001440922190201729,0.001092896174863388,0.002881844380403458,0.0007650273224043716,0.010086455331412104,0.000819672131147541,0.021613832853025938,0.9654703188768624,7.5890459910503845,0.0004203446826397646,0.0
laat,all,0.057,0.36028214867064373,0.3193843193843178,0.3386027536921097,0.28098545993152285,0.27615780445969124,3.1612349914236706,0.4692020981657683,0.5494568324703412,0.45969125214408235,0.12890812890812892,0.2655231560891938,0.3722943722943723,0.18216123499142367,0.5108225108225108,0.05437392795883362,0.7623857623857624,0.029914236706689537,0.8388648388648389,0.5230404176367203,2.7256918948893887,0.3635467319132405,0.0
laat,predicted,0.057,0.3538163001293638,0.39494584837544844,0.3732514500120716,0.3235269123839722,0.1575,3.865,0.5599232954511458,0.6308333333272221,0.5025,0.14512635379061373,0.289,0.41732851985559566,0.19725,0.5696750902527076,0.05595,0.8079422382671481,0.030175,0.8714801444043321,0.44324434366443977,2.3016457606742464,0.3979464533212827,0.0
laat,not_predicted,0.057,0.39393939393938066,0.16858789625359988,0.23612512613101463,0.2003959821982952,0.5355191256830601,1.6229508196721312,0.2709043991813364,0.37158469944983596,0.366120218579235,0.09654178674351585,0.21420765027322405,0.2824207492795389,0.14918032786885246,0.39337175792507206,0.05092896174863388,0.6714697406340058,0.02934426229508197,0.7737752161383286,0.6974580656635629,3.6525686909880624,0.28835608402680923,0.0
attention_rollout,all,0.003,0.0173435378348352,0.270322270322269,0.032595771828464064,0.0027505117401173612,0.0,55.58147512864494,0.2865060706383497,0.3467695826152177,0.0017152658662092624,0.000481000481000481,0.0044596912521440825,0.006253006253006253,0.003945111492281304,0.011063011063011063,0.00967409948542024,0.13564213564213565,0.01274442538593482,0.35738335738335736,0.7610433626277393,5.513878945436327,0.0024171339487904474,0.0
attention_rollout,predicted,0.003,0.017934870224085114,0.32129963898916736,0.03397335572675359,0.002902270468875827,0.0,62.03,0.3425261127742475,0.39916666666273604,0.0025,0.0007220216606498195,0.005,0.007220216606498195,0.00475,0.013718411552346571,0.0106,0.15306859205776174,0.01305,0.3768953068592058,0.7308170663289165,5.366160492672045,0.0032457855764307375,0.0
attention_rollout,not_predicted,0.003,0.015410958904109569,0.16858789625359988,0.028240405501723628,0.0024296233667533106,0.0,41.486338797814206,0.16405789110633276,0.2322404371561612,0.0,0.0,0.003278688524590164,0.004322766570605188,0.002185792349726776,0.005763688760806916,0.007650273224043716,0.10086455331412104,0.012076502732240438,0.3184438040345821,0.8271117698382813,5.836760809401969,0.0006058735605056611,0.0
deeplift,all,0.02,0.324490762671718,0.3294853294853279,0.32696897374201545,0.2587716091216778,0.10463121783876501,3.620926243567753,0.46826475624040825,0.6485134362429773,0.47684391080617494,0.1337181337181337,0.26998284734133793,0.3785473785473785,0.17855917667238422,0.5007215007215007,0.05536878216123499,0.7763347763347763,0.030806174957118352,0.8638768638768639,0.7293041449817278,3.3082226135538946,0.3175346072148452,0.0
deeplift,predicted,0.02,0.3144266337854481,0.3682310469314053,0.33920851346360215,0.2737118526524388,0.055,4.055,0.5230440423944634,0.6939583333266457,0.52,0.15018050541516245,0.281,0.40577617328519855,0.184,0.5314079422382672,0.05585,0.8064981949458484,0.030675,0.8859205776173286,0.710236484297644,3.1702124030632057,0.3386996672906068,0.0
deeplift,not_predicted,0.02,0.3578732106339395,0.25216138328529897,0.29585798816082565,0.23496532934265513,0.21311475409836064,2.6721311475409837,0.34852861164138066,0.5491803278633742,0.3825136612021858,0.10086455331412104,0.2459016393442623,0.3242074927953891,0.16666666666666666,0.43948126801152737,0.05431693989071038,0.7161383285302594,0.03109289617486339,0.8198847262247838,0.7709820918321847,3.6098842758286223,0.2712721808197379,0.0
gradient_x_input,all,0.018000000000000002,0.31346394330971106,0.36171236171236,0.33586422509551533,0.2677294061316374,0.08747855917667238,4.114922813036021,0.49683863614353035,0.6690966266372912,0.4699828473413379,0.1317941317941318,0.27684391080617493,0.38816738816738816,0.18319039451114924,0.5137085137085137,0.05588336192109777,0.7835497835497836,0.030943396226415093,0.8677248677248677,0.7351545100018669,3.324177189648012,0.3290918431348776,0.0
gradient_x_input,predicted,0.018000000000000002,0.303211758301577,0.40216606498194657,0.3457479826145872,0.28230247672194225,0.035,4.5925,0.5522507523510836,0.7127083333264644,0.5,0.1444043321299639,0.2855,0.4122743682310469,0.18875,0.5451263537906137,0.0565,0.8158844765342961,0.0307,0.8866425992779784,0.7161473346135601,3.1895975376672228,0.3516999989200436,0.0
gradient_x_input,not_predicted,0.018000000000000002,0.34697508896796536,0.2809798270893331,0.31050955413517767,0.2453668796368425,0.20218579234972678,3.07103825136612,0.37571925645488957,0.5737704917975682,0.40437158469945356,0.10662824207492795,0.25792349726775954,0.3400576368876081,0.17103825136612022,0.4510086455331412,0.05453551912568306,0.7190201729106628,0.031475409836065574,0.829971181556196,0.7767002485555426,3.6183403633765137,0.2796751091782305,0.0
integrated_gradient,all,0.012,0.3530633437175475,0.32708032708032553,0.3395755305817722,0.2758969294440711,0.05317324185248713,3.3036020583190395,0.49731278821877334,0.6710977701478692,0.4562607204116638,0.12794612794612795,0.2816466552315609,0.3949013949013949,0.18867924528301888,0.5291005291005291,0.056981132075471695,0.798941798941799,0.03137221269296741,0.8797498797498797,0.8716896106894352,3.6984685622502607,0.34723224988243256,0.0
integrated_gradient,predicted,0.012,0.3553299492385761,0.353790613718409,0.35455861070411465,0.29352492652742035,0.0175,3.4475,0.5429541500131743,0.7193749999931005,0.495,0.14296028880866427,0.292,0.4216606498194946,0.19525,0.563898916967509,0.05795,0.8368231046931408,0.0316,0.9126353790613718,0.8703700680244189,3.5828480205484663,0.38213276632009796,0.0
integrated_gradient,not_predicted,0.012,0.34734917733088944,0.27377521613832456,0.30620467364534726,0.2407811160246541,0.13114754098360656,2.989071038251366,0.3975502487774601,0.5655737704861611,0.37158469945355194,0.09798270893371758,0.25901639344262295,0.3414985590778098,0.17431693989071037,0.4596541786743516,0.054863387978142074,0.723342939481268,0.03087431693989071,0.8141210374639769,0.8745738569517664,3.9511910577733103,0.2709469680514699,0.0
grad_attention,all,0.047,0.3901808785529699,0.43578643578643367,0.4117246080386398,0.3736780586546187,0.02058319039451115,3.9828473413379073,0.601899658371286,0.7348484848413517,0.5523156089193825,0.15488215488215487,0.32075471698113206,0.4497354497354497,0.21114922813036022,0.5921115921115921,0.0597598627787307,0.8379028379028379,0.03221269296740995,0.9033189033189033,0.29125086446686116,2.2366094080550196,0.43853594777273297,0.0
grad_attention,predicted,0.047,0.3956496178718378,0.485920577617325,0.4361633182063263,0.4041173701335296,0.0,4.2525,0.6669503621339247,0.7872916666591011,0.5825,0.16823104693140795,0.337,0.4866425992779783,0.21925,0.6332129963898917,0.06015,0.8685920577617329,0.032175,0.9292418772563177,0.24383167561544017,1.9936632942075372,0.47525512066994113,0.0
grad_attention,not_predicted,0.047,0.37520128824476046,0.33573487031699806,0.35437262356915455,0.31016614045526614,0.06557377049180328,3.3934426229508197,0.4597123277425675,0.6202185792287841,0.48633879781420764,0.1282420749279539,0.28524590163934427,0.3760806916426513,0.19344262295081968,0.5100864553314121,0.058907103825136614,0.776657060518732,0.03229508196721311,0.8515850144092219,0.39489936468854636,2.7676391650986965,0.3582754605657209,0.0
