explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004136504653567714,0.0038480038480038295,0.003987042108138827,0.00045766076572655576,0.9519725557461407,3.3173241852487134,0.006432246998247928,0.009433962264060892,0.0,0.0,0.0,0.0,0.0008576329331046312,0.002405002405002405,0.0008576329331046312,0.012025012025012025,0.0010120068610634649,0.02837902837902838,0.9654372406960625,7.601911888534404,0.000055331156974492333,0.0
random,predicted,0.002,0.0032467532467532114,0.002242152466367696,0.002652519889066669,0.00044601367775278113,0.9512820512820512,2.3692307692307693,0.002564102564094017,0.0038461538461217947,0.0,0.0,0.0,0.0,0.0007692307692307692,0.002242152466367713,0.000717948717948718,0.01046337817638266,0.0008717948717948718,0.025411061285500747,0.9654086289113544,7.61484994009199,0.00008271298593879239,0.0
random,not_predicted,0.002,0.004950495049504901,0.006747638326585604,0.0057110222681048045,0.00048030864205532556,0.9533678756476683,5.233160621761658,0.014248704663118523,0.020725388600829016,0.0,0.0,0.0,0.0,0.0010362694300518134,0.002699055330634278,0.0011398963730569949,0.014844804318488529,0.0012953367875647669,0.033738191632928474,0.9654950572558352,7.575767639272962,0.0,0.0
laat,all,0.048,0.37911852802738394,0.42616642616642414,0.40126811593704426,0.3490858569204659,0.18524871355060035,4.008576329331047,0.5836717908510446,0.6778158947904867,0.5025728987993139,0.14093314093314094,0.3077186963979417,0.4314574314574315,0.19811320754716982,0.5555555555555556,0.05471698113207547,0.7671957671957672,0.029725557461406517,0.8335738335738335,0.49329881994107033,2.4742360033281146,0.4147003056487512,0.0
laat,predicted,0.048,0.3696215655780178,0.5328849028400559,0.4364860728448701,0.4018751425207705,0.05897435897435897,4.946153846153846,0.6975442826363976,0.7965811965735797,0.5564102564102564,0.16218236173393125,0.3415384615384615,0.4977578475336323,0.21564102564102564,0.6285500747384155,0.05692307692307692,0.8295964125560538,0.03046153846153846,0.8878923766816144,0.4069177432796088,1.9769299107456788,0.46342965599931546,0.0
laat,not_predicted,0.048,0.42401960784312687,0.2334682860998619,0.3011314186203059,0.25693806430776417,0.44041450777202074,2.1139896373056994,0.353566755637119,0.4378238341925258,0.39378238341968913,0.10256410256410256,0.23937823834196892,0.3117408906882591,0.16269430051813472,0.42375168690958165,0.050259067357512954,0.6545209176788124,0.028238341968911916,0.7354925775978407,0.6678512546455783,3.4791550505154203,0.31623167022533133,0.0
attention_rollout,all,0.002,0.014615825794157367,0.37999037999037816,0.028148939960091917,0.0029060899271379534,0.0,92.71183533447685,0.36782385472175083,0.43825042881218557,0.0017152658662092624,0.000481000481000481,0.0044596912521440825,0.006253006253006253,0.004288164665523156,0.012025012025012025,0.007409948542024014,0.1038961038961039,0.01125214408233276,0.31553631553631556,0.753634195551686,5.671820680467095,0.002749852096801545,0.0
attention_rollout,predicted,0.002,0.014492394589506017,0.43721973094170075,0.02805486284227168,0.0034768482384504476,0.0,103.50256410256411,0.42837509712298516,0.4987179487130876,0.002564102564102564,0.0007473841554559044,0.005128205128205128,0.007473841554559043,0.004615384615384616,0.013452914798206279,0.008461538461538461,0.12331838565022421,0.011538461538461539,0.336322869955157,0.726908411611377,5.523174212759925,0.0036017175980608135,0.0
attention_rollout,not_predicted,0.002,0.014979905005480442,0.2766531713900098,0.028420906695268314,0.0019156859504568505,0.0,70.90673575129534,0.2454664218902411,0.3160621761626942,0.0,0.0,0.0031088082901554403,0.004048582995951417,0.003626943005181347,0.009446693657219974,0.005284974093264248,0.06882591093117409,0.010673575129533678,0.27800269905533065,0.8076396656901342,5.972194371688839,0.001028465850733594,0.0
deeplift,all,0.017,0.25354969574036423,0.360750360750359,0.2977963073209402,0.19209891887073782,0.05660377358490566,5.073756432246999,0.4957431957188152,0.6515151515088125,0.346483704974271,0.09716209716209716,0.24082332761578046,0.33766233766233766,0.1692967409948542,0.47474747474747475,0.05409948542024014,0.7585377585377585,0.030017152658662092,0.8417508417508418,0.720540493119824,3.4430575946368567,0.24937081058482388,0.0
