explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0022349936143039578,0.020202020202020103,0.004024723298479314,0.00045766096722099414,0.18010291595197256,32.23327615780446,0.02089737735096475,0.047598627786855696,0.0017152658662092624,0.000481000481000481,0.0010291595197255575,0.001443001443001443,0.0005145797598627787,0.001443001443001443,0.000960548885077187,0.013468013468013467,0.0009948542024013722,0.027898027898027897,0.9654159161701006,7.6663766200990455,0.00029731275014293886,0.0
random,predicted,0.001,0.002354152872802176,0.022873481057898336,0.004268943434807292,0.00046447481477447904,0.16962025316455695,34.4126582278481,0.023224423255948503,0.04999999999953639,0.002531645569620253,0.0007147962830593281,0.0015189873417721519,0.002144388849177984,0.0007594936708860759,0.002144388849177984,0.0011139240506329114,0.015725518227305217,0.0010379746835443037,0.029306647605432452,0.9653721288084319,7.656957576777302,0.00043881856540084387,0.0
random,not_predicted,0.001,0.0019234468166955147,0.01470588235294096,0.0034019391032442574,0.00044425280597911354,0.20212765957446807,27.654255319148938,0.01600810536974888,0.04255319148893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0006382978723404255,0.008823529411764706,0.0009042553191489362,0.025,0.9655079162119047,7.686166631333563,0.0,0.0
laat,all,0.047,0.3599999999999984,0.38528138528138345,0.3722118959057847,0.32257556755139666,0.2367066895368782,3.816466552315609,0.5456549215950691,0.6220697541392128,0.48027444253859347,0.13468013468013468,0.29777015437392795,0.4175084175084175,0.1986277873070326,0.556998556998557,0.05749571183533448,0.8061568061568062,0.031012006861063465,0.8696488696488697,0.5193244949186134,2.432492328433284,0.40033841458922964,0.0
laat,predicted,0.047,0.3569096844396063,0.46890636168691585,0.4053135619351574,0.36976140446561734,0.10379746835443038,4.653164556962025,0.6566849535798615,0.7434599156046864,0.5468354430379747,0.15439599714081487,0.32759493670886075,0.4624731951393853,0.21949367088607594,0.6197283774124375,0.06045569620253165,0.8534667619728378,0.032227848101265825,0.9099356683345247,0.43858656668474805,1.9843533004741176,0.45627004933648924,0.0
laat,not_predicted,0.047,0.37467700258396963,0.21323529411764391,0.27179006559987057,0.22478601545285082,0.5159574468085106,2.0585106382978724,0.3123737373717019,0.36702127659207434,0.3404255319148936,0.09411764705882353,0.2351063829787234,0.325,0.15478723404255318,0.4279411764705882,0.05127659574468085,0.7088235294117647,0.028457446808510638,0.7867647058823529,0.6889600356227457,3.3740610307942975,0.2828224798808917,0.0
attention_rollout,all,0.003,0.017566875719953915,0.2640692640692628,0.032942305960247595,0.002916639231675673,0.0,53.60548885077187,0.28459234209515244,0.34648370497085756,0.0017152658662092624,0.000481000481000481,0.005145797598627788,0.007215007215007215,0.004802744425385935,0.013468013468013467,0.010634648370497428,0.1491101491101491,0.01346483704974271,0.3775853775853776,0.7653403947420107,5.508161738026162,0.00318089320263221,0.0
attention_rollout,predicted,0.003,0.01840596577438682,0.30521801286633093,0.03471826977695791,0.003274713901781676,0.0,58.731645569620255,0.32799023058348176,0.39240506328729113,0.002531645569620253,0.0007147962830593281,0.005569620253164557,0.007862759113652609,0.005822784810126582,0.016440314510364547,0.01230379746835443,0.17369549678341673,0.014075949367088607,0.39742673338098644,0.7367700682640691,5.334465894635993,0.004414141457119094,0.0
attention_rollout,not_predicted,0.003,0.015149633676890581,0.17941176470587972,0.02793999770840014,0.002230135536974212,0.0,42.83510638297872,0.1934106083031839,0.24999999999750003,0.0,0.0,0.00425531914893617,0.0058823529411764705,0.0026595744680851063,0.007352941176470588,0.007127659574468085,0.09852941176470588,0.012180851063829786,0.33676470588235297,0.8253684743100259,5.873107791957639,0.0005897599019815744,0.0
deeplift,all,0.02,0.32043416705993244,0.326599326599325,0.3234873749354467,0.2569386509578532,0.08919382504288165,3.6346483704974273,0.4780897870919903,0.6509433962200779,0.44596912521440824,0.12506012506012507,0.2583190394511149,0.3621933621933622,0.17547169811320754,0.49206349206349204,0.054202401372212695,0.75998075998076,0.030411663807890222,0.8528138528138528,0.730089384583053,3.3343697293728254,0.29853785438602876,0.0
deeplift,predicted,0.02,0.31818181818181623,0.3702644746247293,0.34225305582588195,0.27550145845730245,0.0379746835443038,4.121518987341772,0.5392421783528275,0.712658227841229,0.47848101265822784,0.135096497498213,0.2769620253164557,0.3909935668334525,0.18556962025316456,0.5239456754824875,0.05665822784810127,0.7998570407433881,0.0309873417721519,0.8749106504646176,0.7089146762902104,3.14906569712382,0.3145413113686333,0.0
deeplift,not_predicted,0.02,0.3279022403258589,0.23676470588234946,0.27497865072100086,0.21852530744163035,0.19680851063829788,2.6117021276595747,0.3496047097088485,0.5212765957394679,0.3776595744680851,0.10441176470588236,0.21914893617021278,0.3029411764705882,0.15425531914893617,0.4264705882352941,0.04904255319148936,0.6779411764705883,0.02920212765957447,0.8073529411764706,0.7745787982834407,3.723705329044937,0.2649135697683224,0.0
gradient_x_input,all,0.02,0.330960854092525,0.31313131313131165,0.3217993079534798,0.2576827207092666,0.10291595197255575,3.3739279588336193,0.45391720438614536,0.6173527730071249,0.43739279588336194,0.12265512265512266,0.2648370497427101,0.37133237133237135,0.1771869639794168,0.49687349687349686,0.05475128644939966,0.7676767676767676,0.030703259005145797,0.860990860990861,0.7366095604593527,3.363199563582521,0.3067721377438425,0.0
gradient_x_input,predicted,0.02,0.32642140468227204,0.34882058613294964,0.33724948168125063,0.2728793274209673,0.04810126582278481,3.7848101265822787,0.5014966116834917,0.6605485232003641,0.46582278481012657,0.13152251608291637,0.28405063291139243,0.4010007147962831,0.18632911392405063,0.5260900643316655,0.0570632911392405,0.8055754110078628,0.031291139240506326,0.8834882058613295,0.7157292580619895,3.1859066136753795,0.3234638576387273,0.0
gradient_x_input,not_predicted,0.02,0.34533898305084015,0.23970588235293766,0.28298611110626914,0.22932795650761442,0.21808510638297873,2.5106382978723403,0.3539498326709761,0.526595744675585,0.3776595744680851,0.10441176470588236,0.22446808510638297,0.31029411764705883,0.1579787234042553,0.43676470588235294,0.04989361702127659,0.6897058823529412,0.02946808510638298,0.8147058823529412,0.7804804085814717,3.735703367908695,0.27170176881575997,0.0
