explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004699738903394231,0.004329004329004308,0.004506760135218722,0.00045766076572655576,0.9519725557461407,3.2847341337907374,0.005917667238390894,0.01029159519715266,0.003430531732418525,0.000962000962000962,0.0017152658662092624,0.002405002405002405,0.0017152658662092624,0.00481000481000481,0.0012006861063464838,0.016835016835016835,0.0011149228130360206,0.031265031265031266,0.9654149191521424,7.660027337049471,0.0010308139901789065,0.0
random,predicted,0.002,0.0020283975659229005,0.001429592566118646,0.0016771488421100855,0.0004575690556415714,0.9475,2.465,0.0013333333333295555,0.00499999999995,0.0025,0.0007147962830593281,0.0015,0.002144388849177984,0.0015,0.004288777698355968,0.001,0.014295925661186561,0.000975,0.027877055039313797,0.9653826721908197,7.682355002967066,0.00065609104436541,0.0
random,not_predicted,0.002,0.007534983853605947,0.010294117647058672,0.008701056551987255,0.0004578495614070457,0.9617486338797814,5.076502732240437,0.015938069216667048,0.02185792349704918,0.00546448087431694,0.0014705882352941176,0.002185792349726776,0.0029411764705882353,0.002185792349726776,0.0058823529411764705,0.001639344262295082,0.022058823529411766,0.0014207650273224044,0.03823529411764706,0.9654854043135035,7.611223695699537,0.0018498805384051288,0.0
laat,all,0.047,0.38123569794050166,0.40067340067339874,0.3907129455859956,0.34291167713189674,0.18696397941680962,3.7478559176672386,0.5611565559431019,0.6538021726637969,0.4939965694682676,0.13852813852813853,0.302229845626072,0.4237614237614238,0.2058319039451115,0.5772005772005772,0.05921097770154374,0.8302068302068302,0.03212692967409948,0.9009139009139009,0.5093834120049785,2.3326628043909468,0.41565813240788485,0.0
laat,predicted,0.047,0.37582417582417377,0.4889206576125769,0.4249767008338527,0.3886109448139773,0.0675,4.55,0.6677756236779464,0.755416666659459,0.5325,0.1522516082916369,0.318,0.45461043602573264,0.21675,0.6197283774124375,0.06065,0.8670478913509649,0.032625,0.9328091493924232,0.42148955505368557,1.9099343989214355,0.46339281942147237,0.0
laat,not_predicted,0.047,0.4082191780821806,0.2191176470588203,0.2851674641102814,0.25301895845454336,0.44808743169398907,1.994535519125683,0.32810941335327787,0.4316939890667212,0.4098360655737705,0.11029411764705882,0.2677595628415301,0.3602941176470588,0.1819672131147541,0.48970588235294116,0.0560655737704918,0.7544117647058823,0.03103825136612022,0.8352941176470589,0.7015011321170943,3.256659319078403,0.3113200187169832,0.0
attention_rollout,all,0.003,0.016265359755664458,0.22029822029821924,0.03029401064792401,0.0025701949976376197,0.0,48.298456260720414,0.22264915378012787,0.28444825614356734,0.0017152658662092624,0.000481000481000481,0.0037735849056603774,0.005291005291005291,0.0037735849056603774,0.010582010582010581,0.009056603773584906,0.12698412698412698,0.011989708404802745,0.3362193362193362,0.76636554651181,5.6034185922047275,0.0030002070641376444,0.0
attention_rollout,predicted,0.003,0.018013791809354026,0.27448177269478,0.033808769148342244,0.003055631823057682,0.0,53.2925,0.27658281301891746,0.3370833333300244,0.0025,0.0007147962830593281,0.0045,0.006433166547533953,0.00425,0.012151536812008578,0.01055,0.15082201572551823,0.01265,0.36168691922802,0.7399091275956822,5.4418502081488205,0.004095614642049277,0.0
attention_rollout,not_predicted,0.003,0.010817131998245855,0.1088235294117631,0.019678234275711904,0.0016040716880149262,0.0,37.38251366120219,0.10476137402321081,0.16939890710213112,0.0,0.0,0.002185792349726776,0.0029411764705882353,0.00273224043715847,0.007352941176470588,0.005792349726775957,0.07794117647058824,0.010546448087431694,0.2838235294117647,0.8241937845798489,5.956573530031847,0.0006058735605056611,0.0
deeplift,all,0.021,0.32851445663010803,0.3169793169793155,0.32264381884444926,0.25727134400317114,0.1097770154373928,3.4408233276157802,0.46051310753008795,0.6323613493363113,0.4339622641509434,0.12169312169312169,0.25728987993138935,0.36075036075036077,0.17495711835334476,0.4906204906204906,0.054408233276157805,0.7628667628667629,0.030823327615780445,0.8643578643578643,0.7307673078493389,3.3020741983909017,0.3124223941503003,0.0
deeplift,predicted,0.021,0.32729624838292154,0.36168691922801743,0.34363327673524774,0.28181219354418063,0.065,3.865,0.5266083881364607,0.6941666666599486,0.4675,0.13366690493209435,0.2785,0.39814152966404576,0.1875,0.536097212294496,0.0564,0.806290207290922,0.0312,0.8920657612580415,0.7102228705711344,3.107218907203397,0.3490922378407364,0.0
deeplift,not_predicted,0.021,0.33260869565216666,0.2249999999999967,0.26842105262676047,0.2066834976877061,0.20765027322404372,2.5136612021857925,0.31604254882763344,0.4972677595578687,0.36065573770491804,0.09705882352941177,0.21092896174863388,0.2838235294117647,0.14754098360655737,0.39705882352941174,0.05005464480874317,0.6735294117647059,0.03,0.8073529411764706,0.7756731816814794,3.7279874031723326,0.23226973034606854,0.0
gradient_x_input,all,0.02,0.330165082541269,0.31746031746031594,0.3236880823883304,0.26052314990204084,0.11663807890222985,3.4288164665523158,0.4606591712052964,0.6217838764947926,0.4425385934819897,0.1240981240981241,0.26620926243567755,0.37325637325637323,0.17564322469982846,0.49254449254449256,0.0548885077186964,0.7696007696007696,0.030891938250428817,0.8662818662818663,0.7379041114608648,3.333014525237978,0.32298041850319115,0.0
gradient_x_input,predicted,0.02,0.3249190938511306,0.3588277340957801,0.34103260869066215,0.28406253709229234,0.065,3.8625,0.5229472680065832,0.6749999999934667,0.475,0.13581129378127232,0.287,0.41029306647605435,0.18675,0.5339528234453181,0.05635,0.8055754110078628,0.031175,0.8913509649749821,0.717612119754946,3.1512447192965425,0.3509828198420577,0.0
gradient_x_input,not_predicted,0.02,0.3480176211453668,0.23235294117646718,0.27865961198813904,0.2142762506170228,0.22950819672131148,2.480874316939891,0.3245103257380027,0.5054644808692759,0.37158469945355194,0.1,0.22076502732240438,0.29705882352941176,0.15136612021857923,0.4073529411764706,0.051693989071038254,0.6955882352941176,0.03027322404371585,0.8147058823529412,0.7822581916923811,3.73032557647609,0.26177298388271797,0.0
integrated_gradient,all,0.014,0.2873607376104484,0.35978835978835805,0.31952157197284853,0.24693889439400404,0.0411663807890223,4.464837049742711,0.5300123951678452,0.6806746712340961,0.4562607204116638,0.12794612794612795,0.2665523156089194,0.37373737373737376,0.17787307032590052,0.4987974987974988,0.05622641509433962,0.7883597883597884,0.031132075471698113,0.873015873015873,0.799153180178595,3.4205241803321864,0.3422393236516622,0.0
integrated_gradient,predicted,0.014,0.2825203252032506,0.39742673338098355,0.33026433025947105,0.26140054393521583,0.005,4.92,0.5864273192049945,0.7283333333263263,0.4825,0.13795568263045033,0.2805,0.4010007147962831,0.186,0.5318084345961401,0.05795,0.8284488920657612,0.0314,0.8977841315225161,0.7870675126064929,3.253632663617844,0.3715700673651041,0.0
integrated_gradient,not_predicted,0.014,0.30236220472440467,0.2823529411764664,0.29201520912047674,0.219423320639002,0.12021857923497267,3.469945355191257,0.40670108579702724,0.5765027322346857,0.3989071038251366,0.10735294117647058,0.2360655737704918,0.3176470588235294,0.16010928961748633,0.4308823529411765,0.05245901639344262,0.7058823529411765,0.030546448087431694,0.8220588235294117,0.8255699398990373,3.785314380800695,0.2781284084310242,0.0
grad_attention,all,0.049,0.3933870284018635,0.4463684463684442,0.41820639927397246,0.3739296831003537,0.025728987993138937,4.04631217838765,0.6225296406434754,0.7652944539662841,0.5471698113207547,0.15343915343915343,0.3234991423670669,0.4535834535834536,0.21337907375643225,0.5983645983645983,0.06144082332761578,0.8614718614718615,0.033156089193825046,0.9297739297739298,0.28206537074341936,2.1173951531866084,0.45239570213494806,0.0
grad_attention,predicted,0.049,0.3989547038327503,0.49106504646175486,0.4402435116900203,0.40633567927760067,0.0,4.305,0.6896125645146927,0.8191666666588152,0.5725,0.16368834882058614,0.337,0.48177269478198714,0.2245,0.6418870621872766,0.06255,0.8942101501072195,0.0333,0.952108649035025,0.2349530654912243,1.897758950778716,0.4895569991796471,0.0
grad_attention,not_predicted,0.049,0.37833594976451523,0.35441176470587715,0.36598329536326096,0.30293319944559227,0.08196721311475409,3.480874316939891,0.47590029884846485,0.6475409836000956,0.4918032786885246,0.1323529411764706,0.2939890710382514,0.39558823529411763,0.18907103825136612,0.5088235294117647,0.05901639344262295,0.7941176470588235,0.03284153005464481,0.8838235294117647,0.38504308714166,2.5974742841328218,0.3711688233487207,0.0
