explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005768222338751936,0.0052910052910052656,0.005519317606650025,0.00045766076572655576,0.9468267581475128,3.2710120068610635,0.007820795556595069,0.013722126929536877,0.0,0.0,0.0006861063464837049,0.000962000962000962,0.0006861063464837049,0.001924001924001924,0.0010634648370497427,0.014911014911014911,0.0010634648370497427,0.029822029822029823,0.9654232572865751,7.620796902169042,0.00013194352816994328,0.0
random,predicted,0.002,0.007077856420626825,0.005143277002204224,0.005957446803635878,0.0004545096305280828,0.9437340153452686,2.5294117647058822,0.008312020460296781,0.012787723785038363,0.0,0.0,0.0,0.0,0.0002557544757033248,0.0007347538574577516,0.0008695652173913044,0.012490815576781777,0.0010485933503836316,0.030124908155767818,0.9653535335577735,7.647541898912903,0.0,0.0
random,not_predicted,0.002,0.0043572984749454865,0.005571030640668446,0.004889975545196914,0.00046375538518178176,0.953125,4.78125,0.006820436507910849,0.01562499999984375,0.0,0.0,0.0020833333333333333,0.002785515320334262,0.0015625,0.004178272980501393,0.0014583333333333334,0.019498607242339833,0.00109375,0.02924791086350975,0.9655652467551242,7.566331830675035,0.0004006410256410257,0.0
laat,all,0.042,0.3875365141187907,0.38287638287638104,0.385192354217113,0.3239312835043764,0.12521440823327615,3.523156089193825,0.564794177612299,0.7226986849558585,0.4957118353344768,0.139009139009139,0.307032590051458,0.4304954304954305,0.1993138936535163,0.5589225589225589,0.053447684391080615,0.7493987493987494,0.029571183533447683,0.8292448292448292,0.5003431601868574,2.5509884635953033,0.38899434891773677,0.0
laat,predicted,0.042,0.3756188118811858,0.44599559147685197,0.40779308027719724,0.35241129994693204,0.03580562659846547,4.132992327365729,0.6502098640165767,0.8141517476478021,0.5140664961636828,0.14768552534900808,0.3273657289002558,0.47024246877296105,0.209462915601023,0.6017634092578986,0.05421994884910486,0.7788390889052168,0.03017902813299233,0.8670095518001469,0.41493136236281775,2.208237051303217,0.402137671240622,0.0
laat,not_predicted,0.042,0.4315068493150586,0.2632311977715841,0.32698961937245036,0.2807324392887338,0.3072916666666667,2.28125,0.39084869123692095,0.5364583333279946,0.4583333333333333,0.12256267409470752,0.265625,0.3551532033426184,0.17864583333333334,0.4777158774373259,0.051875,0.6935933147632312,0.028333333333333332,0.7576601671309192,0.6742807276306054,3.2489874334192925,0.362228520645611,0.0
attention_rollout,all,0.002,0.013609389917445102,0.349687349687348,0.02619914231071349,0.002771169483857797,0.0,91.62778730703259,0.35763851166756383,0.422241280727722,0.003430531732418525,0.000962000962000962,0.005488850771869639,0.007696007696007696,0.0044596912521440825,0.012506012506012507,0.007684391080617496,0.10774410774410774,0.01111492281303602,0.3116883116883117,0.747318142872539,5.756965296189753,0.0037764916471157537,0.0
attention_rollout,predicted,0.002,0.013438241538653676,0.3952975753122675,0.02599284955004528,0.00334308304575334,0.0,102.3913043478261,0.424887062352821,0.4812446717770765,0.0025575447570332483,0.0007347538574577516,0.005626598465473146,0.008082292432035268,0.005115089514066497,0.014695077149155033,0.008388746803069053,0.12049963262307127,0.011355498721227621,0.3262307127112417,0.7200308913619677,5.598861466889453,0.00505255100798286,0.0
attention_rollout,not_predicted,0.002,0.014121338912133881,0.2632311977715841,0.026804708551011955,0.0018051032291762068,0.0,69.70833333333333,0.22068964021998264,0.3020833333303385,0.005208333333333333,0.001392757660167131,0.005208333333333333,0.006963788300835654,0.003125,0.008356545961002786,0.00625,0.08356545961002786,0.010625,0.2841225626740947,0.8028874936050044,6.078937156900259,0.0011778499278499279,0.0
deeplift,all,0.019,0.28177257525083493,0.32419432419432265,0.3014985461815586,0.22528473134656962,0.058319039451114926,4.102915951972555,0.47599854880868864,0.6303602058258069,0.411663807890223,0.11544011544011544,0.24562607204116638,0.3443963443963444,0.16826758147512866,0.47186147186147187,0.05300171526586621,0.7431457431457431,0.02967409948542024,0.8321308321308322,0.7260917423002199,3.366612448110826,0.30413450549361837,0.0
