explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0016459594350642446,0.014911014911014838,0.0029646631264071857,0.00045766076572655576,0.18181818181818182,32.305317324185246,0.018543249203526846,0.03773584905623499,0.003430531732418525,0.000962000962000962,0.0006861063464837049,0.000962000962000962,0.00034305317324185246,0.000962000962000962,0.000960548885077187,0.013468013468013467,0.0011149228130360206,0.031265031265031266,0.9654627203132551,7.684102893327399,0.0006463320655281279,0.0
random,predicted,0.001,0.0014131647452584595,0.013552068473609033,0.0025594396157208707,0.0004574765437222896,0.16791979949874686,33.69674185463659,0.01614452798654479,0.03508771929790727,0.005012531328320802,0.0014265335235378032,0.0010025062656641604,0.0014265335235378032,0.0005012531328320802,0.0014265335235378032,0.0011528822055137844,0.016405135520684736,0.0012030075187969924,0.034236804564907276,0.9654554781564418,7.695971314820398,0.000944389960408267,0.0
random,not_predicted,0.001,0.0022267582111708995,0.017725258493352766,0.003956478731943795,0.00045804274343922444,0.21195652173913043,29.28804347826087,0.02374482401643902,0.04347826086913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0005434782608695652,0.007385524372230428,0.0009239130434782609,0.025110782865583457,0.9654784247728662,7.658366479328991,0.0,0.0
laat,all,0.047,0.33250311332502974,0.38528138528138345,0.35695187165277936,0.2958142144991175,0.22984562607204118,4.132075471698113,0.5410172993545778,0.6214979988504699,0.5042881646655232,0.1414141414141414,0.2854202401372213,0.4001924001924002,0.18816466552315608,0.5276575276575276,0.05457975986277873,0.7652717652717653,0.030171526586620926,0.8460798460798461,0.5158821049224814,2.596392915599474,0.40673511256062256,0.0
laat,predicted,0.047,0.32372281234193057,0.45649072753209374,0.378810298900144,0.329306157460569,0.12531328320802004,4.954887218045113,0.6310593159239946,0.7126148705027667,0.5488721804511278,0.15620542082738945,0.3017543859649123,0.42938659058487877,0.19949874686716793,0.5677603423680456,0.05704260651629073,0.81169757489301,0.03135338345864662,0.8922967189728959,0.4363789580745561,2.1658603933421805,0.445161445277416,0.0
laat,not_predicted,0.047,0.37268518518517657,0.23781388478581628,0.2903516681647608,0.2367202463313349,0.45652173913043476,2.347826086956522,0.34576314385894025,0.42391304347402164,0.4076086956521739,0.11078286558345643,0.25,0.3397341211225997,0.16358695652173913,0.4446085672082718,0.04923913043478261,0.6691285081240768,0.027608695652173915,0.7503692762186115,0.6882829505329282,3.529993330711757,0.323408445419315,0.0
attention_rollout,all,0.003,0.01722728701666142,0.2635882635882623,0.03234087756974151,0.0027819321963138857,0.0,54.56260720411664,0.2858722133578488,0.3536306460799947,0.0017152658662092624,0.000481000481000481,0.005145797598627788,0.007215007215007215,0.0044596912521440825,0.012506012506012507,0.010943396226415094,0.15343915343915343,0.014288164665523156,0.4006734006734007,0.7482923746047325,5.505415375989833,0.0028034964175846916,0.0
attention_rollout,predicted,0.003,0.01812816188870151,0.3067047075606255,0.03423294323594953,0.0030890027654907042,0.0,59.44862155388471,0.3314702632354084,0.39390142021335073,0.002506265664160401,0.0007132667617689016,0.006015037593984963,0.008559201141226819,0.005012531328320802,0.014265335235378032,0.012380952380952381,0.17617689015691868,0.014711779448621554,0.4186875891583452,0.7203194651249716,5.351538533284867,0.0038184550122289202,0.0
attention_rollout,not_predicted,0.003,0.014585908529048189,0.17429837518463553,0.026919128548820014,0.0021776123068782587,0.0,43.96739130434783,0.18699383346031465,0.2663043478234239,0.0,0.0,0.003260869565217391,0.004431314623338257,0.003260869565217391,0.008862629246676515,0.00782608695652174,0.10635155096011817,0.013369565217391305,0.36336779911373707,0.8089510207048665,5.839093964246801,0.0006025807694159564,0.0
deeplift,all,0.018000000000000002,0.28938290532771066,0.3631553631553614,0.32209897610427757,0.25882588812612906,0.0634648370497427,4.475128644939966,0.506659885280391,0.6756718124577081,0.4648370497427101,0.13035113035113036,0.2692967409948542,0.3775853775853776,0.17701543739279588,0.4963924963924964,0.05413379073756432,0.759018759018759,0.030428816466552315,0.8532948532948533,0.7281868829913489,3.332923201158651,0.31950176864233487,0.0
deeplift,predicted,0.018000000000000002,0.28273809523809385,0.406562054208271,0.33352837916426414,0.2711771665474296,0.010025062656641603,5.052631578947368,0.5692310509005699,0.7378863826161312,0.49624060150375937,0.14122681883024252,0.2822055137844611,0.4015691868758916,0.18395989974937343,0.5235378031383737,0.05538847117794486,0.7881597717546363,0.03112781954887218,0.8858773181169758,0.7071539460707492,3.1600065479049912,0.34204473319717754,0.0
deeplift,not_predicted,0.018000000000000002,0.3119730185497418,0.2732644017725218,0.29133858267218266,0.23648453002370234,0.1793478260869565,3.222826086956522,0.37097567287576405,0.5407608695598232,0.3967391304347826,0.10782865583456426,0.24130434782608695,0.32791728212703103,0.16195652173913044,0.4401772525849335,0.05141304347826087,0.6986706056129985,0.02891304347826087,0.7858197932053176,0.7737963494659097,3.7078892046815337,0.2706178400696054,0.0
gradient_x_input,all,0.019,0.3188273018781479,0.3347763347763332,0.3266072266491544,0.2674755786391074,0.09262435677530018,3.7444253859348198,0.4737681153390393,0.6396512292676653,0.47855917667238423,0.1341991341991342,0.27341337907375646,0.38335738335738334,0.18147512864493998,0.5088985088985089,0.05509433962264151,0.7724867724867724,0.030566037735849056,0.8571428571428571,0.7333124194818382,3.341029282575857,0.3332353788104551,0.0
gradient_x_input,predicted,0.019,0.30714707619609977,0.37089871611982617,0.33602584813720676,0.27732983555927027,0.03007518796992481,4.243107769423559,0.5271035459913246,0.6852548036692765,0.5012531328320802,0.14265335235378032,0.2862155388471178,0.4072753209700428,0.18696741854636592,0.5320970042796006,0.056140350877192984,0.7988587731811697,0.031152882205513783,0.8865905848787446,0.7123655565268765,3.1787266076699257,0.36242352987264587,0.0
gradient_x_input,not_predicted,0.019,0.3591836734693804,0.2599704579025072,0.3016281062504788,0.2515523204878785,0.22826086956521738,2.6630434782608696,0.35811139343544235,0.5407608695598233,0.42934782608695654,0.11669128508124077,0.24565217391304348,0.33382570162481534,0.16956521739130434,0.4608567208271787,0.05282608695652174,0.7178729689807977,0.029293478260869567,0.7961595273264401,0.7787352364330865,3.6929791047903477,0.2699415077571175,0.0
integrated_gradient,all,0.013000000000000001,0.3385335413416519,0.31313131313131165,0.32533733132933884,0.24975756979722705,0.07547169811320754,3.2984562607204118,0.470388992555929,0.6186392224067943,0.4339622641509434,0.12169312169312169,0.27787307032590053,0.38961038961038963,0.18078902229845625,0.506974506974507,0.054030874785591765,0.7575757575757576,0.0302401372212693,0.848003848003848,0.8519706854186128,3.6943078056488976,0.3226048826953707,0.0
integrated_gradient,predicted,0.013000000000000001,0.3385159010600683,0.3416547788873014,0.3400780972615934,0.2591123147439568,0.02756892230576441,3.5463659147869673,0.5094437586887626,0.654553049283593,0.45614035087719296,0.12981455064194009,0.28922305764411027,0.4115549215406562,0.18922305764411027,0.5385164051355207,0.05568922305764411,0.7924393723252496,0.030601503759398498,0.8708987161198288,0.8452653236071758,3.559691527382201,0.3418648094705296,0.0
integrated_gradient,not_predicted,0.013000000000000001,0.3385826771653477,0.25406203840472297,0.29029535864488576,0.23051378141866033,0.1793478260869565,2.760869565217391,0.38569958121353465,0.5407608695598233,0.3858695652173913,0.10487444608567208,0.2532608695652174,0.34416543574593794,0.1625,0.44165435745937964,0.050434782608695654,0.6853766617429837,0.029456521739130433,0.8005908419497785,0.8665111167379788,3.9862202786293954,0.280840150177499,0.0
grad_attention,all,0.051000000000000004,0.40692071835304244,0.4468494468494447,0.42595139843609103,0.3927583526165947,0.02058319039451115,3.9159519725557463,0.6127967965264546,0.7600057175455246,0.5574614065180102,0.1563251563251563,0.3259005145797599,0.45695045695045694,0.21337907375643225,0.5983645983645983,0.05821612349914237,0.8162578162578162,0.03192109777015437,0.8951418951418951,0.296006494436904,2.1555212302858426,0.4507376745869399,0.0
