explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004655975168132412,0.004329004329004308,0.004486540373870008,0.00045766076572655576,0.9433962264150944,3.3156089193825045,0.005921751204737687,0.015437392795728986,0.0,0.0,0.0006861063464837049,0.000962000962000962,0.00034305317324185246,0.000962000962000962,0.000960548885077187,0.013468013468013467,0.0012006861063464838,0.03367003367003367,0.9653630236309263,7.652086678925277,0.00037698150905698073,0.0
random,predicted,0.002,0.003820439350525274,0.0028348688873139414,0.003254678595597825,0.00046104210546264317,0.94,2.6175,0.0052083333332977435,0.0099999999999,0.0,0.0,0.0005,0.0007087172218284905,0.00025,0.0007087172218284905,0.00065,0.009213323883770375,0.001,0.028348688873139617,0.9652895892092882,7.67775549511811,0.00035714285714285714,0.0
random,not_predicted,0.002,0.005643340857787746,0.007485029940119649,0.006435006430104748,0.0004506789870247563,0.9508196721311475,4.841530054644808,0.007481134530289479,0.027322404371311476,0.0,0.0,0.001092896174863388,0.0014970059880239522,0.000546448087431694,0.0014970059880239522,0.001639344262295082,0.02245508982035928,0.001639344262295082,0.04491017964071856,0.9655235360279498,7.595979976864437,0.0004203446826397646,0.0
laat,all,0.04,0.3424401197604778,0.440115440115438,0.3851820669283535,0.3410949000319965,0.1680960548885077,4.583190394511149,0.5902829208112321,0.6746712407024624,0.5231560891938251,0.1467051467051467,0.3005145797598628,0.4213564213564214,0.1998284734133791,0.5603655603655604,0.056569468267581476,0.7931697931697932,0.03104631217838765,0.8706108706108706,0.5163272931669921,2.410381198631706,0.42040616792693514,0.0
laat,predicted,0.04,0.3418344519015645,0.5414599574769628,0.4190894130506563,0.39303510033760947,0.0525,5.5875,0.7057311161021268,0.7958333333257137,0.5725,0.16229624379872432,0.332,0.47058823529411764,0.2205,0.6250885896527285,0.0602,0.8532955350815025,0.032375,0.9177888022678952,0.4306989574291458,1.9149954339140791,0.4568459490252304,0.0
laat,not_predicted,0.04,0.34553775743706305,0.22604790419161339,0.27330316741602806,0.23069954619837987,0.4207650273224044,2.387978142076503,0.33793713875463177,0.409836065569672,0.41530054644808745,0.11377245508982035,0.23169398907103825,0.31736526946107785,0.1546448087431694,0.4236526946107784,0.048633879781420766,0.6661676646706587,0.02814207650273224,0.7709580838323353,0.7034930543426123,3.493191613315042,0.340756373176563,0.0
attention_rollout,all,0.003,0.016485443703963515,0.24867724867724747,0.03092105263041281,0.0030956926071809645,0.0,53.79245283018868,0.2577390876691646,0.31761006288994326,0.0017152658662092624,0.000481000481000481,0.004802744425385935,0.006734006734006734,0.004802744425385935,0.013468013468013467,0.008919382504288165,0.12506012506012507,0.012006861063464836,0.3367003367003367,0.7639912994469189,5.546768612538917,0.00287714354484771,0.0
attention_rollout,predicted,0.003,0.017441125668787118,0.29340892983699296,0.03292508350458735,0.003523969867157453,0.0,59.3425,0.30648054029145294,0.35791666666314237,0.0025,0.0007087172218284905,0.006,0.008504606661941885,0.00575,0.01630049610205528,0.00965,0.13678242381289865,0.01315,0.37278525868178597,0.7364446974090177,5.352839443292819,0.003916249562684198,0.0
attention_rollout,not_predicted,0.003,0.013509968520461681,0.15419161676646476,0.024843222381538323,0.0022533626411056665,0.0,41.66120218579235,0.15120039341279692,0.22950819671901637,0.0,0.0,0.002185792349726776,0.0029940119760479044,0.00273224043715847,0.0074850299401197605,0.0073224043715847,0.10029940119760479,0.009508196721311476,0.26047904191616766,0.8242024514423312,5.970657507065908,0.0006058735605056611,0.0
deeplift,all,0.021,0.33111566018423577,0.3112073112073097,0.3208529630498011,0.25637073133692406,0.11663807890222985,3.351629502572899,0.46078420165204836,0.6216409376726181,0.4648370497427101,0.13035113035113036,0.2634648370497427,0.3694083694083694,0.17615780445969126,0.493987493987494,0.05468267581475129,0.7667147667147667,0.03039451114922813,0.8523328523328524,0.728274791949545,3.3044872854114105,0.3285577267563589,0.0
deeplift,predicted,0.021,0.32729624838292154,0.35861091424521363,0.34223875549044264,0.2821779270736233,0.0575,3.865,0.530027136967921,0.7010416666598909,0.5025,0.14245216158752658,0.288,0.40822111977321046,0.19225,0.5450035435861091,0.058,0.8221119773210489,0.0317,0.8986534372785259,0.7069367347731987,3.0774981199088147,0.3623263011096132,0.0
deeplift,not_predicted,0.021,0.34558823529410915,0.21107784431137408,0.26208178438190416,0.2026537636328812,0.2459016393442623,2.2295081967213113,0.3094335233659878,0.44808743168950815,0.3825136612021858,0.10479041916167664,0.2098360655737705,0.2874251497005988,0.14098360655737704,0.38622754491017963,0.04743169398907104,0.6497005988023952,0.02754098360655738,0.7544910179640718,0.7749153540836354,3.800638466837849,0.2547466352738361,0.0
gradient_x_input,all,0.02,0.33049147442326815,0.3169793169793155,0.32359440215557017,0.2594882959822935,0.11492281303602059,3.420240137221269,0.46373610490413064,0.6174957118293339,0.47855917667238423,0.1341991341991342,0.26518010291595195,0.3718133718133718,0.1771869639794168,0.49687349687349686,0.05485420240137221,0.7691197691197691,0.030480274442538594,0.8547378547378547,0.7351895812815281,3.3420478605596053,0.3351221969121136,0.0
gradient_x_input,predicted,0.02,0.32739987285441624,0.36498936924166997,0.3451742627295969,0.2864325014526721,0.0525,3.9325,0.5308396369679461,0.6924999999933291,0.5175,0.1467044649184975,0.2935,0.4160170092133239,0.19375,0.5492558469170801,0.0583,0.8263642806520198,0.03175,0.9000708717221828,0.7144518894031936,3.1257689257677606,0.36880207104493595,0.0
gradient_x_input,not_predicted,0.02,0.3420427553444099,0.21556886227544586,0.26446280991260773,0.2041994984820058,0.25136612021857924,2.300546448087432,0.3170617178793973,0.4535519125637704,0.39344262295081966,0.10778443113772455,0.20327868852459016,0.27844311377245506,0.14098360655737704,0.38622754491017963,0.0473224043715847,0.6482035928143712,0.027704918032786886,0.7589820359281437,0.7805178695401831,3.8147887016346744,0.26150498569282976,0.0
integrated_gradient,all,0.011,0.2408811845431555,0.3208273208273193,0.27516501649675035,0.1800631012002003,0.0411663807890223,4.7495711835334475,0.4830827643833329,0.6303602058257791,0.37221269296740994,0.10437710437710437,0.23945111492281304,0.3357383357383357,0.16157804459691252,0.4531024531024531,0.05320754716981132,0.746031746031746,0.0304631217838765,0.8542568542568543,0.8394438908961098,3.7622704959129694,0.28387236689574974,0.0
integrated_gradient,predicted,0.011,0.24183325207215875,0.35152374202692876,0.2865395724966135,0.18278074171444889,0.005,5.1275,0.5286315490032473,0.6787499999934603,0.3875,0.10985116938341602,0.252,0.3571934798015592,0.16925,0.479801559177888,0.05565,0.7888022678951099,0.0315,0.892983699503898,0.8312331525390907,3.618216220888519,0.29380670916526336,0.0
integrated_gradient,not_predicted,0.011,0.23816155988857607,0.25598802395209197,0.2467532467482497,0.17740740902557234,0.12021857923497267,3.9234972677595628,0.3835225794217719,0.5245901639292075,0.33879781420765026,0.09281437125748503,0.21202185792349726,0.2904191616766467,0.1448087431693989,0.3967065868263473,0.04786885245901639,0.655688622754491,0.02819672131147541,0.7724550898203593,0.85739085998249,4.07714322820685,0.26215795756347954,0.0
grad_attention,all,0.033,0.341858206539332,0.5079365079365055,0.40866873064534415,0.3874628572604327,0.010291595197255575,5.298456260720411,0.6690376100444324,0.792452830181035,0.5608919382504288,0.15728715728715728,0.32864493996569466,0.4607984607984608,0.21595197255574614,0.6055796055796056,0.05979416809605489,0.8383838383838383,0.03246998284734134,0.9105339105339105,0.28496582921607744,2.121907871411996,0.4590535572020612,0.0
grad_attention,predicted,0.033,0.3628635346756136,0.5747696669029017,0.4448710916024937,0.4380164079227217,0.0,5.5875,0.7347257618071938,0.8537499999918645,0.6,0.1700921332388377,0.3555,0.5038979447200567,0.23475,0.6654854712969526,0.06235,0.8837703756201276,0.033375,0.9461374911410347,0.2376373947856496,1.8028998790370663,0.4951249663650719,0.0
grad_attention,not_predicted,0.033,0.286885245901636,0.36676646706586274,0.32194480945630566,0.2739679494332936,0.03278688524590164,4.666666666666667,0.5254569504536967,0.6584699453486201,0.47540983606557374,0.13023952095808383,0.26994535519125684,0.36976047904191617,0.17486338797814208,0.47904191616766467,0.054207650273224044,0.7425149700598802,0.030491803278688525,0.8353293413173652,0.388415959118652,2.8191931006468174,0.380208947009688,0.0
