explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004670472236637236,0.004304160688665689,0.004479840711782822,0.00045765358315834597,0.9488054607508533,3.28839590443686,0.0058304891922334795,0.008532423208105802,0.0017064846416382253,0.00047824007651841227,0.0010238907849829352,0.0014347202295552368,0.0008532423208191126,0.0023912003825920613,0.0012627986348122866,0.017694882831181254,0.0008873720136518771,0.024868483978957436,0.9654426415311492,7.7019798461873465,0.0004229748257052011,0.0
random,predicted,0.002,0.0025839793281653414,0.0014084507042253422,0.0018231540519512317,0.00045653027985305834,0.9503722084367245,1.9205955334987592,0.0031017369726783497,0.004962779156277916,0.0024813895781637717,0.0007042253521126761,0.001488833746898263,0.002112676056338028,0.0009925558312655087,0.0028169014084507044,0.0013399503722084367,0.019014084507042252,0.0008684863523573201,0.02464788732394366,0.9654509831869671,7.729444303313953,0.0006150452800576869,0.0
random,not_predicted,0.002,0.006071118820468291,0.010432190760059457,0.007675438591840295,0.00046004909018606963,0.9453551912568307,6.300546448087432,0.01183970856098057,0.016393442622786886,0.0,0.0,0.0,0.0,0.000546448087431694,0.0014903129657228018,0.001092896174863388,0.014903129657228018,0.0009289617486338798,0.02533532041728763,0.9654242716552225,7.641498008908544,0.0,0.0
laat,all,0.047,0.36630343671416443,0.4179818268770903,0.39044002679868317,0.3463872142546535,0.22013651877133106,4.071672354948806,0.5755732559026129,0.6436291239983424,0.5119453924914675,0.14347202295552366,0.3126279863481229,0.4380679100908656,0.2052901023890785,0.5753228120516499,0.057610921501706484,0.8072692491630798,0.031006825938566553,0.8689622190339551,0.5099507343511547,2.36061309060629,0.4313263134980044,0.0
laat,predicted,0.047,0.36011904761904584,0.5112676056337992,0.42258440046080575,0.39034636530394373,0.08933002481389578,5.002481389578164,0.6846505575994193,0.7572373862624034,0.5533498759305211,0.15704225352112677,0.3369727047146402,0.478169014084507,0.22332506203473945,0.6338028169014085,0.06178660049627792,0.8767605633802817,0.03270471464019851,0.928169014084507,0.42609983115639577,1.8920230924157782,0.47046290039754923,0.0
laat,not_predicted,0.047,0.3999999999999892,0.22056631892697137,0.2843419788618871,0.2569100818043462,0.5081967213114754,2.021857923497268,0.335364771838061,0.3934426229468852,0.4207650273224044,0.11475409836065574,0.25901639344262295,0.353204172876304,0.16557377049180327,0.45156482861400893,0.04841530054644809,0.6602086438152012,0.02726775956284153,0.7436661698956781,0.6946060020423451,3.3925353270586176,0.3451402778667662,0.0
attention_rollout,all,0.003,0.016191687579497398,0.22525107604017108,0.030211674148844892,0.0031568976607588306,0.0,49.63993174061434,0.22654490465809446,0.2861205915785314,0.0034129692832764505,0.0009564801530368245,0.005802047781569966,0.008130081300813009,0.004948805460750853,0.013868962219033954,0.009283276450511945,0.13008130081300814,0.012218430034129693,0.34241989478718315,0.7644158572185988,5.624793740706509,0.005117143358221053,0.0
attention_rollout,predicted,0.003,0.01722252597047566,0.2661971830985897,0.032351934267944416,0.0035767138752426124,0.0,54.46153846153846,0.2753859939329392,0.33291976840037707,0.0024813895781637717,0.0007042253521126761,0.006947890818858561,0.009859154929577466,0.005459057071960298,0.015492957746478873,0.010669975186104219,0.15140845070422534,0.01315136476426799,0.3732394366197183,0.736277246179046,5.449041954896362,0.00468429564849876,0.0
attention_rollout,not_predicted,0.003,0.01302338608038088,0.1385991058122185,0.023809523807953432,0.0022662032706864017,0.0,39.021857923497265,0.11898775177414664,0.1830601092878005,0.00546448087431694,0.0014903129657228018,0.003278688524590164,0.004470938897168405,0.003825136612021858,0.010432190760059613,0.006229508196721312,0.08494783904619971,0.010163934426229508,0.27719821162444114,0.8263823066663575,6.011831826397703,0.0060703544348226016,0.0
deeplift,all,0.02,0.33462095605987285,0.3314203730272581,0.3330129745264737,0.26246638352108553,0.10921501706484642,3.5341296928327646,0.4602399733344975,0.6328213879346888,0.43686006825938567,0.12242945958871354,0.2675767918088737,0.3749402199904352,0.18071672354948806,0.5064562410329986,0.05409556313993174,0.7580105212816834,0.030187713310580205,0.8460066953610712,0.7343301061058404,3.351285988850472,0.3204169506399322,0.0
