explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002070833112090478,0.01865136298421799,0.0037277767139341964,0.00045765358315834597,0.18600682593856654,32.1382252559727,0.021749553063449435,0.040102389078101534,0.0034129692832764505,0.0009564801530368245,0.0010238907849829352,0.0014347202295552368,0.0013651877133105802,0.003825920612147298,0.0011604095563139932,0.016260162601626018,0.0011092150170648465,0.031085604973696796,0.965435189511366,7.6217006386961765,0.0007402154159833342,0.0
random,predicted,0.001,0.0015053439710973947,0.014409221902017186,0.0027259097706736905,0.0004535031813836258,0.16834170854271358,33.381909547738694,0.016499162478978396,0.033919597989616836,0.005025125628140704,0.001440922190201729,0.001507537688442211,0.002161383285302594,0.001507537688442211,0.004322766570605188,0.0011055276381909548,0.01585014409221902,0.0010050251256281408,0.02881844380403458,0.9654082678457917,7.642575232836587,0.0010898649089603864,0.0
random,not_predicted,0.001,0.0034252749233820022,0.027027027027026643,0.006079999998003416,0.0004660752880650185,0.22340425531914893,29.50531914893617,0.0328647416412126,0.05319148936117021,0.0,0.0,0.0,0.0,0.0010638297872340426,0.002844950213371266,0.001276595744680851,0.017069701280227598,0.0013297872340425532,0.03556187766714083,0.9654921832501879,7.577508678760627,0.0,0.0
laat,all,0.059000000000000004,0.38579545454545233,0.32472501195600034,0.35263567903943915,0.30280807659480746,0.257679180887372,3.0034129692832763,0.4842182443048631,0.6003981797438847,0.4761092150170648,0.133428981348637,0.28498293515358364,0.39933046389287424,0.18754266211604095,0.5255858440937351,0.05300341296928328,0.7427068388330942,0.02916382252559727,0.8173122907699665,0.5049314872886221,2.6225677020311537,0.38950834453359423,0.0
laat,predicted,0.059000000000000004,0.37635869565217134,0.3991354466858761,0.387412587407589,0.34485007019922603,0.13316582914572864,3.698492462311558,0.5716610755207017,0.6993299832428366,0.5175879396984925,0.1484149855907781,0.3065326633165829,0.43948126801152737,0.20251256281407035,0.5806916426512968,0.05547738693467337,0.7953890489913544,0.03037688442211055,0.8710374639769453,0.4186719376431902,2.1890752954297956,0.4288798516075029,0.0
laat,not_predicted,0.059000000000000004,0.4340277777777627,0.1778093883357016,0.25227043390101805,0.2250307057771204,0.5212765957446809,1.5319148936170213,0.29909991013516257,0.3909574468046143,0.3882978723404255,0.10384068278805121,0.2393617021276596,0.3200568990042674,0.15585106382978722,0.4167852062588905,0.04776595744680851,0.6386913229018493,0.026595744680851064,0.7112375533428165,0.6875447891975686,3.5402803500489224,0.30615802636648964,0.0
attention_rollout,all,0.003,0.01565690946221919,0.230989956958392,0.029326047357645237,0.0027266995789667864,0.0,52.64334470989761,0.24601343385346452,0.3108646188820426,0.0017064846416382253,0.00047824007651841227,0.0037542662116040954,0.0052606408417025345,0.004266211604095563,0.011956001912960305,0.008805460750853242,0.12338593974175036,0.01242320819112628,0.3481587757054041,0.7596918957237367,5.557389050807335,0.002478001220883906,0.0
attention_rollout,predicted,0.003,0.016832241551342667,0.2795389048991334,0.03175252669805704,0.003015804012448485,0.0,57.91708542713568,0.2928685845127751,0.35092127302837794,0.002512562814070352,0.0007204610951008645,0.0035175879396984926,0.005043227665706052,0.004271356783919598,0.012247838616714697,0.010050251256281407,0.1440922190201729,0.01271356783919598,0.3645533141210375,0.7317326838801393,5.399778647091132,0.0032694317936317408,0.0
attention_rollout,not_predicted,0.003,0.012182610925878416,0.1351351351351332,0.022350311726514797,0.002156273086582569,0.0,41.47872340425532,0.14682008298960492,0.2260638297850133,0.0,0.0,0.00425531914893617,0.005689900426742532,0.00425531914893617,0.011379800853485065,0.006170212765957447,0.08250355618776671,0.011808510638297872,0.3157894736842105,0.8188821420734802,5.891053628887384,0.000802525859428383,0.0
deeplift,all,0.02,0.2897447380205988,0.30942132950741125,0.2992599444908412,0.22692567580096754,0.08361774744027303,3.810580204778157,0.4395012907998575,0.6190273037482313,0.40955631399317405,0.11477761836441894,0.24914675767918087,0.34911525585844094,0.1696245733788396,0.47537063605930174,0.05402730375426621,0.7570540411286466,0.030341296928327644,0.850310856049737,0.7263575755475395,3.3644824920469927,0.2855082084788007,0.0
deeplift,predicted,0.02,0.28933411903358697,0.35374639769452193,0.3183144246303804,0.24144962423331717,0.022613065326633167,4.263819095477387,0.4949503839235724,0.6702261306467803,0.4371859296482412,0.12536023054755044,0.264321608040201,0.37896253602305474,0.17914572864321607,0.5136887608069164,0.05482412060301507,0.7860230547550432,0.03055276381909548,0.8760806916426513,0.7074885393302542,3.2116490286916184,0.3064379605406988,0.0
deeplift,not_predicted,0.02,0.29104477611939755,0.2219061166429556,0.2518159806246267,0.19977274740384882,0.2127659574468085,2.851063829787234,0.3221143808890144,0.5106382978672604,0.35106382978723405,0.09388335704125178,0.2170212765957447,0.2901849217638691,0.149468085106383,0.39971550497866287,0.0523404255319149,0.6998577524893315,0.029893617021276596,0.7994310099573257,0.7663037266883882,3.6880341857461354,0.24119947804988887,0.0
gradient_x_input,all,0.021,0.3166926677067066,0.2912482065997117,0.30343796711010446,0.23137342039791214,0.11433447098976109,3.281569965870307,0.41787741552849056,0.5843287827019307,0.4402730375426621,0.12338593974175036,0.25324232081911263,0.3548541367766619,0.1697952218430034,0.47584887613582016,0.054334470989761095,0.7613582018173123,0.03051194539249147,0.8550932568149211,0.7315371552217559,3.378843438164538,0.29169273552505137,0.0
gradient_x_input,predicted,0.021,0.3157534246575321,0.33213256484149617,0.3237359550511807,0.2463354643875961,0.052763819095477386,3.6683417085427137,0.4708802225105791,0.629187604684036,0.4723618090452261,0.13544668587896252,0.26683417085427136,0.38256484149855907,0.17688442211055277,0.5072046109510087,0.05507537688442211,0.7896253602305475,0.030603015075376886,0.877521613832853,0.7122959875667749,3.230392680167026,0.31538647689128213,0.0
gradient_x_input,not_predicted,0.021,0.31965442764578145,0.21052631578947067,0.2538593481941783,0.2061976286730448,0.24468085106382978,2.4627659574468086,0.30566934542811175,0.4893617021227925,0.3723404255319149,0.09957325746799431,0.22446808510638297,0.30014224751066854,0.15478723404255318,0.4139402560455192,0.05276595744680851,0.705547652916074,0.03031914893617021,0.8108108108108109,0.772271116533896,3.6931168513720367,0.24153258093058413,0.0
integrated_gradient,all,0.011,0.2506488691138293,0.32329029172644513,0.28237259815715077,0.21327482814610763,0.042662116040955635,4.602389078498294,0.4903251375064007,0.6386518771269415,0.4044368600682594,0.1133428981348637,0.24232081911262798,0.3395504543280727,0.1614334470989761,0.45241511238641796,0.05197952218430034,0.7283596365375419,0.029522184300341297,0.8273553323768532,0.8564029953161811,3.7421664026715016,0.294571509004652,0.0
integrated_gradient,predicted,0.011,0.25174129353233704,0.3645533141210348,0.2978222483765666,0.22287747017236764,0.005025125628140704,5.050251256281407,0.5438648244519246,0.7041457286364893,0.4371859296482412,0.12536023054755044,0.25829145728643216,0.3703170028818444,0.16959798994974876,0.48631123919308356,0.05351758793969849,0.7672910662824207,0.02987437185929648,0.8566282420749279,0.849721166240767,3.593753367550343,0.3220524829368307,0.0
integrated_gradient,not_predicted,0.011,0.24745269286753643,0.24182076813655418,0.2446043165417597,0.19407320305862225,0.12234042553191489,3.654255319148936,0.37698048110045124,0.4999999999950266,0.3351063829787234,0.08961593172119488,0.20851063829787234,0.27880512091038406,0.14414893617021277,0.38549075391180654,0.048723404255319146,0.65149359886202,0.02877659574468085,0.7695590327169275,0.8705485696354087,4.056359955747145,0.2363937024886567,0.0
grad_attention,all,0.043000000000000003,0.3883534136546169,0.4624581539933024,0.4221785636274308,0.3712836556406423,0.015358361774744027,4.249146757679181,0.6387308699984398,0.7947952218353075,0.5494880546075085,0.15399330463892874,0.3228668941979522,0.45241511238641796,0.20648464163822525,0.5786704925872788,0.05720136518771331,0.8015303682448589,0.03121160409556314,0.874701099952176,0.27705752955830937,2.314153577134511,0.4390736860717111,0.0
grad_attention,predicted,0.043000000000000003,0.39358108108107887,0.5036023054755007,0.4418457648496868,0.4008566807695275,0.0,4.4623115577889445,0.6941749344974534,0.8461055276300885,0.5678391959798995,0.1628242074927954,0.3417085427135678,0.4899135446685879,0.21834170854271356,0.6260806916426513,0.058542713567839195,0.8393371757925072,0.03183417085427136,0.9128242074927954,0.22918316030016597,2.091168195981312,0.4742461636226293,0.0
grad_attention,not_predicted,0.043000000000000003,0.37535014005601713,0.38122332859174424,0.37826393789196033,0.3111102316769344,0.047872340425531915,3.797872340425532,0.5213546057930812,0.6861702127591224,0.5106382978723404,0.13655761024182078,0.28297872340425534,0.3783783783783784,0.18138297872340425,0.4850640113798009,0.054361702127659575,0.7268847795163584,0.029893617021276596,0.7994310099573257,0.3784085878814,2.7862183734056454,0.36461280274583086,0.0
atgrad_attention,all,0.042,0.3401955738548619,0.316116690578669,0.32771442736238243,0.2749601450697012,0.20136518771331058,3.3156996587030716,0.4778906957631573,0.6129124004491188,0.4590443686006826,0.12864658058345288,0.2614334470989761,0.3663318986131038,0.17713310580204777,0.4964131994261119,0.05180887372013652,0.7259684361549498,0.028668941979522185,0.8034433285509326,0.5928965115485493,2.8308709880782406,0.3553147762485167,0.0
