explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002003268490695344,0.01817312290769958,0.003608736940281678,0.0004576537834901431,0.1689419795221843,32.370307167235495,0.01913125033851133,0.03924914675730376,0.0,0.0,0.0017064846416382253,0.0023912003825920613,0.0015358361774744026,0.00430416068866571,0.0016040955631399316,0.022477283596365374,0.0010409556313993175,0.029172644667623145,0.9653931200747092,7.665298618043056,0.000640788836532362,0.0
random,predicted,0.001,0.0017031818533715247,0.016176470588235174,0.003081879945043844,0.0004484550394145782,0.1628498727735369,32.8676844783715,0.013461266610080553,0.03180661577578244,0.0,0.0,0.002035623409669211,0.0029411764705882353,0.0017811704834605599,0.005147058823529412,0.001984732824427481,0.028676470588235293,0.0011704834605597964,0.033823529411764704,0.9653634013937932,7.691121147093498,0.0008057982921022888,0.0
random,not_predicted,0.001,0.002643754130865825,0.021887824897400522,0.004717676542378814,0.00047581171134696373,0.18134715025906736,31.357512953367877,0.03067686487360612,0.05440414507718911,0.0,0.0,0.0010362694300518134,0.0013679890560875513,0.0010362694300518134,0.0027359781121751026,0.0008290155440414508,0.01094391244870041,0.0007772020725388601,0.02051983584131327,0.96545363531616,7.612716991531016,0.00030478512648582747,0.0
laat,all,0.043000000000000003,0.3766774641369719,0.38928742228598573,0.3828786453383674,0.33147040583825593,0.14846416382252559,3.6877133105802047,0.5512791626239295,0.7241183162615198,0.5392491467576792,0.15112386417981827,0.29658703071672354,0.41559062649450024,0.18771331058020477,0.5260640841702535,0.05184300341296928,0.7264466762314682,0.029232081911262798,0.8192252510760402,0.5026253147104199,2.6927367466588317,0.40920937746180724,0.0
laat,predicted,0.043000000000000003,0.36857476635513803,0.4639705882352907,0.4108072916617297,0.3688414348327893,0.03816793893129771,4.356234096692112,0.6383819671948794,0.8278201865909429,0.6055979643765903,0.175,0.3150127226463104,0.4551470588235294,0.1964376590330789,0.5676470588235294,0.053231552162849874,0.7691176470588236,0.029770992366412213,0.8602941176470589,0.42033797953865987,2.282663717193954,0.4604338353775006,0.0
laat,not_predicted,0.043000000000000003,0.4075723830734876,0.25034199726401846,0.310169491520704,0.26908820971323905,0.37305699481865284,2.326424870466321,0.3739143844043272,0.512953367870518,0.40414507772020725,0.106703146374829,0.25906735751295334,0.34199726402188785,0.1699481865284974,0.4487004103967168,0.049015544041450775,0.6470588235294118,0.028134715025906736,0.7428180574555403,0.6701844998011025,3.5277559206468987,0.30490257973710533,0.0
attention_rollout,all,0.003,0.01491211840888066,0.1927307508369192,0.027682373951132804,0.0021659692679132296,0.0,46.117747440273035,0.1996621599853653,0.24999999999752984,0.0017064846416382253,0.00047824007651841227,0.00477815699658703,0.006695361071257772,0.0037542662116040954,0.010521281683405069,0.008737201365187713,0.12242945958871354,0.01068259385665529,0.29937828790052606,0.7772062842827742,5.727905080407121,0.0028307906169882024,0.0
attention_rollout,predicted,0.003,0.016415239069291734,0.23602941176470416,0.03069567296077304,0.0022457761113102077,0.0,49.75826972010178,0.235477810285719,0.2760814249336705,0.002544529262086514,0.0007352941176470588,0.005089058524173028,0.007352941176470588,0.004071246819338422,0.011764705882352941,0.00910941475826972,0.13161764705882353,0.010610687022900763,0.30661764705882355,0.7549470179875829,5.584510179324374,0.003998026091440303,0.0
attention_rollout,not_predicted,0.003,0.010977242302543492,0.11217510259917766,0.01999756127139163,0.002030946065519301,0.0,38.704663212435236,0.12673184616132901,0.19689119170787567,0.0,0.0,0.004145077720207254,0.005471956224350205,0.0031088082901554403,0.008207934336525308,0.007979274611398964,0.10533515731874145,0.010829015544041452,0.2859097127222982,0.8225321477750547,6.01989573390722,0.00045398470268936595,0.0
deeplift,all,0.019,0.2995535714285701,0.3208990913438531,0.30985915492458194,0.23614432503667213,0.09556313993174062,3.8225255972696246,0.44844571431337876,0.6161831626788751,0.4402730375426621,0.12338593974175036,0.25051194539249144,0.3510282161645146,0.17303754266211605,0.48493543758967,0.053208191126279863,0.7455762792922047,0.02964163822525597,0.830703012912482,0.7406898073630117,3.4705310595817664,0.2872507137220994,0.0
deeplift,predicted,0.019,0.2949336550060296,0.3595588235294091,0.32405566599902275,0.2598440994124297,0.04580152671755725,4.21882951653944,0.5038637288607084,0.6694232400274701,0.4910941475826972,0.14191176470588235,0.2641221374045801,0.3816176470588235,0.18244274809160305,0.5272058823529412,0.054860050890585245,0.7926470588235294,0.03015267175572519,0.8713235294117647,0.7237959783782782,3.2849812674445067,0.321132050202656,0.0
deeplift,not_predicted,0.019,0.312714776632297,0.24897400820793092,0.2772277227673374,0.19349103209887314,0.19689119170984457,3.0155440414507773,0.33559970541648504,0.5077720207203367,0.33678756476683935,0.08891928864569083,0.22279792746113988,0.29411764705882354,0.1538860103626943,0.4062927496580027,0.04984455958549223,0.6580027359781122,0.02860103626943005,0.7551299589603283,0.775090194881148,3.8483604290633386,0.21825918399744285,0.0
gradient_x_input,all,0.02,0.3282482903734859,0.29842180774748783,0.3126252504960118,0.24215285798713487,0.12457337883959044,3.244027303754266,0.4265236043794009,0.5942832764447373,0.45051194539249145,0.12625538020086083,0.2600682593856655,0.36441893830703015,0.17491467576791808,0.49019607843137253,0.05378839590443686,0.7537063605930177,0.029948805460750853,0.8393113342898135,0.7461803660010107,3.4757841567621925,0.30119993814787643,0.0
gradient_x_input,predicted,0.02,0.32313167259786246,0.33382352941176224,0.328390596740026,0.2649647260960206,0.0737913486005089,3.5750636132315523,0.4779593745213342,0.6444020356172037,0.4961832061068702,0.14338235294117646,0.2743002544529262,0.3963235294117647,0.18549618320610686,0.5360294117647059,0.05531806615776082,0.799264705882353,0.030356234096692112,0.8772058823529412,0.7291313851775708,3.29782127940115,0.3305303091090958,0.0
