explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.001980516004710415,0.017694882831181168,0.003562316466682208,0.00045765358315834597,0.18430034129692832,31.880546075085324,0.018499783303457522,0.04095563139891638,0.005119453924914676,0.0014347202295552368,0.0030716723549488053,0.00430416068866571,0.002218430034129693,0.006217120994739359,0.0012286689419795222,0.01721664275466284,0.0010921501706484642,0.030607364897178385,0.9654412302336426,7.660244226852845,0.002273371897945277,0.0
random,predicted,0.001,0.0015372227508967122,0.015064562410329878,0.002789770838572,0.0004501266748167332,0.17369727047146402,33.898263027295286,0.017059553349789223,0.03473945409395782,0.004962779156327543,0.0014347202295552368,0.0034739454094292804,0.005021520803443328,0.0024813895781637717,0.007173601147776184,0.0013399503722084367,0.019368723098995694,0.0011166253101736973,0.032281205164992825,0.9654213573743348,7.657463462907089,0.0029239448594287304,0.0
random,not_predicted,0.001,0.0031866162119099715,0.02295552367288346,0.005596362362322335,0.00047348870827932033,0.20765027322404372,27.437158469945356,0.021671437245142356,0.05464480874262295,0.00546448087431694,0.0014347202295552368,0.002185792349726776,0.0028694404591104736,0.001639344262295082,0.00430416068866571,0.0009836065573770492,0.01291248206599713,0.0010382513661202186,0.027259684361549498,0.965484993962064,7.666367985706065,0.0008406893652795292,0.0
laat,all,0.053,0.38176770013882283,0.3945480631276882,0.3880526810862507,0.33534642443104,0.23037542662116042,3.6877133105802047,0.5560956179736817,0.6350967007902111,0.515358361774744,0.1444285031085605,0.30477815699658706,0.42706838833094213,0.20358361774744027,0.5705404112864658,0.057610921501706484,0.8072692491630798,0.031092150170648463,0.8713534194165471,0.4952430958652502,2.369119888339351,0.4195180009418288,0.0
laat,predicted,0.053,0.3801935116676131,0.4791965566714456,0.4239923833654223,0.3832189976672613,0.11910669975186104,4.359801488833747,0.6584713432378865,0.7398676592153935,0.56575682382134,0.16355810616929697,0.33647642679900747,0.48637015781922527,0.22208436724565755,0.6420373027259685,0.06054590570719603,0.8751793400286944,0.032158808933002485,0.9296987087517934,0.4177789958408004,1.9332728558868404,0.4667692103907717,0.0
laat,not_predicted,0.053,0.38861386138612897,0.22525107604016895,0.28519527701623903,0.24182904516419973,0.47540983606557374,2.2076502732240435,0.3306452503153509,0.40437158469540974,0.40437158469945356,0.10616929698708752,0.23497267759562843,0.3084648493543759,0.1628415300546448,0.42754662840746055,0.051147540983606556,0.6714490674318508,0.028743169398907104,0.7546628407460545,0.6658334363562516,3.32893603084406,0.31546205882202577,0.0
attention_rollout,all,0.003,0.017615307540644488,0.26064084170253343,0.03300030275388515,0.003561976004448116,0.0,52.79692832764505,0.26131648972815313,0.3236632536941799,0.0017064846416382253,0.00047824007651841227,0.005460750853242321,0.007651841224294596,0.005119453924914676,0.014347202295552367,0.00931740614334471,0.13055954088952654,0.012918088737201365,0.36202773792443804,0.7574699793693224,5.546419916729637,0.003288838077772872,0.0
attention_rollout,predicted,0.003,0.018579703926196088,0.3106169296987065,0.03506214826404684,0.003870755494150067,0.0,57.8287841191067,0.3060825237608753,0.36889991728337324,0.0024813895781637717,0.0007173601147776184,0.005459057071960298,0.007890961262553802,0.005707196029776675,0.01649928263988522,0.010372208436724565,0.14992826398852224,0.013647642679900745,0.3945480631276901,0.7305164445742552,5.39704638025698,0.003974056644815428,0.0
attention_rollout,not_predicted,0.003,0.014671207754781222,0.1606886657101842,0.02688752850644889,0.0029009050703174733,0.0,41.71584699453552,0.162733365601448,0.2240437158447541,0.0,0.0,0.00546448087431694,0.007173601147776184,0.003825136612021858,0.010043041606886656,0.006994535519125683,0.09182209469153516,0.011311475409836066,0.296987087517934,0.8168266707486237,5.875368196502755,0.0017798594847775178,0.0
deeplift,all,0.02,0.31865042174320374,0.32520325203251876,0.3218934911192593,0.26704499770038226,0.06996587030716724,3.641638225255973,0.4627185930272657,0.6294084186514466,0.4522184300341297,0.12673362027737925,0.27030716723549486,0.3787661406025825,0.17935153583617747,0.5026303204208513,0.05532423208191126,0.7752271640363463,0.03081911262798635,0.8637015781922525,0.7291665164924901,3.270662622970375,0.3226641197799566,0.0
