explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0051519835136527295,0.004782400765184099,0.004960317455324354,0.00045765358315834597,0.9539249146757679,3.3122866894197953,0.006968145619985187,0.010238907849735496,0.0017064846416382253,0.00047824007651841227,0.0013651877133105802,0.001912960306073649,0.0010238907849829352,0.0028694404591104736,0.0008191126279863481,0.011477761836441894,0.0008703071672354948,0.024390243902439025,0.9654000348037922,7.620345905656342,0.0009354063961572494,0.0
random,predicted,0.002,0.007835455435847133,0.005730659025787925,0.006619776577660643,0.00045590610685576643,0.9575,2.5525,0.008333333333286112,0.0099999999999125,0.0025,0.0007163323782234957,0.002,0.0028653295128939827,0.0015,0.004297994269340974,0.00095,0.013610315186246419,0.0009,0.025787965616045846,0.9653640812744082,7.636482832644805,0.0013703703703703703,0.0
random,not_predicted,0.002,0.002173913043478237,0.002877697841726577,0.002476780180855532,0.0004612044137594132,0.946236559139785,4.946236559139785,0.004032258064499327,0.010752688171935483,0.0,0.0,0.0,0.0,0.0,0.0,0.0005376344086021505,0.007194244604316547,0.0008064516129032258,0.02158273381294964,0.9654773542218218,7.58564283686395,0.0,0.0
laat,all,0.042,0.33209509658246533,0.4275466284074585,0.3738239598529072,0.3227927984828767,0.18771331058020477,4.593856655290103,0.5912112986523494,0.6780432309376972,0.4948805460750853,0.13868962219033956,0.29419795221843004,0.41224294595887134,0.19488054607508531,0.5461501673840268,0.0558703071672355,0.7828790052606408,0.03037542662116041,0.8512673362027738,0.5132687342391075,2.4788273220832067,0.4109094584903834,0.0
laat,predicted,0.042,0.3211775043936717,0.5236389684813716,0.3981481481434331,0.3610403939162008,0.075,5.69,0.6967147401169532,0.7733333333259264,0.535,0.15329512893982808,0.3175,0.45487106017191975,0.211,0.6045845272206304,0.0588,0.8424068767908309,0.031675,0.9075931232091691,0.4335532196052927,2.012601959651265,0.4495696235881785,0.0
laat,not_predicted,0.042,0.39182692307691364,0.23453237410071603,0.29342934292960343,0.2572704904010963,0.43010752688172044,2.236559139784946,0.3643221772230938,0.4731182795651612,0.40860215053763443,0.1093525179856115,0.24408602150537634,0.32661870503597124,0.16021505376344086,0.4287769784172662,0.04956989247311828,0.6633093525179856,0.027580645161290322,0.7381294964028777,0.6846999485053764,3.4814625101088854,0.3277693184951249,0.0
attention_rollout,all,0.003,0.01666121112929623,0.24342419894787068,0.031187769981338143,0.0029840157619173626,0.0,52.13310580204778,0.2621881673489187,0.3299203640467956,0.0017064846416382253,0.00047824007651841227,0.005802047781569966,0.008130081300813009,0.004095563139931741,0.011477761836441894,0.009180887372013651,0.12864658058345288,0.012457337883959044,0.34911525585844094,0.7509294644020142,5.566226352914592,0.003121194599309878,0.0
attention_rollout,predicted,0.003,0.01801683324566017,0.29441260744985465,0.03395571711722114,0.0034940687649538038,0.0,57.03,0.3102925061033618,0.37083333332968055,0.0025,0.0007163323782234957,0.006,0.008595988538681949,0.0045,0.012893982808022923,0.01045,0.1497134670487106,0.01345,0.3853868194842407,0.7233534344344769,5.395615776799388,0.0035638885261126342,0.0
attention_rollout,not_predicted,0.003,0.012664771258723168,0.14100719424460229,0.023242025374984595,0.002021901301961326,0.0,41.60215053763441,0.15873797647914864,0.24193548386854835,0.0,0.0,0.005376344086021506,0.007194244604316547,0.0032258064516129032,0.008633093525179856,0.0064516129032258064,0.08633093525179857,0.01032258064516129,0.2762589928057554,0.810232754654783,5.933130817678475,0.0021691646491964218,0.0
deeplift,all,0.021,0.3233350279613608,0.3041606886657087,0.3134549038885467,0.24346002689846769,0.09556313993174062,3.356655290102389,0.45066544897753824,0.6066552900964769,0.4334470989761092,0.12147297943567671,0.26040955631399315,0.3648971783835485,0.17372013651877133,0.4868483978957437,0.05395904436860068,0.7560975609756098,0.030494880546075086,0.8546150167384027,0.7347700689261637,3.3459990774348625,0.3109025291916507,0.0
deeplift,predicted,0.021,0.32358939496940636,0.3409742120343815,0.3320544122726432,0.25945859515921,0.0425,3.6775,0.4999559433591358,0.6562499999936635,0.4725,0.1353868194842407,0.279,0.3997134670487106,0.18225,0.5222063037249284,0.05575,0.7987106017191977,0.0312,0.8939828080229226,0.7173703277803292,3.155930215040463,0.33885168489828715,0.0
deeplift,not_predicted,0.021,0.3225806451612838,0.23021582733812618,0.26868178001192766,0.21300698944118918,0.20967741935483872,2.6666666666666665,0.34466438579130676,0.49999999999499994,0.34946236559139787,0.09352517985611511,0.22043010752688172,0.2949640287769784,0.1553763440860215,0.4158273381294964,0.05010752688172043,0.6705035971223021,0.028978494623655916,0.7755395683453238,0.7721888670892484,3.7547493191432473,0.25079681799458287,0.0
gradient_x_input,all,0.019,0.3092830882352927,0.3218555714968899,0.3154441059242248,0.24537900338698893,0.08361774744027303,3.7133105802047783,0.46288674825087,0.6160409556254145,0.4351535836177474,0.12195121951219512,0.2641638225255973,0.3701578192252511,0.1764505119453925,0.49450023912003827,0.05443686006825939,0.7627929220468675,0.03052901023890785,0.8555714968914395,0.7411787709010476,3.369018746787877,0.3138425977452138,0.0
gradient_x_input,predicted,0.019,0.3087414755114674,0.3567335243552983,0.3310069790578354,0.26106099439521413,0.0375,4.0325,0.5072609404453976,0.6499999999937573,0.4625,0.13252148997134672,0.283,0.4054441260744986,0.18525,0.5308022922636103,0.0561,0.8037249283667621,0.031325,0.8975644699140402,0.7242613285588141,3.184203037197751,0.33845257040235405,0.0
gradient_x_input,not_predicted,0.019,0.31083481349910635,0.2517985611510755,0.27821939586150524,0.21696911184659695,0.1827956989247312,3.0268817204301075,0.3674583779400584,0.5430107526827419,0.3763440860215054,0.10071942446043165,0.22365591397849463,0.2992805755395683,0.1575268817204301,0.42158273381294964,0.05086021505376344,0.6805755395683454,0.028817204301075268,0.7712230215827338,0.7775603673359586,3.7664718856913733,0.260917925364267,0.0
integrated_gradient,all,0.012,0.3379874819451115,0.3357245337159238,0.3368522072886645,0.2853765670966994,0.07337883959044368,3.544368600682594,0.5087655944706257,0.6601251422006679,0.4812286689419795,0.13486370157819225,0.27303754266211605,0.3825920612147298,0.18600682593856654,0.5212816834050693,0.056177474402730375,0.7871831659493066,0.030870307167235496,0.8651362984218077,0.8671136228119044,3.6110857162769716,0.36382551625626985,0.0
integrated_gradient,predicted,0.012,0.3305519897304215,0.36891117478509766,0.34867975625770736,0.30209501424122653,0.015,3.895,0.5578225663190733,0.7045833333266036,0.5,0.14326647564469913,0.2875,0.41189111747851004,0.19825,0.5680515759312321,0.05765,0.8259312320916905,0.03155,0.9040114613180515,0.8621332630837912,3.4509563078109355,0.3895572462683817,0.0
integrated_gradient,not_predicted,0.012,0.36030828516376956,0.269064748201435,0.3080724876392516,0.2523639204502473,0.1989247311827957,2.7903225806451615,0.40326673028041615,0.5645161290266129,0.44086021505376344,0.11798561151079137,0.24193548387096775,0.3237410071942446,0.1596774193548387,0.4273381294964029,0.05301075268817204,0.7093525179856115,0.029408602150537633,0.7870503597122303,0.8778240738401047,3.9554500355587674,0.3084884624667822,0.0
grad_attention,all,0.057,0.4257142857142837,0.4275466284074585,0.4266284896156136,0.38653503948160434,0.032423208191126277,3.583617747440273,0.6063934572217556,0.7551194539175697,0.5460750853242321,0.15303682448589193,0.3245733788395904,0.45480631276901007,0.2151877133105802,0.6030607364897178,0.05941979522184301,0.8326159732185557,0.03221843003412969,0.9029172644667623,0.285247790861234,2.130102250578106,0.45224756379336195,0.0
grad_attention,predicted,0.057,0.4287564766839351,0.47421203438395076,0.4503401360494314,0.4147658269014798,0.0025,3.86,0.6666578109350663,0.8037499999922645,0.565,0.16189111747851004,0.3435,0.49212034383954156,0.2265,0.6489971346704871,0.0615,0.8810888252148997,0.033275,0.9534383954154728,0.2434174818142015,1.8029506895959815,0.47990064101836993,0.0
grad_attention,not_predicted,0.057,0.4172661870503522,0.33381294964028296,0.3709032773731534,0.32540693987516633,0.0967741935483871,2.989247311827957,0.47679269654796946,0.6505376344020967,0.5053763440860215,0.13525179856115108,0.2838709677419355,0.37985611510791367,0.19086021505376344,0.5107913669064749,0.054946236559139786,0.7352517985611511,0.029946236559139784,0.8014388489208633,0.3752054447258199,2.833653994625687,0.39277858051377473,0.0
atgrad_attention,all,0.027,0.2918723264231646,0.42419894787182966,0.3458089668567679,0.2851264921127324,0.12457337883959044,5.186006825938566,0.5789983788456626,0.6939704209261452,0.46075085324232085,0.1291248206599713,0.2692832764505119,0.37733142037302725,0.1825938566552901,0.5117168818747011,0.0537542662116041,0.7532281205164992,0.029436860068259386,0.8249641319942611,0.6161084978742352,2.8129637874711872,0.3559597962238091,0.0
atgrad_attention,predicted,0.027,0.27720314439387556,0.47994269340973866,0.351429320740177,0.30256456442652635,0.0475,6.0425,0.6464758609408336,0.7541666666594277,0.47,0.1346704871060172,0.279,0.3997134670487106,0.1895,0.5429799426934098,0.0553,0.7922636103151862,0.030425,0.8717765042979942,0.5712091474931087,2.517732150665642,0.3656328905792283,0.0
atgrad_attention,not_predicted,0.027,0.34887459807073395,0.3122302158273336,0.32953682611498003,0.26318971917248035,0.2903225806451613,3.3440860215053765,0.4338855141248643,0.5645161290266129,0.44086021505376344,0.11798561151079137,0.24838709677419354,0.33237410071942447,0.16774193548387098,0.4489208633093525,0.05043010752688172,0.6748201438848921,0.02731182795698925,0.7309352517985611,0.7126662406293458,3.4478705332895663,0.3351574427712948,0.0
