explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0025484199796126272,0.0023912003825920496,0.0024673081617950852,0.0004576537834901431,0.9505119453924915,3.348122866894198,0.0035551763367305416,0.008532423208105802,0.0,0.0,0.0006825938566552901,0.0009564801530368245,0.0008532423208191126,0.0023912003825920613,0.0010580204778156996,0.01482544237207078,0.0010750853242320819,0.03012912482065997,0.9654394870233022,7.593205579457031,0.0000550478916657492,0.0
random,predicted,0.002,0.0009433962264150855,0.0007017543859649073,0.0008048289689509225,0.000461913378113536,0.9477611940298507,2.63681592039801,0.0012437810945211442,0.002487562189029851,0.0,0.0,0.0004975124378109452,0.0007017543859649122,0.0007462686567164179,0.002105263157894737,0.0009950248756218905,0.014035087719298246,0.0010945273631840797,0.030877192982456142,0.9653880019815606,7.5610648331355135,0.00008024394158241052,0.0
random,not_predicted,0.002,0.0044345898004434095,0.006006006006005916,0.005102040811439732,0.0004487985541408675,0.9565217391304348,4.9021739130434785,0.008605072463731506,0.021739130434565216,0.0,0.0,0.0010869565217391304,0.0015015015015015015,0.0010869565217391304,0.003003003003003003,0.0011956521739130434,0.016516516516516516,0.0010326086956521738,0.028528528528528527,0.965551970647107,7.663426123050786,0.0,0.0
laat,all,0.05,0.42144177449168013,0.43615494978478986,0.4286721504062803,0.3818111350051979,0.16382252559726962,3.6928327645051193,0.6051264482542896,0.7027872582412253,0.5443686006825939,0.1525585844093735,0.3266211604095563,0.45767575322812054,0.21228668941979523,0.5949306551889049,0.057030716723549486,0.7991391678622669,0.030546075085324233,0.8560497369679579,0.4772166591141398,2.32882966920326,0.4589099337520914,0.0
laat,predicted,0.05,0.41662018962632225,0.5242105263157858,0.4642635177079276,0.43069990654282275,0.04477611940298507,4.460199004975125,0.7147878586269883,0.816749585398484,0.5895522388059702,0.16631578947368422,0.36019900497512436,0.5080701754385964,0.2345771144278607,0.6617543859649123,0.061144278606965176,0.8624561403508771,0.032512437810945274,0.9171929824561403,0.39095404406301054,1.8284464681782582,0.5027199206204486,0.0
laat,not_predicted,0.05,0.44474393530996104,0.24774774774774402,0.3182256509115027,0.27673912477572016,0.42391304347826086,2.016304347826087,0.3655401060269801,0.4538043478215624,0.44565217391304346,0.12312312312312312,0.2532608695652174,0.34984984984984985,0.16358695652173913,0.4519519519519519,0.04804347826086956,0.6636636636636637,0.02625,0.7252252252252253,0.665681720258455,3.4220581844861453,0.3631946363549196,0.0
attention_rollout,all,0.003,0.016506757453832656,0.22955523672883676,0.030798845042059184,0.002939456145679249,0.0,49.622866894197955,0.23816104259670579,0.2977815699629223,0.0017064846416382253,0.00047824007651841227,0.0037542662116040954,0.0052606408417025345,0.004095563139931741,0.011477761836441894,0.009146757679180887,0.12816834050693449,0.012849829351535837,0.3601147776183644,0.7688181896107057,5.610137136832397,0.0029493160266697016,0.0
attention_rollout,predicted,0.003,0.017721636128076985,0.2687719298245595,0.03325085731533022,0.0036158201600246815,0.0,53.76119402985075,0.2785680737159199,0.3296019900464987,0.0024875621890547263,0.0007017543859649122,0.004477611940298508,0.00631578947368421,0.00472636815920398,0.013333333333333334,0.009850746268656717,0.13894736842105262,0.013706467661691542,0.38666666666666666,0.746963408911194,5.439400864470521,0.004023443607104251,0.0
attention_rollout,not_predicted,0.003,0.012990491495915343,0.14564564564564345,0.02385343661475105,0.0015900697446756425,0.0,40.58152173913044,0.1498804637384227,0.22826086956293476,0.0,0.0,0.002173913043478261,0.003003003003003003,0.002717391304347826,0.0075075075075075074,0.007608695652173913,0.10510510510510511,0.010978260869565217,0.3033033033033033,0.8165661343998561,5.983158775362149,0.0006025807694159564,0.0
deeplift,all,0.021,0.31960885229027114,0.29698708751793257,0.3078829945413612,0.23326976809143374,0.09385665529010238,3.3156996587030716,0.43575057621293184,0.5888794084129251,0.44368600682593856,0.12434241989478718,0.2549488054607508,0.35724533715925394,0.17218430034129692,0.48254423720707795,0.05385665529010239,0.7546628407460545,0.029829351535836178,0.8359636537541846,0.7313630438293514,3.4306584239684152,0.3162568287716571,0.0
deeplift,predicted,0.021,0.32128514056224683,0.33684210526315556,0.32887975333518554,0.24840523661058972,0.0472636815920398,3.716417910447761,0.4908453314206832,0.655679933658673,0.48009950248756217,0.13543859649122808,0.27562189054726366,0.3887719298245614,0.18706467661691542,0.527719298245614,0.05781094527363184,0.8154385964912281,0.03144278606965174,0.8870175438596491,0.7145666138209958,3.211251503661426,0.3444424321615894,0.0
deeplift,not_predicted,0.021,0.31403118040088385,0.21171171171170852,0.25291479820146284,0.1984637087269385,0.1956521739130435,2.4402173913043477,0.3153805132046926,0.4429347826042799,0.3641304347826087,0.1006006006006006,0.20978260869565218,0.2897897897897898,0.13967391304347826,0.3858858858858859,0.04521739130434783,0.6246246246246246,0.026304347826086958,0.7267267267267268,0.7680595919997806,3.910014847682599,0.25467741266974003,0.0
gradient_x_input,all,0.02,0.31360946745561974,0.3041606886657087,0.3088128186403019,0.23402229200881025,0.09726962457337884,3.460750853242321,0.4413129035329316,0.5897326507337314,0.447098976109215,0.125298900047824,0.2597269624573379,0.3639406982305117,0.17474402730375427,0.48971783835485416,0.05416382252559727,0.7589670014347202,0.029897610921501706,0.8378766140602583,0.7360051066868742,3.446984061047046,0.3236251405748517,0.0
gradient_x_input,predicted,0.02,0.3127809890815651,0.34175438596490987,0.32662642521298213,0.247898747111101,0.04975124378109453,3.873134328358209,0.49555393127852404,0.6569237147531819,0.48009950248756217,0.13543859649122808,0.2796019900497512,0.39438596491228073,0.18830845771144278,0.5312280701754386,0.05800995024875622,0.8182456140350877,0.031492537313432836,0.888421052631579,0.7188195516190541,3.231455461861391,0.3462772510856967,0.0
gradient_x_input,not_predicted,0.02,0.3163481953290803,0.22372372372372037,0.26209322778757865,0.20560534650374995,0.20108695652173914,2.5597826086956523,0.3228080494365831,0.44293478260427976,0.375,0.1036036036036036,0.21630434782608696,0.2987987987987988,0.1451086956521739,0.4009009009009009,0.04576086956521739,0.6321321321321322,0.02641304347826087,0.7297297297297297,0.7735518085198289,3.9178671962244,0.2741352034805057,0.0
integrated_gradient,all,0.013000000000000001,0.33211344922232233,0.34720229555236565,0.3394902969321063,0.2936007825286583,0.051194539249146756,3.7303754266211606,0.5115233032011045,0.6508816837252014,0.5085324232081911,0.14251554280248685,0.2819112627986348,0.3950263032042085,0.18549488054607507,0.5198469631755142,0.0552901023890785,0.7747489239598279,0.03037542662116041,0.8512673362027738,0.8367772129455312,3.533181966916565,0.3878435966648683,0.0
integrated_gradient,predicted,0.013000000000000001,0.34119782214155875,0.39578947368420775,0.3664717348878126,0.32211479660125464,0.007462686567164179,4.111940298507463,0.5769726058870627,0.7211857379698519,0.5671641791044776,0.16,0.31592039800995025,0.4456140350877193,0.2044776119402985,0.5768421052631579,0.05935323383084577,0.8371929824561404,0.03194029850746269,0.9010526315789473,0.8298916426906957,3.295487319567414,0.4347848627056123,0.0
integrated_gradient,not_predicted,0.013000000000000001,0.30393996247654215,0.2432432432432396,0.2702251876514373,0.2271282431697656,0.14673913043478262,2.8967391304347827,0.3685308049415654,0.4972826086906929,0.3804347826086957,0.10510510510510511,0.2076086956521739,0.28678678678678676,0.14402173913043478,0.3978978978978979,0.04641304347826087,0.6411411411411412,0.026956521739130435,0.7447447447447447,0.8518206870892482,4.052493098625036,0.28528713498889496,0.0
grad_attention,all,0.055,0.42791762013729784,0.44715447154471333,0.43732460242718,0.39404840724433277,0.02218430034129693,3.7286689419795223,0.624919867117983,0.7635096700722577,0.5784982935153583,0.16212338593974174,0.3334470989761092,0.46724055475848875,0.21621160409556314,0.6059301769488283,0.05866894197952218,0.8220946915351507,0.031621160409556315,0.8861788617886179,0.2629924960117968,2.301847282906072,0.4643443721712378,0.0
grad_attention,predicted,0.055,0.4382298709280858,0.500350877192979,0.46723460025714203,0.43445222700536223,0.0,4.04726368159204,0.691645517711756,0.8331260364762821,0.6218905472636815,0.17543859649122806,0.35870646766169156,0.5059649122807017,0.23582089552238805,0.6652631578947369,0.06228855721393035,0.8785964912280702,0.033308457711442786,0.9396491228070175,0.21935400848986794,1.957603549370777,0.5044079473905309,0.0
grad_attention,not_predicted,0.055,0.39784946236558427,0.3333333333333283,0.36274509803424865,0.3046860146326798,0.07065217391304347,3.032608695652174,0.47913882614680564,0.6114130434721602,0.483695652173913,0.13363363363363365,0.2782608695652174,0.3843843843843844,0.1733695652173913,0.47897897897897895,0.050760869565217394,0.7012012012012012,0.02793478260869565,0.7717717717717718,0.35833310461948936,3.0539450050864443,0.37681416978995647,0.0
atgrad_attention,all,0.045,0.4456701599558718,0.38641798182687526,0.41393442622453147,0.3674973131082192,0.13993174061433447,3.0938566552901023,0.5616719126497337,0.7007963594926556,0.5614334470989761,0.15734098517455763,0.3249146757679181,0.45528455284552843,0.207679180887372,0.5820181731229077,0.05614334470989761,0.7867049258727882,0.03013651877133106,0.844571975131516,0.5884749029850075,2.541375221293885,0.44459697606079174,0.0
atgrad_attention,predicted,0.045,0.4289580514208361,0.44491228070175126,0.43678952806940446,0.39844442990607476,0.03980099502487562,3.6766169154228856,0.6355302864593163,0.7839966832429069,0.599502487562189,0.16912280701754387,0.34875621890547265,0.4919298245614035,0.22487562189054727,0.6343859649122807,0.06,0.8463157894736842,0.03206467661691542,0.9045614035087719,0.541740696888177,2.1660266543399347,0.476469138244881,0.0
atgrad_attention,not_predicted,0.045,0.5194029850746114,0.2612612612612573,0.34765234764788744,0.30503654990660883,0.358695652173913,1.8206521739130435,0.4003074220440149,0.5190217391252581,0.4782608695652174,0.13213213213213212,0.2728260869565217,0.3768768768768769,0.1701086956521739,0.46996996996997,0.04771739130434783,0.6591591591591591,0.025923913043478262,0.7162162162162162,0.690578983696561,3.3614302425737113,0.3749632304194661,0.0
