explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005690636316606282,0.005260640841702509,0.0054671968140931676,0.00045765358315834597,0.9522184300341296,3.2986348122866893,0.007029091500044302,0.017064846416211605,0.0017064846416382253,0.00047824007651841227,0.0020477815699658703,0.0028694404591104736,0.0015358361774744026,0.00430416068866571,0.0011262798634812286,0.015781922525107604,0.0010921501706484642,0.030607364897178385,0.965443035198284,7.693708073275266,0.0012325118649149968,0.0
random,predicted,0.002,0.0038424591738712406,0.0028469750889679513,0.0032706459476863356,0.00045390725301791465,0.9481481481481482,2.5703703703703704,0.004938271604903978,0.009876543209777778,0.0,0.0,0.0024691358024691358,0.0035587188612099642,0.0019753086419753087,0.0056939501779359435,0.0012345679012345679,0.017793594306049824,0.0011851851851851852,0.03416370106761566,0.9654013913570103,7.6702837406261555,0.001508989732664388,0.0
random,not_predicted,0.002,0.007847533632286907,0.010204081632652913,0.008871989855668113,0.0004655228106177135,0.9613259668508287,4.928176795580111,0.011707445409059943,0.03314917127038674,0.0055248618784530384,0.0014577259475218659,0.0011049723756906078,0.0014577259475218659,0.0005524861878453039,0.0014577259475218659,0.0008839779005524862,0.011661807580174927,0.0008839779005524862,0.023323615160349854,0.9655362161690904,7.746121635280177,0.0006138735420503376,0.0
laat,all,0.054,0.3945002644103628,0.35676709708273385,0.37468608738828046,0.3286961400543007,0.24232081911262798,3.226962457337884,0.5227231244264023,0.6322525597208462,0.5085324232081911,0.14251554280248685,0.2979522184300341,0.41750358680057387,0.19539249146757678,0.547584887613582,0.0541296928327645,0.7584887613582019,0.030051194539249145,0.8421807747489239,0.49901471775021505,2.4969360176452393,0.4058294777414448,0.0
laat,predicted,0.054,0.3790726817042583,0.43060498220640264,0.403198933683788,0.3701803271797651,0.1111111111111111,3.9407407407407407,0.6194658770546625,0.7320987654250761,0.5456790123456791,0.15729537366548044,0.32049382716049385,0.4619217081850534,0.20864197530864198,0.6014234875444839,0.05654320987654321,0.8149466192170819,0.03088888888888889,0.890391459074733,0.41085441817078283,2.0675145273570146,0.4453095866251936,0.0
laat,not_predicted,0.054,0.47796610169489906,0.2055393586005801,0.28746177369609427,0.2540493909191014,0.5359116022099447,1.6298342541436464,0.30625453429134547,0.40883977900143637,0.425414364640884,0.11224489795918367,0.24751381215469614,0.32653061224489793,0.16574585635359115,0.43731778425655976,0.0487292817679558,0.6428571428571429,0.0281767955801105,0.7434402332361516,0.6962794764776741,3.457796258345409,0.3174900075872002,0.0
attention_rollout,all,0.003,0.015980331899200978,0.23625059780009453,0.029935765360587473,0.0032046410118567407,0.0,52.75255972696246,0.24914933852520388,0.3239476678011343,0.0034129692832764505,0.0009564801530368245,0.005460750853242321,0.007651841224294596,0.004436860068259386,0.012434241989478718,0.0089419795221843,0.125298900047824,0.012866894197952219,0.36059301769488283,0.7672692111116677,5.55965198160004,0.003343715176338877,0.0
attention_rollout,predicted,0.003,0.01680916410724661,0.2882562277580051,0.03176595160490402,0.003546409761266014,0.0,59.49135802469136,0.30300853467361266,0.37736625514033256,0.0049382716049382715,0.0014234875444839859,0.005925925925925926,0.008540925266903915,0.0049382716049382715,0.014234875444839857,0.009975308641975308,0.14377224199288255,0.013703703703703704,0.39501779359430605,0.7374658563256158,5.404767616611704,0.0041945916331881244,0.0
attention_rollout,not_predicted,0.003,0.01305176712127876,0.12973760932944417,0.023717521650570766,0.002414451046772355,0.0,37.67403314917127,0.12863566758539405,0.20441988950071824,0.0,0.0,0.004419889502762431,0.0058309037900874635,0.0033149171270718232,0.008746355685131196,0.0066298342541436465,0.08746355685131195,0.010994475138121547,0.29008746355685133,0.8339562756881931,5.906216444695489,0.0014398203419524397,0.0
deeplift,all,0.018000000000000002,0.2899047619047608,0.36394069823050995,0.3227311280697022,0.257040223676129,0.05631399317406143,4.479522184300341,0.49843272483764894,0.6670932878206067,0.45563139931740615,0.12769010043041606,0.26313993174061434,0.36872309899569583,0.18003412969283278,0.5045432807269249,0.05494880546075085,0.7699665231946438,0.030750853242320818,0.8617886178861789,0.7266531595912195,3.2965805243976463,0.3148259935024736,0.0
deeplift,predicted,0.018000000000000002,0.2869012707722371,0.41779359430604684,0.3401912489085289,0.28428994696846654,0.012345679012345678,5.051851851851852,0.566141245582345,0.7281893004045321,0.49382716049382713,0.1423487544483986,0.2854320987654321,0.41138790035587186,0.19061728395061728,0.5494661921708185,0.056345679012345676,0.8120996441281139,0.031037037037037037,0.894661921708185,0.7062476842581819,3.0961325910247277,0.3413489727621505,0.0
deeplift,not_predicted,0.018000000000000002,0.3005181347150207,0.25364431486880096,0.2750988142242804,0.20154685771464237,0.15469613259668508,3.1988950276243093,0.34693023366857784,0.5303867403261877,0.3701657458563536,0.09766763848396501,0.2132596685082873,0.2813411078717201,0.156353591160221,0.41253644314868804,0.0518232044198895,0.6836734693877551,0.03011049723756906,0.7944606413994169,0.772311819866801,3.7450966184088728,0.2554789957114839,0.0
gradient_x_input,all,0.016,0.27429732475448604,0.38737446197991204,0.3211736716842804,0.2689168424277525,0.05460750853242321,5.039249146757679,0.5287629037597764,0.6892775881616902,0.46928327645051193,0.13151602104256338,0.26996587030716723,0.3782879005260641,0.18088737201365188,0.506934481109517,0.05535836177474403,0.7757054041128647,0.03090443686006826,0.8660927785748446,0.7324935514779563,3.3144456342956956,0.3289036771294929,0.0
