explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002073034603731461,0.01865136298421799,0.003731343281781626,0.00045765358315834597,0.189419795221843,32.10409556313993,0.02224761633880185,0.046501706484188346,0.0,0.0,0.0010238907849829352,0.0014347202295552368,0.0008532423208191126,0.0023912003825920613,0.0009556313993174062,0.013390722142515544,0.0009726962457337884,0.027259684361549498,0.9654298360010953,7.674704746121619,0.00042840921555162064,0.0
random,predicted,0.001,0.0015286067841024885,0.014925373134328252,0.002773192471077861,0.00045722731119143947,0.17206982543640897,34.25935162094763,0.021210366939666832,0.04052369077267924,0.0,0.0,0.000997506234413965,0.0014214641080312722,0.0007481296758104738,0.0021321961620469083,0.0008478802992518703,0.012082444918265814,0.0009226932668329177,0.026297085998578537,0.9653556812677591,7.675991858554476,0.00025511668399334146,0.0
random,not_predicted,0.001,0.0035467980295566435,0.026315789473683824,0.006251085255763963,0.00045853293593811547,0.22702702702702704,27.43243243243243,0.024495924495845856,0.05945945945886487,0.0,0.0,0.001081081081081081,0.0014619883040935672,0.001081081081081081,0.0029239766081871343,0.0011891891891891893,0.01608187134502924,0.001081081081081081,0.029239766081871343,0.9655905713960572,7.671914842956343,0.0008040324866590256,0.0
laat,all,0.049,0.20288065843621317,0.2357723577235761,0.2180933421759606,0.13246310805808786,0.23378839590443687,4.146757679180888,0.33442486362504764,0.4650170648419013,0.27474402730375425,0.07699665231946437,0.1658703071672355,0.23242467718794835,0.12662116040955632,0.3548541367766619,0.04737201365187713,0.6637972262075562,0.027969283276450513,0.7838354854136776,0.5085629475510757,3.660212649934981,0.19286288395914622,0.0
laat,predicted,0.049,0.19305962854349856,0.28073916133617427,0.22878656240466888,0.13978993591035754,0.09226932668329177,5.102244389027431,0.3806685244630509,0.5374064837853472,0.27680798004987534,0.07889125799573561,0.1685785536159601,0.24022743425728502,0.13117206982543642,0.3738450604122246,0.048778054862842896,0.6950959488272921,0.028977556109725685,0.8258706467661692,0.4264961787092157,3.480891144669953,0.19264072521384606,0.0
laat,not_predicted,0.049,0.2552083333333267,0.1432748538011675,0.18352059924632744,0.1269407803659146,0.5405405405405406,2.075675675675676,0.23418860418699716,0.308108108105027,0.2702702702702703,0.07309941520467836,0.16,0.21637426900584794,0.11675675675675676,0.3157894736842105,0.04432432432432432,0.5994152046783626,0.025783783783783785,0.6973684210526315,0.686448214067756,4.048904128914853,0.19334442805031038,0.0
attention_rollout,all,0.003,0.017847485127095723,0.2840746054519355,0.03358493766320786,0.0029273791084601045,0.0,56.79522184300341,0.3088509281752214,0.35893060295435525,0.0017064846416382253,0.00047824007651841227,0.005119453924914676,0.007173601147776184,0.003924914675767918,0.010999521759923482,0.009829351535836178,0.13773314203730272,0.012832764505119453,0.359636537541846,0.754013964587042,5.475689307364081,0.0030758959403564424,0.0
attention_rollout,predicted,0.003,0.018223859539112704,0.33049040511726846,0.03454295583602607,0.0032437262072663045,0.0,63.63092269326683,0.36180269577826624,0.41230257688703786,0.0024937655860349127,0.0007107320540156361,0.005486284289276808,0.007818052594171997,0.004738154613466334,0.013503909026297086,0.010374064837905237,0.1478322672352523,0.013341645885286782,0.3802416488983653,0.72381453019519,5.297460364185674,0.004157698069353565,0.0
attention_rollout,not_predicted,0.003,0.0166108678856554,0.1885964912280674,0.030532544377210265,0.0022995458882333706,0.0,41.97837837837838,0.1940743940734864,0.24324324324081076,0.0,0.0,0.004324324324324324,0.005847953216374269,0.002162162162162162,0.005847953216374269,0.008648648648648649,0.11695906432748537,0.01172972972972973,0.3172514619883041,0.8194732791337048,5.862012584199439,0.000731016731016731,0.0
deeplift,all,0.022,0.3448990160538563,0.31850789096126103,0.3311785181451803,0.26628751519294797,0.1075085324232082,3.295221843003413,0.4795029534334357,0.6538680318480261,0.4812286689419795,0.13486370157819225,0.2744027303754266,0.38450502152080346,0.17713310580204777,0.4964131994261119,0.055665529010238905,0.7800095648015304,0.031126279863481227,0.8723098995695839,0.7192067159338597,3.223775371979035,0.3306586012519692,0.0
