explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.00465116279069765,0.004304160688665689,0.004470938892175889,0.00045765358315834597,0.9522184300341296,3.302047781569966,0.006968145619984238,0.011945392491348123,0.0,0.0,0.0006825938566552901,0.0009564801530368245,0.0006825938566552901,0.001912960306073649,0.0012627986348122866,0.017694882831181254,0.0010750853242320819,0.03012912482065997,0.9653956511548436,7.710839874969772,0.0005286297191764382,0.0
random,predicted,0.002,0.003640776699029082,0.0021291696238466846,0.0026869681995527256,0.00045804365620913775,0.9525,2.06,0.00416666666663611,0.00499999999995,0.0,0.0,0.001,0.0014194464158978,0.001,0.0028388928317956,0.00125,0.017743080198722498,0.00095,0.0269694819020582,0.9653765155848029,7.731861397859353,0.000774442538593482,0.0
random,not_predicted,0.002,0.005400540054005352,0.008797653958944152,0.006692693804544387,0.0004568497995755651,0.9516129032258065,5.973118279569892,0.012992831541163008,0.02688172042983871,0.0,0.0,0.0,0.0,0.0,0.0,0.0012903225806451613,0.017595307917888565,0.0013440860215053765,0.036656891495601175,0.9654368029183718,7.665632298863141,0.0,0.0
laat,all,0.038,0.32407059707097136,0.41272118603538777,0.3630626840506031,0.31418413935647355,0.18088737201365188,4.544368600682594,0.5653010243420493,0.6604095563076252,0.49829351535836175,0.13964610234337638,0.29044368600682596,0.4069823051171688,0.18924914675767918,0.5303682448589192,0.055426621160409556,0.7766618842659014,0.030204778156996587,0.8464849354375896,0.5319544254501922,2.607339558773801,0.3996657910694035,0.0
laat,predicted,0.038,0.3177317731773163,0.5010645848119198,0.3888735885383497,0.35747798636384415,0.0675,5.555,0.6704575771411743,0.7674999999926707,0.5575,0.15826827537260468,0.32,0.45422285308729593,0.205,0.5819730305180979,0.0579,0.8218594748048261,0.031275,0.8878637331440739,0.4506216294293675,2.1310700723178777,0.44694389321783257,0.0
laat,not_predicted,0.038,0.3560090702947765,0.230205278592372,0.27960819233716655,0.22837144364471512,0.42473118279569894,2.370967741935484,0.3391579000428556,0.43010752687741927,0.3709677419354839,0.10117302052785923,0.22688172043010751,0.3093841642228739,0.1553763440860215,0.4237536656891496,0.05010752688172043,0.6832844574780058,0.027903225806451614,0.7609970674486803,0.7068636642046539,3.6315750135177214,0.29799245311579275,0.0
attention_rollout,all,0.003,0.017229123650272477,0.24342419894787068,0.03218056521340784,0.002469540356629859,0.0,50.41467576791809,0.24795321761917494,0.3208191126248294,0.0017064846416382253,0.00047824007651841227,0.005119453924914676,0.007173601147776184,0.004095563139931741,0.011477761836441894,0.008771331058020478,0.12290769966523195,0.012559726962457338,0.3519846963175514,0.7553429763657042,5.600790349017158,0.0029246933866348104,0.0
attention_rollout,predicted,0.003,0.017309347954143812,0.2711142654364779,0.0325411023074159,0.003009600600344588,0.0,55.1725,0.2900204032063192,0.36749999999640004,0.0025,0.0007097232079489,0.0065,0.009226401703335699,0.005,0.014194464158977998,0.00955,0.13555713271823988,0.0133,0.37757274662881474,0.7261144399274809,5.409573896197604,0.0041074886574886576,0.0
attention_rollout,not_predicted,0.003,0.01699223976451697,0.18621700879765124,0.03114271701661353,0.001486676935614992,0.0,40.18279569892473,0.15748615184037007,0.2204301075246774,0.0,0.0,0.002150537634408602,0.002932551319648094,0.002150537634408602,0.005865102639296188,0.0070967741935483875,0.0967741935483871,0.01096774193548387,0.2991202346041056,0.8182000439747867,6.012008527123729,0.0003810476428630967,0.0
deeplift,all,0.02,0.28963414634146195,0.2725968436154937,0.2808573540230889,0.200467427132193,0.09215017064846416,3.358361774744027,0.40303792481444795,0.5679749715530676,0.42150170648464164,0.11812529890004782,0.23822525597269625,0.33381157340985174,0.16501706484641637,0.46245815399330464,0.05300341296928328,0.7427068388330942,0.030204778156996587,0.8464849354375896,0.7332295876641965,3.4875461465191706,0.2818984820603503,0.0
deeplift,predicted,0.02,0.2942760942760923,0.31014904187366704,0.30200414650502205,0.21993488332827993,0.045,3.7125,0.4507551233460829,0.622083333327344,0.4625,0.1312987934705465,0.259,0.36763662171753014,0.177,0.5024840312278211,0.05565,0.7899219304471257,0.03095,0.8786373314407381,0.7135668548197869,3.2947033332637834,0.31699289939915404,0.0
deeplift,not_predicted,0.02,0.275362318840574,0.19501466275659537,0.2283261802526527,0.1598192175703118,0.1935483870967742,2.596774193548387,0.30042029356362004,0.45161290322129033,0.3333333333333333,0.09090909090909091,0.1935483870967742,0.26392961876832843,0.139247311827957,0.37976539589442815,0.047311827956989246,0.6451612903225806,0.02860215053763441,0.7800586510263929,0.7755150346414212,3.902261873950111,0.2064266168156111,0.0
gradient_x_input,all,0.019,0.3038160469667304,0.29698708751793257,0.3003627569478408,0.21744756575677748,0.10580204778156997,3.4880546075085324,0.4272707454635825,0.5864618885039687,0.42150170648464164,0.11812529890004782,0.24641638225255974,0.3452893352462936,0.16928327645051194,0.47441415590626496,0.053651877133105805,0.7517934002869441,0.030409556313993173,0.8522238163558106,0.7395326412500369,3.4899656132494243,0.28718518973399154,0.0
gradient_x_input,predicted,0.019,0.30139593908629253,0.3371185237757251,0.31825795644392474,0.23570672321961794,0.05,3.94,0.4787264436923227,0.6416666666604892,0.47,0.1334279630943932,0.2655,0.37686302342086586,0.18225,0.517388218594748,0.05635,0.7998580553584103,0.03105,0.8814762242725337,0.7196788764761806,3.298929599800496,0.3235204626066451,0.0
gradient_x_input,not_predicted,0.019,0.3119658119658053,0.21407624633430772,0.2539130434734296,0.1795835812786737,0.22580645161290322,2.5161290322580645,0.3166133299179046,0.46774193547919346,0.3172043010752688,0.08651026392961877,0.2053763440860215,0.28005865102639294,0.14139784946236558,0.38563049853372433,0.0478494623655914,0.6524926686217009,0.02903225806451613,0.7917888563049853,0.7822289095809111,3.9007957496987338,0.20904481796484387,0.0
