explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.003,0.00457665903890155,0.0019129603060736397,0.0026981450211374593,0.00045765358315834597,0.9795221843003413,1.4914675767918089,0.0028441410693847173,0.0068259385664846415,0.0,0.0,0.0017064846416382253,0.0023912003825920613,0.0011945392491467576,0.003347680535628886,0.0012969283276450512,0.018173122907699665,0.0011945392491467576,0.03347680535628886,0.9654113668706218,7.651156493733801,0.0007297973168280336,0.0
random,predicted,0.003,0.005037783375314735,0.0014566642388929246,0.0022598870021699703,0.0004470431336388692,0.98,0.9925,0.0020833333333243054,0.00499999999995,0.0,0.0,0.0015,0.0021849963583394027,0.00125,0.003641660597232338,0.0012,0.01747997086671522,0.001175,0.03423160961398398,0.9653542543413751,7.734321947376298,0.0003418803418803418,0.0
random,not_predicted,0.003,0.004192872117400331,0.002785515320334223,0.003347280329931338,0.0004794126327231772,0.978494623655914,2.564516129032258,0.004480286738331839,0.010752688171935483,0.0,0.0,0.002150537634408602,0.002785515320334262,0.001075268817204301,0.002785515320334262,0.0015053763440860215,0.019498607242339833,0.0012365591397849463,0.03203342618384401,0.9655341895141635,7.472306055792943,0.0015640273704789834,0.0
laat,all,0.053,0.4038954382367996,0.37685318029650705,0.38990598713008573,0.34540193645618267,0.24914675767918087,3.3293515358361776,0.5307716127223522,0.6026734925994175,0.4931740614334471,0.13821138211382114,0.30204778156996587,0.4232424677187948,0.20477815699658702,0.5738880918220947,0.05863481228668942,0.8216164514586323,0.031382252559726966,0.8794835007173601,0.5052768971601338,2.3911279623284245,0.4096665750731418,0.0
laat,predicted,0.053,0.39340256566890414,0.4690458849235217,0.4279069767392216,0.3999923270915281,0.1375,4.0925,0.6363391608353463,0.7029166666599466,0.5425,0.15804806991988346,0.3225,0.4697742170429716,0.21525,0.6270939548434086,0.05985,0.8718135469774217,0.031825,0.9271667880553532,0.4151451975201623,1.8932511974425867,0.464891365504345,0.0
laat,not_predicted,0.053,0.4585987261146351,0.20055710306406405,0.2790697674376213,0.24508151821642837,0.489247311827957,1.6881720430107527,0.3037446275331176,0.3870967741896773,0.3870967741935484,0.10027855153203342,0.25806451612903225,0.3342618384401114,0.18225806451612903,0.47214484679665736,0.05602150537634409,0.7256267409470752,0.03043010752688172,0.7883008356545961,0.699108509289105,3.4618306825130225,0.29090358489851104,0.0
attention_rollout,all,0.003,0.01788539144471347,0.2649450023911991,0.03350874009438166,0.003467230327314996,0.0,52.858361774744026,0.27490202251153356,0.3381683731479811,0.0017064846416382253,0.00047824007651841227,0.005802047781569966,0.008130081300813009,0.005290102389078498,0.01482544237207078,0.009488054607508532,0.13295074127211862,0.012645051194539248,0.35437589670014347,0.7628096517833683,5.542611657747183,0.003721480576452358,0.0
attention_rollout,predicted,0.003,0.018406476352790788,0.3146394756008717,0.03477840840373774,0.0034523471810521326,0.0,58.675,0.3240073537556598,0.38291666666289237,0.0025,0.0007283321194464676,0.0055,0.008011653313911144,0.0055,0.016023306627822288,0.0101,0.14712308812818645,0.01285,0.3743627093954843,0.7337516069931759,5.388001352332739,0.004300972366761841,0.0
attention_rollout,not_predicted,0.003,0.016255829447035287,0.1699164345403876,0.029672868781088803,0.0035009570200563054,0.0,40.3494623655914,0.1692991596209396,0.24193548386860214,0.0,0.0,0.0064516129032258064,0.008356545961002786,0.004838709677419355,0.012534818941504178,0.008172043010752689,0.10584958217270195,0.012204301075268818,0.3161559888579387,0.8253000706870082,5.875106938208351,0.0024752616725609976,0.0
deeplift,all,0.02,0.3067269076305206,0.29220468675274847,0.2992897379327923,0.2183553037711985,0.10580204778156997,3.3993174061433447,0.43101158319098376,0.5898748577872196,0.4249146757679181,0.11908177905308465,0.2501706484641638,0.35054997608799615,0.17116040955631398,0.4796747967479675,0.053208191126279863,0.7455762792922047,0.030119453924914677,0.8440937350549976,0.738879283130866,3.4436581697995012,0.31657773938821687,0.0
