Explainer,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero,run_id,comprehensiveness,sufficiency,Model,special_token_rate,decision_boundary_no_special,precision_no_special,recall_no_special,f1_no_special,auprc_no_special,average_number_of_predicted_tokens_no_special,evidence_span_token_recall_no_special,evidence_span_recall_no_special,precision@1_no_special,recall@1_no_special,precision@5_no_special,recall@5_no_special,precision@10_no_special,recall@10_no_special,precision@50_no_special,recall@50_no_special,precision@100_no_special,recall@100_no_special,iou_no_special,kl_divergence_no_special,ground_truth_special_token_rate
$a$,all,0.036,38.52713178294559,47.53706360592995,42.56047955420451,38.68031388828787,8.532423208191119,440.2730375426621,65.09296990767778,78.95335608570355,56.996587030716725,15.973218555714968,33.105802047781566,46.38928742228598,21.41638225255972,60.01912960306074,5.86348122866894,82.16164514586323,3.14505119453924,88.13964610234338,0.4579502114434832,2.159408242038294,47.43755447105444,0.0,ym0o7co8,89.78455925716025,39.67727611507742,B$_{\text{Sup}}$,3.754266211604095,3.5999999999999996,37.75436046511614,49.689143950262796,42.90728887004393,38.622564933802494,469.62457337883956,66.7328527380527,81.17178611981191,56.996587030716725,15.973218555714968,33.1740614334471,46.48493543758967,21.467576791808874,60.16260162601627,5.737201365187714,80.3921568627451,3.0631399317406145,85.844093735055,47.34254444304903,254.04930580590116,5.834528933524629
$x \nabla x$,all,0.019,32.94001966568322,32.04208512673346,32.48484848434842,26.860144451378993,9.04436860068259,347.098976109215,46.93459460495814,62.22980659780216,46.41638225255973,13.00813008130081,26.8259385665529,37.5896700143472,17.95221843003413,50.31085604973696,5.56655290102389,78.00095648015304,3.0733788395904402,86.13103778096604,0.7432577323719459,3.3685419772138485,31.54920316642813,0.0,ym0o7co8,78.00938697429304,23.17472475832122,B$_{\text{Sup}}$,3.3447098976109215,1.9,29.377880184331683,36.58536585365837,32.587859424425965,26.469976401504002,444.36860068259386,51.70002257855613,67.036405005038,46.92832764505119,13.151602104256337,27.20136518771331,38.11573409851746,18.139931740614333,50.83692013390723,5.464163822525597,76.5662362505978,2.9658703071672354,83.11812529890005,31.91369369344274,372.6242508545204,5.834528933524629
$a x \nabla x$,all,0.058,42.97440849830978,42.56336681013848,42.76790004755362,38.91244369382691,1.02389078498293,353.4129692832765,62.3010403260744,79.50796359422449,58.02047781569966,16.26016260162601,33.68600682593857,47.20229555236729,21.92832764505119,61.45384983261597,6.044368600682589,84.6963175514108,3.22013651877133,90.24390243902441,0.2408283409680544,2.191392155277553,46.311745504961486,0.0,ym0o7co8,89.3746612638983,33.1773909736075,B$_{\text{Sup}}$,1.6040955631399316,5.800000000000001,42.74077623382826,42.65901482544216,42.69985639011731,38.034733419351184,356.14334470989763,62.386364558156096,79.50796359422449,58.02047781569966,16.260162601626014,33.58361774744027,47.05882352941176,21.757679180887372,60.97560975609756,5.825938566552901,81.63558106169297,3.0972696245733786,86.80057388809182,46.268098750897764,263.0648558795492,5.834528933524629
$a$,all,0.048,45.33468559837705,42.75466284074585,44.006891459012884,38.61729737745359,13.82252559726962,336.518771331058,60.28839784563236,70.70534698453082,54.778156996587036,15.35150645624103,32.83276450511945,46.00669536107126,21.34812286689419,59.82783357245337,5.815699658703069,81.49210903873745,3.1075085324232,87.08751793400286,0.4820152980598449,2.1652781267640218,46.7663891296656,0.0,v5vsimfr,85.31539874757327,20.65723147127174,B$_{\text{Sup}}$,9.351535836177474,4.8,43.95348837209282,45.193687230989745,44.56496109358147,39.34766349332347,366.89419795221846,63.03116867925718,73.77701933945062,55.460750853242324,15.542802486848398,33.44709897610921,46.8675274988044,21.74061433447099,60.927785748445714,5.747440273037543,80.53562888570062,3.039249146757679,85.17455762792922,47.25609173717376,250.35216186261988,5.834528933524629
$x \nabla x$,all,0.017,27.869496855345798,33.90722142515526,30.59331175786495,23.16637556341129,7.16723549488054,434.1296928327645,48.45619350282958,64.1780432303218,43.515358361774744,12.19512195121951,26.245733788395896,36.7766618842659,17.064846416382252,47.82400765184122,5.44709897610921,76.3271162123386,3.06143344709897,85.79626972740316,0.7399171709246077,3.397292579752712,31.22207538486862,0.0,v5vsimfr,74.88432806250029,11.57120262122926,B$_{\text{Sup}}$,4.8805460750853245,1.7000000000000002,25.054062403459916,38.785270205643045,30.442942942465955,23.646806949798503,552.3890784982935,53.37996805968459,68.8850967001301,44.53924914675768,12.48206599713056,26.757679180887372,37.49402199904352,17.20136518771331,48.20659971305595,5.2866894197952226,74.07938785270206,2.9505119453924915,82.68770923003348,32.34064897686712,373.91185329056395,5.834528933524629
$a x \nabla x$,all,0.034,38.529737717029775,49.88043998087015,43.47644851972481,39.0402843318022,0.85324232081911,461.94539249146766,67.08982286161462,80.51763367385483,55.972696245733786,15.686274509803921,33.6518771331058,47.15447154471545,22.116040955631398,61.979913916786224,6.01023890784982,84.2180774748924,3.19283276450511,89.47871831659494,0.2540721955684315,2.090165084718406,46.78923020341445,0.0,v5vsimfr,86.95050912763674,15.3743588500489,B$_{\text{Sup}}$,3.890784982935154,3.4000000000000004,38.14733770970081,50.02391200382568,43.28574384391196,37.93786867837631,467.9180887372014,67.1630256353292,80.51763367385483,55.972696245733786,15.686274509803921,33.617747440273035,47.10664753706361,22.09897610921502,61.93208990913438,5.825938566552901,81.63558106169297,3.0887372013651877,86.56145384983262,46.69846523763717,253.27370339454447,5.834528933524629
$a$,all,0.043,44.79726428920349,43.854615016738194,44.32092798403343,38.99601797366335,15.01706484641638,349.3174061433447,62.0302772688184,71.50170648395195,54.94880546075085,15.399330463892872,33.208191126279864,46.53275944524151,21.43344709897611,60.06695361071258,5.86348122866894,82.16164514586323,3.16211604095563,88.6178861788618,0.5047056067247983,2.1601769343888586,48.28574178410137,0.0,mows4wfu,83.821902376917,51.300123520210995,B$_{\text{Sup}}$,8.873720136518772,4.3,43.42934293429324,46.15016738402656,44.748434963562396,39.77256457323624,379.1808873720136,64.36946633154696,74.65870307095236,55.460750853242324,15.542802486848398,33.85665529010239,47.4414155906265,21.962457337883958,61.54949784791965,5.815699658703072,81.49210903873745,3.0716723549488054,86.0832137733142,49.24676096537931,250.31617237267295,5.834528933524629
$x \nabla x$,all,0.019,31.59144893111624,31.80296508847426,31.696854146306343,24.393147738082728,8.532423208191119,359.2150170648464,47.395122652936436,61.51877133046061,44.53924914675768,12.48206599713055,26.17747440273038,36.68101386896222,17.33788395904436,48.58919177427068,5.46416382252559,76.5662362505978,3.04095563139931,85.22238163558106,0.7415885390177308,3.365515016985972,32.27308903807147,0.0,mows4wfu,75.1378981309135,32.14867028079938,B$_{\text{Sup}}$,2.832764505119454,1.9,28.253358925143846,35.198469631754975,31.345826234599556,24.01003312795113,444.5392491467577,51.14671093948901,66.08361774679967,45.563139931740615,12.769010043041607,26.552901023890783,37.20707795313247,17.474402730375427,48.97178383548542,5.320819112627986,74.55762792922047,2.938566552901024,82.35294117647058,33.07137245195072,373.07161151667657,5.834528933524629
$a x \nabla x$,all,0.049,42.52400548696825,44.476327116212126,43.47826086906526,39.141095446571825,1.70648464163822,373.20819112627987,62.72016308455617,78.4840728092518,53.92491467576792,15.11238641798182,32.86689419795222,46.0545193687231,22.08191126279863,61.88426590148255,6.0716723549488,85.07890961262554,3.24744027303754,91.00908656145384,0.2592183829485945,2.031795299055684,45.691675498699865,0.0,mows4wfu,87.12159538236527,42.822297139699714,B$_{\text{Sup}}$,3.4470989761092157,4.9,42.06027890238397,44.715447154471335,43.34724153867505,38.32554530150978,379.35153583617745,63.024486178980425,78.56939704133329,53.92491467576792,15.112386417981828,32.93515358361775,46.15016738402678,21.962457337883958,61.54949784791965,5.883959044368601,82.44858919177427,3.1160409556313997,87.32663797226208,45.41172721680386,247.38038353610682,5.834528933524629
$a$,all,0.052,45.29598308668052,40.98517455762773,43.03288978107271,40.42178009253053,15.69965870307167,322.8668941979522,59.56921799249402,70.39249146689606,58.703071672354945,16.45145863223338,34.539249146757676,48.39789574366332,21.962457337883958,61.54949784791965,5.93174061433447,83.11812529890005,3.1655290102389,88.71353419416546,0.4897064796649528,2.0688863368867194,49.57504575862639,0.0,8sh57gfb,87.91599375451223,46.72192438639991,B$_{\text{Sup}}$,4.368600682593857,5.2,44.39506172839484,42.99378287900505,43.683187560238494,40.45809666946626,345.56313993174064,62.060180765012475,72.78156996516653,58.87372013651877,16.49928263988522,34.7098976109215,48.63701578192253,22.18430034129693,62.17120994739359,5.849829351535836,81.97034911525586,3.0853242320819114,86.46580583452894,49.72801670329402,243.73718339277707,5.834528933524629
